scope,cim,cim_class,rho_threshold,gene,n_scope_datasets,k_datasets,all_datasets_contributed,k_concordant,direction_concordant,nki_smc,nki_smc_dir,neo,neo_dir,tnbc_cl,tnbc_cl_dir,fisher_stat,fisher_p,fisher_padj,fisher_sig,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,mean_abs_rrb,rank_in_list,in_ora_universe,used_in_ora,analysis_label
"NKI.NEO","Fun","Fun_only",0.3,"PTGER4",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,57.6221554280792,9.15979191471913e-12,4.14022594545305e-08,"YES",6.74657531376685,7.56877546045749e-12,3.42108650812679e-08,"YES",0.711,1,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"IFFO1",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,53.7561946338292,5.91907415622386e-11,1.33771075930659e-07,"YES",6.58266172197516,2.31049861449451e-11,5.2217268687576e-08,"YES",0.768,2,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"CSGALNACT1",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,51.462017464303,1.78722915969851e-10,1.55214720590275e-07,"YES",6.41419745906483,7.07833114115765e-11,5.33234279300543e-08,"YES",0.756,3,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"FOXN3",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,51.3734226625241,1.86508259175844e-10,1.55214720590275e-07,"YES",6.4327906914818,6.26410596673909e-11,5.33234279300543e-08,"YES",0.753,4,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"INPP5D",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,51.1664906613517,2.06037239721604e-10,1.55214720590275e-07,"YES",6.42948340296971,6.40191689996713e-11,5.33234279300543e-08,"YES",0.746,5,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"PRDM1",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,51.503214870949,1.75214027867948e-10,1.55214720590275e-07,"YES",6.43516576815789,6.16693239535182e-11,5.33234279300543e-08,"YES",0.727,6,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"WIPF1",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,50.610549445532,2.69216495538119e-10,1.738369371189e-07,"YES",6.38873469078965,8.36319828054787e-11,5.40023660401091e-08,"YES",0.742,7,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"TBC1D2B",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,50.1982435040414,3.28258375451412e-10,1.85465982130048e-07,"YES",6.3064423082695,1.42761168033896e-10,8.06600599391514e-08,"YES",0.749,8,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"BHLHE41",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,49.3582463185542,4.91556206442568e-10,2.2218340531204e-07,"YES",6.26258634652078,1.89322042271094e-10,9.50817367850381e-08,"YES",0.709,9,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"TTLL3",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,48.7852822045967,6.47319134305231e-10,2.65989317005422e-07,"YES",6.18157957127226,3.17316787630283e-10,1.19522656674073e-07,"YES",0.741,10,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"ADAMTSL4",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,48.1971554411885,8.58558289845594e-10,2.97922215702985e-07,"YES",6.18595522178913,3.0863764626652e-10,1.19522656674073e-07,"YES",0.736,11,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
