ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0001775,cell activation,38/185,378/3926,0.100529100529101,2.13339053339053,5.15401307394852,3.28235173342812e-06,0.00794657354662947,0.00716934720722457,PTGER4/INPP5D/PRDM1/STAT5B/DOCK11/STAT5A/FES/TNFRSF14/PTK2B/JAK3/DOCK8/ZEB2/ZFP36L2/TLN1/BCL6/SH2B3/PAG1/NFATC2/NFAM1/CD40/DDR2/VSIR/PTPRE/P2RY1/IL17RA/ZFP36L1/CD93/IL16/FERMT3/MYO18A/MFNG/TGFBR2/CSF1/TNFRSF1B/PLCL2/TMEM106A/EMILIN1/GLI2,38
GO:0030183,B cell differentiation,12/185,60/3926,0.2,4.24432432432432,5.63093875394912,1.60755559635071e-05,0.0170981853836598,0.0154258721585661,INPP5D/STAT5B/DOCK11/STAT5A/PTK2B/JAK3/ZFP36L2/BCL6/NFAM1/ZFP36L1/MFNG/PLCL2,12
GO:0045577,regulation of B cell differentiation,7/185,20/3926,0.35,7.42756756756757,6.40777671156295,2.11873424828498e-05,0.0170981853836598,0.0154258721585661,INPP5D/STAT5B/STAT5A/ZFP36L2/BCL6/NFAM1/ZFP36L1,7
GO:0050865,regulation of cell activation,24/185,224/3926,0.107142857142857,2.27374517374517,4.36516027298597,0.000100095595151951,0.0502739136455919,0.0453567994150321,INPP5D/PRDM1/STAT5B/STAT5A/TNFRSF14/JAK3/DOCK8/ZFP36L2/BCL6/SH2B3/PAG1/NFATC2/NFAM1/CD40/DDR2/VSIR/PTPRE/ZFP36L1/IL16/MYO18A/TGFBR2/TNFRSF1B/EMILIN1/GLI2,24
GO:0051240,positive regulation of multicellular organismal process,40/185,477/3926,0.0838574423480084,1.77959091166638,4.0391613360812,0.000136893495711357,0.0502739136455919,0.0453567994150321,PTGER4/INPP5D/STAT5B/STAT5A/FES/PPARGC1B/STING1/ARRDC4/NLRP1/TNFRSF14/NRP1/PTK2B/DOCK8/ZEB2/EGR2/CYP1B1/CARD8/BCL6/ALOX5/NFATC2/NFAM1/CD40/DDR2/VSIR/DAB2/P2RY1/IL17RA/ZFP36L1/IL16/SHOX2/ABCA1/TGFBR2/IRAK3/CSF1/TNFRSF1B/TMEM106A/HGF/EMILIN1/TRPV2/GLI2,40
GO:0060284,regulation of cell development,25/185,243/3926,0.102880658436214,2.18329440551663,4.23454672404058,0.000137916186215842,0.0502739136455919,0.0453567994150321,INPP5D/PRDM1/BHLHE41/STAT5B/STAT5A/FES/PPARGC1B/NRP1/PTK2B/JAK3/ZEB2/EGR2/ZFP36L2/BCL6/NFAM1/RAPGEF2/VSIR/IGDCC4/ZFP36L1/SHOX2/TGFBR2/CSF1/TNFRSF1B/TRPV2/GLI2,25
GO:0001817,regulation of cytokine production,25/185,248/3926,0.100806451612903,2.13927637314734,4.1215531951681,0.000191377983271852,0.0502739136455919,0.0453567994150321,PTGER4/INPP5D/STAT5B/STAT5A/STING1/ARRDC4/NLRP1/TNFRSF14/JAK3/CYP1B1/CARD8/BCL6/PLAGL1/ALOX5/NFAM1/CD40/BTN3A3/VSIR/IL17RA/IL16/RNF125/IRAK3/TNFRSF1B/TMEM106A/HGF,25
GO:0002252,immune effector process,23/185,219/3926,0.105022831050228,2.22875478217944,4.16090524754849,0.000191619794615789,0.0502739136455919,0.0453567994150321,PTGER4/INPP5D/STAT5B/DOCK11/STAT5A/FES/CSF2RB/TNFRSF14/PTK2B/JAK3/BCL6/CD40/NDST2/BTN3A3/C1RL/SERPINB9/C1R/MYO18A/MFNG/SERPING1/IRAK3/TNFRSF1B/PLCL2,23
GO:0001816,cytokine production,25/185,250/3926,0.1,2.12216216216216,4.07708451726121,0.000217474887383607,0.0502739136455919,0.0453567994150321,PTGER4/INPP5D/STAT5B/STAT5A/STING1/ARRDC4/NLRP1/TNFRSF14/JAK3/CYP1B1/CARD8/BCL6/PLAGL1/ALOX5/NFAM1/CD40/BTN3A3/VSIR/IL17RA/IL16/RNF125/IRAK3/TNFRSF1B/TMEM106A/HGF,25
GO:0031346,positive regulation of cell projection organization,15/185,113/3926,0.132743362831858,2.81702941879933,4.35792366387035,0.000218855786818534,0.0502739136455919,0.0453567994150321,SCARF1/TTBK2/DOCK11/FES/NRP1/PTK2B/ZEB2/RAPGEF2/ARAP1/DDR2/CAMK1/SHOX2/KAT2B/TNIK/TRPV2,15
GO:0007259,cell surface receptor signaling pathway via JAK-STAT,9/185,46/3926,0.195652173913043,4.15205640423032,4.78155189954532,0.000228423399463656,0.0502739136455919,0.0453567994150321,STAT5B/STAT5A/CSF2RB/PTK2B/JAK3/CYP1B1/SH2B3/CD40/STAT2,9
GO:0035023,regulation of Rho protein signal transduction,8/185,38/3926,0.210526315789474,4.46770981507824,4.7762082948195,0.000302152525905157,0.0535009973454502,0.0482682534367309,DOCK11/NRP1/DOCK8/MYO9B/BCL6/ABCA1/ARHGAP30/STARD8,8
GO:0048870,cell motility,40/185,495/3926,0.0808080808080808,1.71487851487852,3.78299986643139,0.000307025433373739,0.0535009973454502,0.0482682534367309,PTGER4/TTLL3/TTBK2/PECAM1/STAT5B/STAT5A/FES/DOCK4/TNFRSF14/NRP1/PTK2B/DOCK8/ZEB2/RIN3/CYP1B1/FMNL3/FMNL1/BCL6/ALOX5/NFATC2/VASH1/SEMA6B/RAPGEF2/CD40/DDR2/VSIR/DNAH1/DAB2/P2RY1/IL17RA/IL16/FERMT3/MYO18A/MPP1/TGFBR2/CD99L2/CSF1/HGF/EMILIN1/TNS1,40
GO:0010720,positive regulation of cell development,17/185,143/3926,0.118881118881119,2.52285012285012,4.12495154560575,0.000324592262828769,0.0535009973454502,0.0482682534367309,INPP5D/STAT5B/STAT5A/FES/PPARGC1B/NRP1/ZEB2/EGR2/BCL6/VSIR/ZFP36L1/SHOX2/TGFBR2/CSF1/TNFRSF1B/TRPV2/GLI2,17
GO:0042113,B cell activation,14/185,105/3926,0.133333333333333,2.82954954954955,4.22534473091052,0.000340119483744118,0.0535009973454502,0.0482682534367309,INPP5D/STAT5B/DOCK11/STAT5A/PTK2B/JAK3/ZFP36L2/BCL6/NFATC2/NFAM1/CD40/ZFP36L1/MFNG/PLCL2,14
GO:1902105,regulation of leukocyte differentiation,15/185,118/3926,0.127118644067797,2.69766376546038,4.1634758865441,0.000355121111254289,0.0535009973454502,0.0482682534367309,INPP5D/PRDM1/STAT5B/STAT5A/FES/PPARGC1B/JAK3/ZFP36L2/BCL6/NFAM1/VSIR/ZFP36L1/TGFBR2/CSF1/GLI2,15
GO:0045321,leukocyte activation,30/185,336/3926,0.0892857142857143,1.89478764478764,3.81376767834146,0.00037567821349552,0.0535009973454502,0.0482682534367309,PTGER4/INPP5D/PRDM1/STAT5B/DOCK11/STAT5A/FES/TNFRSF14/PTK2B/JAK3/DOCK8/ZFP36L2/BCL6/PAG1/NFATC2/NFAM1/CD40/VSIR/PTPRE/ZFP36L1/CD93/IL16/MYO18A/MFNG/TGFBR2/CSF1/TNFRSF1B/PLCL2/TMEM106A/GLI2,30
GO:0002521,leukocyte differentiation,22/185,216/3926,0.101851851851852,2.16146146146146,3.90442032987703,0.000413172817091415,0.0555717438987953,0.0501364675710342,PTGER4/INPP5D/PRDM1/STAT5B/DOCK11/STAT5A/LRRK1/FES/PPARGC1B/PTK2B/JAK3/ZFP36L2/BCL6/NFAM1/VSIR/ZFP36L1/MFNG/TGFBR2/CSF1/PLCL2/GAB3/GLI2,22
GO:0097696,cell surface receptor signaling pathway via STAT,9/185,50/3926,0.18,3.81989189189189,4.46208066779207,0.000441137322495881,0.0562101819875014,0.0507124622813824,STAT5B/STAT5A/CSF2RB/PTK2B/JAK3/CYP1B1/SH2B3/CD40/STAT2,9
GO:1903131,mononuclear cell differentiation,20/185,190/3926,0.105263157894737,2.23385490753912,3.87658490323011,0.000499361943214831,0.0604477632261553,0.0545355806405671,PTGER4/INPP5D/PRDM1/STAT5B/DOCK11/STAT5A/FES/PTK2B/JAK3/ZFP36L2/BCL6/NFAM1/VSIR/ZFP36L1/MFNG/TGFBR2/CSF1/PLCL2/GAB3/GLI2,20
GO:0002694,regulation of leukocyte activation,21/185,207/3926,0.101449275362319,2.15291813552683,3.78950421908793,0.000593636092942466,0.0684377610006529,0.0617441049050435,INPP5D/PRDM1/STAT5B/STAT5A/TNFRSF14/JAK3/DOCK8/ZFP36L2/BCL6/PAG1/NFATC2/NFAM1/CD40/VSIR/PTPRE/ZFP36L1/IL16/MYO18A/TGFBR2/TNFRSF1B/GLI2,21
GO:0045619,regulation of lymphocyte differentiation,12/185,87/3926,0.137931034482759,2.92712022367195,4.04176649976085,0.000665050797856986,0.0731858173459893,0.0660277706006338,INPP5D/PRDM1/STAT5B/STAT5A/JAK3/ZFP36L2/BCL6/NFAM1/VSIR/ZFP36L1/TGFBR2/GLI2,12
GO:0070661,leukocyte proliferation,14/185,115/3926,0.121739130434783,2.5835017626322,3.83230298610527,0.000870520522794789,0.0804030205138982,0.0725390845741598,INPP5D/STAT5B/STAT5A/CSF2RB/TNFRSF14/DOCK8/BCL6/NFATC2/CD40/VSIR/TGFBR2/CSF1/TNFRSF1B/PLCL2,14
GO:0097529,myeloid leukocyte migration,10/185,66/3926,0.151515151515152,3.21539721539722,4.03591268182479,0.000891336094125398,0.0804030205138982,0.0725390845741598,PTGER4/PECAM1/STAT5B/PTK2B/RIN3/IL17RA/MPP1/CD99L2/CSF1/EMILIN1,10
GO:0022603,regulation of anatomical structure morphogenesis,24/185,259/3926,0.0926640926640927,1.96648231242826,3.57849305036806,0.000905432908449222,0.0804030205138982,0.0725390845741598,FES/NRP1/PTK2B/ZEB2/CYP1B1/SLC23A2/FMNL3/FMNL1/BCL6/ALOX5/VASH1/RAPGEF2/CD40/ARAP1/P2RY1/SHOX2/STAT2/LZTS1/TGFBR2/TNIK/CSF1/HGF/EMILIN1/TRPV2,24
GO:0007266,Rho protein signal transduction,9/185,55/3926,0.163636363636364,3.47262899262899,4.10620433315176,0.000912966379157988,0.0804030205138982,0.0725390845741598,PECAM1/DOCK11/NRP1/DOCK8/MYO9B/BCL6/ABCA1/ARHGAP30/STARD8,9
GO:0098609,cell-cell adhesion,27/185,306/3926,0.0882352941176471,1.8724960254372,3.53412353261078,0.000915271117485951,0.0804030205138982,0.0725390845741598,SCARF1/PECAM1/STAT5B/STAT5A/TNFRSF14/JAK3/DOCK8/PCDHGA9/CYP1B1/PCDHGA3/AKNA/TLN1/BCL6/SH2B3/ALOX5/PAG1/PCDHGA6/VSIR/IGDCC4/ZFP36L1/CD93/PCDHGA11/FERMT3/TGFBR2/EMILIN1/PCDHGA12/GLI2,27
