ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,8/51,77/1193,0.103896103896104,2.43035395976572,2.74123931388136,0.0137480739944194,0.289308829216197,0.259750961215781,PTGER4/STAT5A/EGR2/BCL6/PTPRE/ABCA1/KLF9/CSF1,8
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,5/51,39/1193,0.128205128205128,2.9989944695827,2.68121200648998,0.0223454995674416,0.289308829216197,0.259750961215781,CSF2RB/IL17RA/STAT2/CSF1/TNFRSF1B,5
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,7/51,76/1193,0.0921052631578947,2.15454076367389,2.19725086771854,0.0384150014437437,0.289308829216197,0.259750961215781,PTGER4/SCARF1/CD40/PTPRE/ABCA1/CSF1/TNFRSF1B,7
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,6/51,60/1193,0.1,2.33921568627451,2.24854385132143,0.0384643282062932,0.289308829216197,0.259750961215781,CCND2/ZMAT3/XPC/PTPRE/ZFP36L1/RALGDS,6
HALLMARK_ANGIOGENESIS,HALLMARK_ANGIOGENESIS,2/51,8/1193,0.25,5.84803921568627,2.90631113810808,0.0425454160612054,0.289308829216197,0.259750961215781,CCND2/NRP1,2
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,6/51,66/1193,0.0909090909090909,2.12655971479501,1.98908980102617,0.0573666353720412,0.308481574976547,0.27696488155789,CSF2RB/CIITA/CD40/STAT2/C1R/SERPING1,6
HALLMARK_COAGULATION,HALLMARK_COAGULATION,4/51,36/1193,0.111111111111111,2.59912854030501,2.05806036581237,0.0635109124951714,0.308481574976547,0.27696488155789,PECAM1/P2RY1/C1R/SERPING1,4
HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,5/51,57/1193,0.087719298245614,2.05194358445132,1.71921770600738,0.0910853335190416,0.387112667455927,0.347562456848975,PRDM1/PECAM1/CCND2/NRP1/TNFRSF1B,5
HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_DN,4/51,44/1193,0.0909090909090909,2.12655971479501,1.60846162812803,0.114153648067389,0.431247114921247,0.387187812158396,NRP1/SYNE1/DAB2/TGFBR2,4
HALLMARK_BILE_ACID_METABOLISM,HALLMARK_BILE_ACID_METABOLISM,2/51,15/1193,0.133333333333333,3.11895424836601,1.74455524880017,0.13202917037505,0.448899179275169,0.403036414829099,SLC23A2/ABCA1,2
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,4/51,49/1193,0.0816326530612245,1.90956382553021,1.37343582418533,0.152733497263179,0.472085355177099,0.423853724462411,CCND2/DPYD/PLCB2/HGF,4
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,5/51,72/1193,0.0694444444444445,1.62445533769063,1.15466230448768,0.189118904017115,0.535270275233136,0.480583219249565,CCND2/CD40/IL16/CSF1/NCF4,5
HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,4/51,55/1193,0.0727272727272727,1.70124777183601,1.12479110140263,0.204662164059728,0.535270275233136,0.480583219249565,KAT2B/RANBP10/MPP1/TNS1,4
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,5/51,78/1193,0.0641025641025641,1.49949723479135,0.963902529078964,0.236375443802673,0.547279669097181,0.491365647177035,CCND2/NRP1/PLAGL1/CSF1/TNFRSF1B,5
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,2/51,22/1193,0.0909090909090909,2.12655971479501,1.12661952537836,0.241446912836992,0.547279669097181,0.491365647177035,STAT2/CSF1,2
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,4/51,65/1193,0.0615384615384615,1.4395173453997,0.769782991990657,0.300448287755011,0.638452611479397,0.573223706901007,DOCK4/SH2B3/C1R/SERPING1,4
HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,3/51,50/1193,0.06,1.40352941176471,0.615782361928191,0.361782260865795,0.723182641365969,0.649297108347155,STAT5A/BCL6/ABCA1,3
HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_WNT_BETA_CATENIN_SIGNALING,1/51,11/1193,0.0909090909090909,2.12655971479501,0.792924770433005,0.382861398370219,0.723182641365969,0.649297108347155,CCND2,1
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,1/51,13/1193,0.0769230769230769,1.79939668174962,0.612185695440013,0.434989672177706,0.778402571265369,0.69887537358191,FES,1
HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEDGEHOG_SIGNALING,1/51,15/1193,0.0666666666666667,1.55947712418301,0.460622854094061,0.482793927196543,0.781666358318213,0.701805708706754,NRP1,1
HALLMARK_PEROXISOME,HALLMARK_PEROXISOME,1/51,15/1193,0.0666666666666667,1.55947712418301,0.460622854094061,0.482793927196543,0.781666358318213,0.701805708706754,SLC23A2,1
HALLMARK_PROTEIN_SECRETION,HALLMARK_PROTEIN_SECRETION,1/51,22/1193,0.0454545454545455,1.0632798573975,0.0632832170109683,0.62089254983962,0.945197544767398,0.848629374558965,ABCA1,1
HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_DN,1/51,24/1193,0.0416666666666667,0.974673202614379,-0.0264770018083919,0.653209116952418,0.945197544767398,0.848629374558965,SHOX2,1
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANDROGEN_RESPONSE,1/51,29/1193,0.0344827586206897,0.806626098715348,-0.222695033565277,0.722646139449905,0.945197544767398,0.848629374558965,PTK2B,1
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,2/51,58/1193,0.0344827586206897,0.806626098715348,-0.318936400831415,0.722685695515074,0.945197544767398,0.848629374558965,NDST2/AMPD3,2
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,2/51,59/1193,0.0338983050847458,0.792954469923563,-0.344568443639127,0.731623705657872,0.945197544767398,0.848629374558965,DOCK4/MYO9B,2
HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING,1/51,34/1193,0.0294117647058824,0.68800461361015,-0.389884595435098,0.77839797804374,0.945197544767398,0.848629374558965,STAT2,1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,1/51,34/1193,0.0294117647058824,0.68800461361015,-0.389884595435098,0.77839797804374,0.945197544767398,0.848629374558965,EDEM1,1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,2/51,70/1193,0.0285714285714286,0.668347338935574,-0.604133323818125,0.815029766698224,0.948541243893242,0.851631457365449,WIPF1/DAB2,2
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,1/51,47/1193,0.0212765957446809,0.497705465164789,-0.742173147002911,0.876930443022515,0.948541243893242,0.851631457365449,SHOX2,1
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,1/51,48/1193,0.0208333333333333,0.48733660130719,-0.765844065705489,0.882407360479628,0.948541243893242,0.851631457365449,FOXN3,1
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,1/51,51/1193,0.0196078431372549,0.458669742406767,-0.834650201376943,0.89744365856159,0.948541243893242,0.851631457365449,EDEM1,1
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,1/51,63/1193,0.0158730158730159,0.37130407718643,-1.08308330287416,0.940886746867619,0.948541243893242,0.851631457365449,XPC,1
HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,1/51,66/1193,0.0151515151515152,0.354426619132502,-1.13984497300366,0.948541243893242,0.948541243893242,0.851631457365449,PECAM1,1
