ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-9013148,CDC42 GTPase cycle,10/113,53/2320,0.188679245283019,3.87376857572216,4.78798075078319,0.000167304721929271,0.0570509101778813,0.0570509101778813,DOCK11/WDR81/MYO9B/FMNL3/FMNL1/ARAP1/FNBP1/ARHGAP31/ARHGAP30/STARD8,10
R-HSA-451927,Interleukin-2 family signaling,5/113,18/2320,0.277777777777778,5.70304818092429,4.53159877092727,0.00129126791811859,0.22016118003922,0.22016118003922,STAT5B/STAT5A/CSF2RB/PTK2B/JAK3,5
R-HSA-1433557,Signaling by SCF-KIT,4/113,13/2320,0.307692307692308,6.31722260040844,4.34931788142021,0.00271197291809127,0.308260921689707,0.308260921689707,STAT5B/STAT5A/FES/SH2B3,4
R-HSA-512988,"Interleukin-3, Interleukin-5 and GM-CSF signaling",4/113,15/2320,0.266666666666667,5.47492625368732,3.93354820483525,0.00479966500526197,0.409171441698583,0.409171441698583,STAT5B/STAT5A/CSF2RB/JAK3,4
R-HSA-1280215,Cytokine Signaling in Immune system,17/113,188/2320,0.0904255319148936,1.85652419506684,2.77149046854397,0.008032117420581,0.453790355791204,0.453790355791204,STAT5B/STAT5A/CSF2RB/TNFRSF14/PTK2B/JAK3/BCL6/SH2B3/ALOX5/CIITA/CD40/IL17RA/STAT2/IRAK3/CSF1/TNFRSF1B/GAB3,17
R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,13/113,134/2320,0.0970149253731343,1.99181085721833,2.67574429417527,0.0115790619839552,0.453790355791204,0.453790355791204,PRDM1/STAT5B/STAT5A/FES/NRP1/PTK2B/JAK3/EGR2/SH2B3/PAG1/RANBP10/NCF4/COL6A6,13
R-HSA-449147,Signaling by Interleukins,12/113,120/2320,0.1,2.05309734513274,2.68000886130014,0.012058613398221,0.453790355791204,0.453790355791204,STAT5B/STAT5A/CSF2RB/PTK2B/JAK3/BCL6/ALOX5/IL17RA/STAT2/IRAK3/CSF1/TNFRSF1B,12
R-HSA-9682385,FLT3 signaling in disease,3/113,11/2320,0.272727272727273,5.59935639581657,3.45915377802185,0.0139382744030519,0.453790355791204,0.453790355791204,STAT5B/STAT5A/MYO18A,3
R-HSA-9759475,Regulation of CDH11 Expression and Function,3/113,11/2320,0.272727272727273,5.59935639581657,3.45915377802185,0.0139382744030519,0.453790355791204,0.453790355791204,ZEB2/PRDM8/TNRC6A,3
R-HSA-9013149,RAC1 GTPase cycle,8/113,67/2320,0.119402985074627,2.45145951657641,2.72740832741117,0.0145121337055596,0.453790355791204,0.453790355791204,DOCK11/DOCK4/MYO9B/FMNL1/ARAP1/ARHGAP31/ARHGAP30/NCF4,8
R-HSA-9012999,RHO GTPase cycle,13/113,138/2320,0.0942028985507246,1.93407720918302,2.55966644516766,0.0146383985739098,0.453790355791204,0.453790355791204,DOCK11/DOCK4/WDR81/PTK2B/MYO9B/FMNL3/FMNL1/ARAP1/FNBP1/ARHGAP31/ARHGAP30/NCF4/STARD8,13
R-HSA-9013420,RHOU GTPase cycle,3/113,13/2320,0.230769230769231,4.73791695030633,3.05749641363185,0.022501012932358,0.548060386423863,0.548060386423863,PTK2B/ARHGAP31/ARHGAP30,3
R-HSA-9607240,FLT3 Signaling,3/113,13/2320,0.230769230769231,4.73791695030633,3.05749641363185,0.022501012932358,0.548060386423863,0.548060386423863,STAT5B/STAT5A/SH2B3,3
R-HSA-9764260,Regulation of Expression and Function of Type II Classical Cadherins,3/113,13/2320,0.230769230769231,4.73791695030633,3.05749641363185,0.022501012932358,0.548060386423863,0.548060386423863,ZEB2/PRDM8/TNRC6A,3
R-HSA-8980692,RHOA GTPase cycle,6/113,50/2320,0.12,2.46371681415929,2.36710522892721,0.0322392647679548,0.732905952391505,0.732905952391505,MYO9B/FMNL3/ARAP1/ARHGAP31/ARHGAP30/STARD8,6
R-HSA-1226099,Signaling by FGFR in disease,3/113,16/2320,0.1875,3.84955752212389,2.58752534030892,0.039625271194435,0.844513592331396,0.844513592331396,STAT5B/STAT5A/MYO18A,3
R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,4/113,30/2320,0.133333333333333,2.73746312684366,2.16694012906453,0.0550092418104832,0.923442017032414,0.923442017032413,JAK3/BCL6/ALOX5/TNFRSF1B,4
R-HSA-186797,Signaling by PDGF,3/113,19/2320,0.157894736842105,3.24173265020959,2.21968188560821,0.0617168108438102,0.923442017032414,0.923442017032413,STAT5B/STAT5A/COL6A6,3
R-HSA-983231,Factors involved in megakaryocyte development and platelet production,4/113,33/2320,0.121212121212121,2.48860284258514,1.94845850380659,0.0735524624950123,0.923442017032414,0.923442017032413,DOCK11/DOCK4/SH2B3/MICAL1,4
R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,2/113,10/2320,0.2,4.10619469026549,2.22695331382386,0.0819494493730143,0.923442017032414,0.923442017032413,ADAMTS2/ADAMTS10,2
R-HSA-8956319,Nucleotide catabolism,2/113,10/2320,0.2,4.10619469026549,2.22695331382386,0.0819494493730143,0.923442017032414,0.923442017032413,DPYD/ENTPD4,2
R-HSA-977606,Regulation of Complement cascade,2/113,10/2320,0.2,4.10619469026549,2.22695331382386,0.0819494493730143,0.923442017032414,0.923442017032413,C1R/SERPING1,2
R-HSA-194315,Signaling by Rho GTPases,13/113,177/2320,0.0734463276836158,1.50792460376981,1.59060823880471,0.0846209432065047,0.923442017032414,0.923442017032413,DOCK11/DOCK4/WDR81/PTK2B/MYO9B/FMNL3/FMNL1/ARAP1/FNBP1/ARHGAP31/ARHGAP30/NCF4/STARD8,13
R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",13/113,178/2320,0.0730337078651685,1.49945311723178,1.56885723699165,0.0876048289651678,0.923442017032414,0.923442017032413,DOCK11/DOCK4/WDR81/PTK2B/MYO9B/FMNL3/FMNL1/ARAP1/FNBP1/ARHGAP31/ARHGAP30/NCF4/STARD8,13
R-HSA-373755,Semaphorin interactions,3/113,22/2320,0.136363636363636,2.79967819790829,1.91875539161146,0.088359559981192,0.923442017032414,0.923442017032413,FES/NRP1/TLN1,3
R-HSA-5173105,O-linked glycosylation,3/113,22/2320,0.136363636363636,2.79967819790829,1.91875539161146,0.088359559981192,0.923442017032414,0.923442017032413,ADAMTS2/ADAMTS10/ST3GAL2,3
R-HSA-166658,Complement cascade,2/113,11/2320,0.181818181818182,3.73290426387772,2.05540412523005,0.0970630438107837,0.923442017032414,0.923442017032413,C1R/SERPING1,2
R-HSA-8955332,Carboxyterminal post-translational modifications of tubulin,2/113,11/2320,0.181818181818182,3.73290426387772,2.05540412523005,0.0970630438107837,0.923442017032414,0.923442017032413,TTLL3/VASH1,2
R-HSA-9006335,Signaling by Erythropoietin,2/113,11/2320,0.181818181818182,3.73290426387772,2.05540412523005,0.0970630438107837,0.923442017032414,0.923442017032413,STAT5B/STAT5A,2
