gene,cim,cim_label,highlight,k_datasets,n_scope_datasets,k_concordant,direction_concordant,mean_abs_rrb,stouffer_padj,fisher_padj,stouffer_Z,is_proteostatic,proteostasis_branch
"MTX2","Dys","Dys-CIM","Dys-CIM: Mitochondrial Proteostasis",3,3,3,"YES",0.437,0.00264771368050526,0.00279135619323198,4.14654973249684,TRUE,"Mitochondrial proteostasis"
"EIF3E","Dys","Dys-CIM","Dys-CIM: Translation",3,3,3,"YES",0.531,0.00035938376836702,0.0000860352322151659,4.8005078151672,TRUE,"Translation"
"STING1","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",3,3,3,"YES",0.713,0.000000013842751889939,0.0000000120266151528921,6.96827853007198,FALSE,NA
"STAT2","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",3,3,3,"YES",0.665,0.0000000557295305234065,0.0000000775206877251354,6.48216180450395,FALSE,NA
"CXCL12","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",3,3,3,"YES",0.425,0.0000436216860630297,0.0000921074782558381,4.43945845011389,FALSE,NA
"CD8B","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",3,3,3,"YES",0.407,0.000237798651627013,0.000652442730880469,3.91047808895354,FALSE,NA
"IRF1","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",3,3,3,"YES",0.395,0.000848174975791469,0.00155207309751603,3.4846648637838,FALSE,NA
"GNLY","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",3,3,3,"YES",0.356,0.00161742488494569,0.00322483344357379,3.261620366341,FALSE,NA
"HLA-C","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",3,3,3,"YES",0.365,0.00205781382154089,0.00382602686692518,3.1782062301822,FALSE,NA
"INPP5D","Fun","Fun-CIM","background",3,3,3,"YES",0.633,0.0000000180518888242328,0.0000000775206877251354,6.75280950920728,FALSE,NA
"DOCK8","Fun","Fun-CIM","background",3,3,3,"YES",0.636,0.0000000332288209074553,0.0000000775206877251354,6.60467895125569,FALSE,NA
"LENG8","Fun","Fun-CIM","background",3,3,3,"YES",0.633,0.0000000689614965938359,0.000000372252015701221,6.38856234847005,FALSE,NA
"TNFRSF14","Fun","Fun-CIM","background",3,3,3,"YES",0.623,0.0000000900542950062065,0.000000375978561916524,6.32669378097081,FALSE,NA
"GPR162","Fun","Fun-CIM","background",3,3,3,"YES",0.606,0.00000011668999305409,0.000000414134548513164,6.26411643130505,FALSE,NA
"APOL2","Fun","Fun-CIM","background",3,3,3,"YES",0.618,0.000000133191830579776,0.000000398433395081161,6.23113725080623,FALSE,NA
"EGR2","Fun","Fun-CIM","background",3,3,3,"YES",0.559,0.000000159766606099763,0.000000404793263670027,6.16528277294579,FALSE,NA
"PLEKHO2","Fun","Fun-CIM","background",3,3,3,"YES",0.608,0.00000020299983388997,0.000000414134548513164,6.09679464591061,FALSE,NA
"VSIR","Fun","Fun-CIM","background",3,3,3,"YES",0.612,0.000000216309945638728,0.00000071039637215839,6.06696185628618,FALSE,NA
"BCL6","Fun","Fun-CIM","background",3,3,3,"YES",0.571,0.000000255874861426049,0.000000725641290432929,6.03382279689123,FALSE,NA
"NFAM1","Fun","Fun-CIM","background",3,3,3,"YES",0.604,0.000000255882512011744,0.000000774145208188774,6.0222659725301,FALSE,NA
"APOL3","Fun","Fun-CIM","background",3,3,3,"YES",0.59,0.000000259789594756527,0.00000043666711407559,6.00900902502043,FALSE,NA
"TVP23A","Fun","Fun-CIM","background",3,3,3,"YES",0.583,0.00000039092492947381,0.000000944172007007016,5.89687366720339,FALSE,NA
"AKNA","Fun","Fun-CIM","background",3,3,3,"YES",0.577,0.00000039092492947381,0.00000117104297871348,5.88917516671286,FALSE,NA
"GUSBP11","Fun","Fun-CIM","background",3,3,3,"YES",0.598,0.00000039092492947381,0.00000131686977120226,5.89472435758752,FALSE,NA
"APOL1","Fun","Fun-CIM","background",3,3,3,"YES",0.614,0.000000407524760934385,0.00000103223455687659,5.87413920289157,FALSE,NA
"PML","Fun","Fun-CIM","background",3,3,3,"YES",0.614,0.000000490661869509223,0.000000375978561916524,5.83254742199682,FALSE,NA
"TRIM56","Fun","Fun-CIM","background",3,3,3,"YES",0.617,0.000000513538766821053,0.00000103223455687659,5.82024327978822,FALSE,NA
"SYK","Fun","Fun-CIM","background",3,3,3,"YES",0.625,0.000000556791214612663,0.000000462674510148062,5.79800962514731,FALSE,NA
"LYSMD4","Fun","Fun-CIM","background",3,3,3,"YES",0.522,0.000000601210638503637,0.00000138040115466726,5.77262087565353,FALSE,NA
"ATP5F1C","Dys","Dys-CIM","background",3,3,3,"YES",0.583,0.000000942832155450119,0.000000512492288581965,6.34772207500929,FALSE,NA
"EGR1","Fun","Fun-CIM","background",3,3,3,"YES",0.542,0.0000228027990631532,0.00000688047353332031,4.63146344331014,FALSE,NA
"BORA","Dys","Dys-CIM","background",3,3,3,"YES",0.369,0.01763200024402,0.0120836661835709,3.44449093093373,FALSE,NA
"SULT1E1","Dys","Dys-CIM","background",3,3,3,"YES",0.375,0.0240620801884532,0.0133919901773449,3.30880806936179,FALSE,NA
"PPP2R2C","Dys","Dys-CIM","background",3,3,3,"YES",0.379,0.0261263325707986,0.0133486412868586,3.2725651649172,FALSE,NA
