scope,cim,cim_class,rho_threshold,gene,n_scope_datasets,k_datasets,all_datasets_contributed,k_concordant,direction_concordant,nki_smc,nki_smc_dir,neo,neo_dir,tnbc_cl,tnbc_cl_dir,fisher_stat,fisher_p,fisher_padj,fisher_sig,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,mean_abs_rrb,neg_log10_stouffer,cim_label,highlight,proteostasis_branch,is_proteostatic
"ALL3_NKI.NEO.TNBCCL","Dys","Dys_only",0.3,"ATP5F1C",3,3,"YES",3,"YES","YES","Dys","YES","Dys","YES","Dys",59.407065072231,0.0000000000593918517304398,0.000000512492288581965,"YES",6.34772207500929,0.000000000109263200307118,0.000000942832155450119,"YES",0.583,6.02556561420838,"Dys-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Dys","Dys_only",0.3,"EIF3E",3,3,"YES",3,"YES","YES","Dys","YES","Dys","YES","Dys",42.1464400730546,0.0000001720317700099,0.0000860352322151659,"YES",4.8005078151672,0.000000791318993970723,0.00035938376836702,"YES",0.531,3.44444154177302,"Dys-CIM","Dys-CIM: Translation","Translation",TRUE
"ALL3_NKI.NEO.TNBCCL","Dys","Dys_only",0.3,"MTX2",3,3,"YES",3,"YES","YES","Dys","YES","Dys","YES","Dys",28.6315570737052,0.0000714220032891638,0.00279135619323198,"YES",4.14654973249684,0.0000168761446781538,0.00264771368050526,"YES",0.437,2.5771289805993,"Dys-CIM","Dys-CIM: Mitochondrial Proteostasis","Mitochondrial proteostasis",TRUE
"ALL3_NKI.NEO.TNBCCL","Dys","Dys_only",0.3,"BORA",3,3,"YES",3,"YES","YES","Dys","YES","Dys","YES","Dys",22.9224167529199,0.000822883997419588,0.0120836661835709,"YES",3.44449093093373,0.000286067914493314,0.01763200024402,"YES",0.369,1.75369841681784,"Dys-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Dys","Dys_only",0.3,"PPP2R2C",3,3,"YES",3,"YES","YES","Dys","YES","Dys","YES","Dys",22.5728452615947,0.000952921895086902,0.0133486412868586,"YES",3.2725651649172,0.000532881507991721,0.0261263325707986,"YES",0.379,1.58292154917236,"Dys-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Dys","Dys_only",0.3,"SULT1E1",3,3,"YES",3,"YES","YES","Dys","YES","Dys","YES","Dys",22.5573755313903,0.000959120399768122,0.0133919901773449,"YES",3.30880806936179,0.000468470213426833,0.0240620801884532,"YES",0.375,1.61866683022498,"Dys-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"STING1",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",67.4004031523072,0.00000000000139374378872315,0.0000000120266151528921,"YES",6.96827853007198,0.00000000000160421275813408,0.000000013842751889939,"YES",0.713,7.85877756509504,"Fun-CIM","Fun-CIM: Immunostimulatory",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"INPP5D",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",59.2824420724588,0.0000000000629543472201904,0.0000000775206877251354,"YES",6.75280950920728,0.00000000000725046396611156,0.0000000180518888242328,"YES",0.633,7.74347734982345,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"DOCK8",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",59.0878728416084,0.0000000000689472142367852,0.0000000775206877251354,"YES",6.60467895125569,0.000000000019918986407906,0.0000000332288209074553,"YES",0.636,7.47848506896718,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"STAT2",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",58.9990239612401,0.0000000000718699156102774,0.0000000775206877251354,"YES",6.48216180450395,0.0000000000452087975042121,0.0000000557295305234065,"YES",0.665,7.25391461551105,"Fun-CIM","Fun-CIM: Immunostimulatory",NA,FALSE
