gene,cim,cim_label,highlight,k_datasets,n_scope_datasets,k_concordant,direction_concordant,mean_abs_rrb,stouffer_padj,fisher_padj,stouffer_Z,is_proteostatic,proteostasis_branch
"STING1","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.772,0.00000082235525084142,0.000000959514089877929,6.0976863319377,FALSE,NA
"STAT2","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.669,0.000036414722629526,0.0000377451893058065,4.74541028230907,FALSE,NA
"PSMB8","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.572,0.000423154374330483,0.000207047543966124,3.87654527374031,FALSE,NA
"DHX58","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.535,0.00101844636914952,0.000856810123232708,3.56823113634905,FALSE,NA
"IRF7","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.512,0.00130385674918028,0.00202626681296167,3.47179409315513,FALSE,NA
"CGAS","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.493,0.00209293023670678,0.00289763404198485,3.2981615784325,FALSE,NA
"OAS3","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.467,0.00411772558493928,0.00308123222808954,3.03684220905461,FALSE,NA
"STAT1","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.451,0.00554251027994152,0.0037365123225185,2.9140870358363,FALSE,NA
"IRF1","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.398,0.0125878778448689,0.0130640686652254,2.5622462234229,FALSE,NA
"HLA-C","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.376,0.0169765000903343,0.0194937941473859,2.42469079233671,FALSE,NA
"CD8B","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.365,0.0192623711249715,0.023854904342551,2.36566300380182,FALSE,NA
"GNLY","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.333,0.0336874076267729,0.0327493263840234,2.10714009087446,FALSE,NA
"CXCL12","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.331,0.0340958871753403,0.0347295380478853,2.10140446801925,FALSE,NA
"MYPOP","Fun","Fun-CIM","background",2,2,2,"YES",0.824,0.0000000383673242596396,0.0000000623885194536572,6.73198822177656,FALSE,NA
