scope,cim,cim_class,rho_threshold,gene,n_scope_datasets,k_datasets,all_datasets_contributed,k_concordant,direction_concordant,nki_smc,nki_smc_dir,neo,neo_dir,tnbc_cl,tnbc_cl_dir,fisher_stat,fisher_p,fisher_padj,fisher_sig,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,mean_abs_rrb,neg_log10_stouffer,cim_label,highlight,proteostasis_branch,is_proteostatic
"NEO.TNBCCL","Fun","Fun_only",0.3,"MYPOP",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",56.8029495640883,0.0000000000136070925744072,0.0000000623885194536572,"YES",6.73198822177656,0.0000000000083680096531384,0.0000000383673242596396,"YES",0.824,7.41603848747861,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"HCFC1R1",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",53.5023065583902,0.0000000000668964054618133,0.000000153360009521207,"YES",5.78712789996623,0.00000000358000312674736,0.00000292157454271914,"YES",0.753,5.53438302837525,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"PRKACA",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",50.8256507777897,0.000000000242753233993459,0.00000032908127591106,"YES",6.38110017052897,0.0000000000879101242939152,0.000000201533959943801,"YES",0.786,6.69565176156504,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"ZFYVE19",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",50.4768750349865,0.000000000287093806683586,0.00000032908127591106,"YES",5.60504651993047,0.0000000104099518810027,0.00000428335861903808,"YES",0.74,5.36821556329913,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"CDK2AP2",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",47.8060491415447,0.00000000103585847874039,0.00000094988222500494,"YES",5.94398273085215,0.00000000139089460115801,0.00000159431293657737,"YES",0.776,5.79742642993502,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"STING1",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",47.4050608754451,0.0000000012556345778119,0.000000959514089877929,"YES",6.0976863319377,0.000000000538073228467669,0.00000082235525084142,"YES",0.772,6.08494053020848,"Fun-CIM","Fun-CIM: Immunostimulatory",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"ISYNA1",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",46.4782255856089,0.00000000195838588073196,0.00000128274275187944,"YES",5.34330599092847,0.0000000456332522436463,0.00000804724852065839,"YES",0.719,5.09435258628533,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"HIRIP3",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",45.0686394521961,0.00000000384743187590968,0.00000199460588531791,"YES",5.48935323723513,0.0000000201704073691751,0.00000578008236172923,"YES",0.739,5.23806597317295,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"GUSB",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",44.8455850474768,0.00000000428098404823691,0.00000199460588531791,"YES",5.53297391172442,0.0000000157423157495515,0.00000515560840797812,"YES",0.743,5.28772007671676,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"UNK",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",44.6463808168016,0.00000000470922612866427,0.00000199460588531791,"YES",5.76860740890435,0.0000000039964631649316,0.00000292157454271914,"YES",0.759,5.53438302837525,"Fun-CIM","background",NA,FALSE
