gene,cim,cim_label,highlight,k_datasets,n_scope_datasets,k_concordant,direction_concordant,mean_abs_rrb,stouffer_padj,fisher_padj,stouffer_Z,is_proteostatic,proteostasis_branch
"TXNDC9","Dys","Dys-CIM","Dys-CIM: Cytonuclear Proteostasis",2,2,2,"YES",0.429,0.043873837854679,0.0128666270080821,3.54054830760794,TRUE,"Cytonuclear proteostasis"
"MTX2","Dys","Dys-CIM","Dys-CIM: Mitochondrial Proteostasis",2,2,2,"YES",0.48,0.0319810359224246,0.0111488944366259,3.74007997886091,TRUE,"Mitochondrial proteostasis"
"MRPL36","Dys","Dys-CIM","Dys-CIM: Translation",2,2,2,"YES",0.474,0.0170624028118873,0.00676497395039002,4.0861000591106,TRUE,"Translation"
"RPL35","Dys","Dys-CIM","Dys-CIM: Translation",2,2,2,"YES",0.495,0.0170624028118873,0.00718129970032664,4.07745158037523,TRUE,"Translation"
"RPL30","Dys","Dys-CIM","Dys-CIM: Translation",2,2,2,"YES",0.499,0.0170624028118873,0.00718129970032664,4.06235517450794,TRUE,"Translation"
"EIF3E","Dys","Dys-CIM","Dys-CIM: Translation",2,2,2,"YES",0.441,0.0467219590493484,0.0152272392655228,3.4941975882836,TRUE,"Translation"
"STING1","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.722,0.000000276759909233094,0.000000394218257796866,5.88249872526859,FALSE,NA
"STAT2","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.649,0.00000145772374227663,0.00000338566304804552,5.3518149564393,FALSE,NA
"NFKB1","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.61,0.0000212857919231039,0.000016949274934866,4.54067962954018,FALSE,NA
"ITGAM","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.573,0.0000222949363495401,0.0000474182114492572,4.52434389209847,FALSE,NA
"IRF3","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.595,0.0000354033082455451,0.0000162269163557844,4.38394549753795,FALSE,NA
"CXCL12","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.467,0.0000945431117896558,0.000128669080892501,4.08195092463679,FALSE,NA
"PRF1","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.482,0.000103379175806551,0.00017323103178267,4.04993364486187,FALSE,NA
"TAPBP","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.545,0.000148763029318146,0.000173351283564515,3.93460501754631,FALSE,NA
"CD8B","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.45,0.000479079921944587,0.00093497006168611,3.55290090371575,FALSE,NA
"LAG3","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.423,0.00055314644138567,0.000931289145952367,3.50374162504578,FALSE,NA
"TNF","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.454,0.000658127749636926,0.0013148184716086,3.44496744237991,FALSE,NA
"IL18","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.4,0.00101084346469054,0.00170346461341566,3.29839923224962,FALSE,NA
"MX2","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.426,0.00174604701420485,0.00317037276202122,3.10860874227787,FALSE,NA
"TAP2","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.436,0.00223164337611241,0.00303187484888612,3.02164465168612,FALSE,NA
"IRF1","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.385,0.00323667148175285,0.00595283816217397,2.888477568991,FALSE,NA
"GNLY","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.357,0.00439274918904206,0.00773813367902517,2.77996277237059,FALSE,NA
"RELB","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.358,0.00471702327655323,0.00837561281840401,2.75395810976847,FALSE,NA
"HLA-C","Fun","Fun-CIM","Fun-CIM: Immunostimulatory",2,2,2,"YES",0.368,0.00579575133326267,0.0099108136638094,2.67963038724376,FALSE,NA
"PTGER4","Fun","Fun-CIM","background",2,2,2,"YES",0.711,0.0000000342108650812679,0.0000000414022594545305,6.74657531376685,FALSE,NA
"IFFO1","Fun","Fun-CIM","background",2,2,2,"YES",0.768,0.000000052217268687576,0.000000133771075930659,6.58266172197516,FALSE,NA
"PRDM1","Fun","Fun-CIM","background",2,2,2,"YES",0.727,0.0000000533234279300543,0.000000155214720590275,6.43516576815789,FALSE,NA
"CSGALNACT1","Fun","Fun-CIM","background",2,2,2,"YES",0.756,0.0000000533234279300543,0.000000155214720590275,6.41419745906483,FALSE,NA
"FOXN3","Fun","Fun-CIM","background",2,2,2,"YES",0.753,0.0000000533234279300543,0.000000155214720590275,6.4327906914818,FALSE,NA
"INPP5D","Fun","Fun-CIM","background",2,2,2,"YES",0.746,0.0000000533234279300543,0.000000155214720590275,6.42948340296971,FALSE,NA
"WIPF1","Fun","Fun-CIM","background",2,2,2,"YES",0.742,0.0000000540023660401091,0.0000001738369371189,6.38873469078965,FALSE,NA
"TBC1D2B","Fun","Fun-CIM","background",2,2,2,"YES",0.749,0.0000000806600599391514,0.000000185465982130048,6.3064423082695,FALSE,NA
"BHLHE41","Fun","Fun-CIM","background",2,2,2,"YES",0.709,0.0000000950817367850381,0.00000022218340531204,6.26258634652078,FALSE,NA
"TTLL3","Fun","Fun-CIM","background",2,2,2,"YES",0.741,0.000000119522656674073,0.000000265989317005422,6.18157957127226,FALSE,NA
"ADAMTSL4","Fun","Fun-CIM","background",2,2,2,"YES",0.736,0.000000119522656674073,0.000000297922215702985,6.18595522178913,FALSE,NA
"SCARF1","Fun","Fun-CIM","background",2,2,2,"YES",0.727,0.000000119522656674073,0.000000297922215702985,6.19354656387255,FALSE,NA
"H6PD","Fun","Fun-CIM","background",2,2,2,"YES",0.739,0.000000153257882040707,0.00000022218340531204,6.11769506864991,FALSE,NA
"TTBK2","Fun","Fun-CIM","background",2,2,2,"YES",0.69,0.000000153257882040707,0.000000313058108546793,6.12292870398107,FALSE,NA
"DOCK11","Fun","Fun-CIM","background",2,2,2,"YES",0.665,0.00000016287443844997,0.000000297922215702985,6.08991807511122,FALSE,NA
"PECAM1","Fun","Fun-CIM","background",2,2,2,"YES",0.714,0.00000016287443844997,0.000000394218257796866,6.0806730750926,FALSE,NA
"STAT5B","Fun","Fun-CIM","background",2,2,2,"YES",0.713,0.00000016287443844997,0.000000394218257796866,6.07691564348193,FALSE,NA
"KCTD12","Fun","Fun-CIM","background",2,2,2,"YES",0.669,0.000000215346411169911,0.000000394218257796866,6.02271543888294,FALSE,NA
"STAT5A","Fun","Fun-CIM","background",2,2,2,"YES",0.729,0.000000219674995434586,0.000000394218257796866,6.01073637298614,FALSE,NA
"CCND2","Fun","Fun-CIM","background",2,2,2,"YES",0.681,0.000000229146109679227,0.000000409788992539204,5.99556099040813,FALSE,NA
"EGR2","Fun","Fun-CIM","background",2,2,2,"YES",0.631,0.000000358421917143196,0.000000550478345094904,5.78036423107584,FALSE,NA
"ATP5F1C","Dys","Dys-CIM","background",2,2,2,"YES",0.558,0.00014407031757221,0.0000674547100201704,5.40795642616269,FALSE,NA
"EGR1","Fun","Fun-CIM","background",2,2,2,"YES",0.453,0.00105962808924108,0.00186424018235061,3.28166391978296,FALSE,NA
"SNRPE","Dys","Dys-CIM","background",2,2,2,"YES",0.519,0.00933581023141621,0.0046736852366999,4.45828556553663,FALSE,NA
"SNRPD2","Dys","Dys-CIM","background",2,2,2,"YES",0.484,0.0170624028118873,0.00588082374573071,4.20847849379317,FALSE,NA
"CCDC167","Dys","Dys-CIM","background",2,2,2,"YES",0.456,0.0170624028118873,0.00703356159801444,4.00272011230218,FALSE,NA
"DPM1","Dys","Dys-CIM","background",2,2,2,"YES",0.457,0.0170624028118873,0.00718129970032664,3.95826124198951,FALSE,NA
"OSER1","Dys","Dys-CIM","background",2,2,2,"YES",0.465,0.0170624028118873,0.00718129970032664,3.96559565649843,FALSE,NA
"SCAND1","Dys","Dys-CIM","background",2,2,2,"YES",0.471,0.0170624028118873,0.00718129970032664,3.97430233871893,FALSE,NA
"RFC3","Dys","Dys-CIM","background",2,2,2,"YES",0.464,0.0270430095310295,0.00922236465418764,3.82339760487547,FALSE,NA
"COPS9","Dys","Dys-CIM","background",2,2,2,"YES",0.47,0.0314090144201349,0.0103061504451031,3.76466348298952,FALSE,NA
"THOC3","Dys","Dys-CIM","background",2,2,2,"YES",0.434,0.0334355370932868,0.0098484100849886,3.7101667277674,FALSE,NA
"BBLN","Dys","Dys-CIM","background",2,2,2,"YES",0.434,0.0357263539523593,0.0114142484128994,3.62897736870516,FALSE,NA
"CLPSL2","Dys","Dys-CIM","background",2,2,2,"YES",0.486,0.0357263539523593,0.0117781594175805,3.65955738770938,FALSE,NA
"VPS25","Dys","Dys-CIM","background",2,2,2,"YES",0.453,0.0357263539523593,0.0117781594175805,3.64399671705989,FALSE,NA
"MIX23","Dys","Dys-CIM","background",2,2,2,"YES",0.48,0.0357263539523593,0.0121301237934999,3.64352891449097,FALSE,NA
"TSTD1","Dys","Dys-CIM","background",2,2,2,"YES",0.42,0.043873837854679,0.0128666270080821,3.52275221344731,FALSE,NA
