scope,cim,cim_class,rho_threshold,gene,n_scope_datasets,k_datasets,all_datasets_contributed,k_concordant,direction_concordant,nki_smc,nki_smc_dir,neo,neo_dir,tnbc_cl,tnbc_cl_dir,fisher_stat,fisher_p,fisher_padj,fisher_sig,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,mean_abs_rrb,neg_log10_stouffer,cim_label,highlight,proteostasis_branch,is_proteostatic
"NKI.NEO","Dys","Dys_only",0.3,"ATP5F1C",2,2,"YES",2,"YES","YES","Dys","YES","Dys","NO",NA,42.233304481223,0.0000000149236084115421,0.0000674547100201704,"YES",5.40795642616269,0.0000000318739640646483,0.00014407031757221,"YES",0.558,3.84142548651736,"Dys-CIM","background",NA,FALSE
"NKI.NEO","Dys","Dys_only",0.3,"SNRPE",2,2,"YES",2,"YES","YES","Dys","YES","Dys","NO",NA,29.3112233698823,0.00000675800886354529,0.0046736852366999,"YES",4.45828556553663,0.00000413088948292752,0.00933581023141621,"YES",0.519,2.02984798475686,"Dys-CIM","background",NA,FALSE
"NKI.NEO","Dys","Dys_only",0.3,"SNRPD2",2,2,"YES",2,"YES","YES","Dys","YES","Dys","NO",NA,27.1748120584331,0.000018324942032557,0.00588082374573071,"YES",4.20847849379317,0.0000128547996668736,0.0170624028118873,"YES",0.484,1.76795980936645,"Dys-CIM","background",NA,FALSE
"NKI.NEO","Dys","Dys_only",0.3,"MRPL36",2,2,"YES",2,"YES","YES","Dys","YES","Dys","NO",NA,25.914437036861,0.0000329268643603054,0.00676497395039002,"YES",4.0861000591106,0.0000219342327665004,0.0170624028118873,"YES",0.474,1.76795980936645,"Dys-CIM","Dys-CIM: Translation","Translation",TRUE
"NKI.NEO","Dys","Dys_only",0.3,"CCDC167",2,2,"YES",2,"YES","YES","Dys","YES","Dys","NO",NA,25.4828166091924,0.0000402260997153215,0.00703356159801444,"YES",4.00272011230218,0.0000313091822943532,0.0170624028118873,"YES",0.456,1.76795980936645,"Dys-CIM","background",NA,FALSE
"NKI.NEO","Dys","Dys_only",0.3,"RPL35",2,2,"YES",2,"YES","YES","Dys","YES","Dys","NO",NA,25.2131676966003,0.0000455805227116795,0.00718129970032664,"YES",4.07745158037523,0.0000227660039197573,0.0170624028118873,"YES",0.495,1.76795980936645,"Dys-CIM","Dys-CIM: Translation","Translation",TRUE
"NKI.NEO","Dys","Dys_only",0.3,"RPL30",2,2,"YES",2,"YES","YES","Dys","YES","Dys","NO",NA,24.9457930899139,0.0000515882543168544,0.00718129970032664,"YES",4.06235517450794,0.0000242900435750395,0.0170624028118873,"YES",0.499,1.76795980936645,"Dys-CIM","Dys-CIM: Translation","Translation",TRUE
"NKI.NEO","Dys","Dys_only",0.3,"DPM1",2,2,"YES",2,"YES","YES","Dys","YES","Dys","NO",NA,24.8659160517099,0.0000535311524638599,0.00718129970032664,"YES",3.95826124198951,0.0000377486787873613,0.0170624028118873,"YES",0.457,1.76795980936645,"Dys-CIM","background",NA,FALSE
"NKI.NEO","Dys","Dys_only",0.3,"OSER1",2,2,"YES",2,"YES","YES","Dys","YES","Dys","NO",NA,24.7033434649526,0.00005771288310076,0.00718129970032664,"YES",3.96559565649843,0.0000366064416330287,0.0170624028118873,"YES",0.465,1.76795980936645,"Dys-CIM","background",NA,FALSE
"NKI.NEO","Dys","Dys_only",0.3,"SCAND1",2,2,"YES",2,"YES","YES","Dys","YES","Dys","NO",NA,24.6058823184308,0.0000603737585425691,0.00718129970032664,"YES",3.97430233871893,0.0000352929267669839,0.0170624028118873,"YES",0.471,1.76795980936645,"Dys-CIM","background",NA,FALSE
