gene,cim,cim_label,highlight,k_datasets,n_scope_datasets,k_concordant,direction_concordant,mean_abs_rrb,stouffer_padj,fisher_padj,stouffer_Z,is_proteostatic,proteostasis_branch
"TBCB","Dys","Dys-CIM","Dys-CIM: Cytonuclear Proteostasis",2,2,2,"YES",0.567,0.0000513162859375334,0.0000635991918810916,4.98222334817626,TRUE,"Cytonuclear proteostasis"
"TBCA","Dys","Dys-CIM","Dys-CIM: Cytonuclear Proteostasis",2,2,2,"YES",0.575,0.0000709377283400739,0.0000665898276471616,4.8781677994432,TRUE,"Cytonuclear proteostasis"
"NUDCD1","Dys","Dys-CIM","Dys-CIM: Cytonuclear Proteostasis",2,2,2,"YES",0.558,0.000243537914674472,0.000159083463642031,4.45804383650749,TRUE,"Cytonuclear proteostasis"
"CCT8","Dys","Dys-CIM","Dys-CIM: Cytonuclear Proteostasis",2,2,2,"YES",0.511,0.000560174669303908,0.000511267549739337,4.18753378397389,TRUE,"Cytonuclear proteostasis"
"CCT4","Dys","Dys-CIM","Dys-CIM: Cytonuclear Proteostasis",2,2,2,"YES",0.525,0.00069354746510677,0.00042737040539344,4.10423221851896,TRUE,"Cytonuclear proteostasis"
"CCT3","Dys","Dys-CIM","Dys-CIM: Cytonuclear Proteostasis",2,2,2,"YES",0.461,0.000767478864353497,0.000973584938406348,4.06619761187649,TRUE,"Cytonuclear proteostasis"
"NUDCD2","Dys","Dys-CIM","Dys-CIM: Cytonuclear Proteostasis",2,2,2,"YES",0.423,0.00430606187548278,0.00424328336868183,3.43106174627459,TRUE,"Cytonuclear proteostasis"
"HSPA4","Dys","Dys-CIM","Dys-CIM: Cytonuclear Proteostasis",2,2,2,"YES",0.448,0.00528808468297911,0.00290730117677874,3.3476253313761,TRUE,"Cytonuclear proteostasis"
"HSP90AB1","Dys","Dys-CIM","Dys-CIM: Cytonuclear Proteostasis",2,2,2,"YES",0.414,0.00681416849309618,0.00572254774869694,3.24924371129445,TRUE,"Cytonuclear proteostasis"
"PTGES3","Dys","Dys-CIM","Dys-CIM: Cytonuclear Proteostasis",2,2,2,"YES",0.401,0.00981862130741733,0.00761577024963375,3.09847427624892,TRUE,"Cytonuclear proteostasis"
"YWHAE","Dys","Dys-CIM","Dys-CIM: Mitochondrial Proteostasis",2,2,2,"YES",0.664,0.0000213625280602415,0.00000175060424518983,5.33786225211591,TRUE,"Mitochondrial proteostasis"
"TRAP1","Dys","Dys-CIM","Dys-CIM: Mitochondrial Proteostasis",2,2,2,"YES",0.643,0.0000513162859375334,0.00000175060424518983,4.97605872144375,TRUE,"Mitochondrial proteostasis"
"YWHAZ","Dys","Dys-CIM","Dys-CIM: Mitochondrial Proteostasis",2,2,2,"YES",0.592,0.000133991608637433,0.0000550814570285628,4.67430544878719,TRUE,"Mitochondrial proteostasis"
