scope,cim,cim_class,rho_threshold,gene,n_scope_datasets,k_datasets,all_datasets_contributed,k_concordant,direction_concordant,nki_smc,nki_smc_dir,neo,neo_dir,tnbc_cl,tnbc_cl_dir,fisher_stat,fisher_p,fisher_padj,fisher_sig,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,mean_abs_rrb,neg_log10_stouffer,cim_label,highlight,proteostasis_branch,is_proteostatic
"NKI.TNBCCL","Dys","Dys_only",0.3,"ATP5F1C",2,2,"YES",2,"YES","YES","Dys","NO",NA,"YES","Dys",54.1471401007271,0.0000000000490225125154051,0.000000155891589798988,"YES",6.62111019600298,0.0000000000178255533888137,0.0000000566852597764275,"YES",0.702,7.24652985874398,"Dys-CIM","background",NA,FALSE
"NKI.TNBCCL","Dys","Dys_only",0.3,"DAP3",2,2,"YES",2,"YES","YES","Dys","NO",NA,"YES","Dys",51.2331617935945,0.000000000199531991667015,0.000000317255866750554,"YES",5.44396025698612,0.0000000260544254873901,0.0000138088455083167,"YES",0.681,4.859842629193,"Dys-CIM","background",NA,FALSE
"NKI.TNBCCL","Dys","Dys_only",0.3,"TRAP1",2,2,"YES",2,"YES","YES","Dys","NO",NA,"YES","Dys",45.6575329169962,0.0000000029019789592162,0.00000175060424518983,"YES",4.97605872144375,0.000000324459844309786,0.0000513162859375334,"YES",0.643,4.28974478361442,"Dys-CIM","Dys-CIM: Mitochondrial Proteostasis","Mitochondrial proteostasis",TRUE
"NKI.TNBCCL","Dys","Dys_only",0.3,"HMGA1",2,2,"YES",2,"YES","YES","Dys","NO",NA,"YES","Dys",45.2354828809209,0.00000000355204176079807,0.00000175060424518983,"YES",5.78054262029807,0.0000000037230035498226,0.00000591957564421793,"YES",0.671,5.22770942536832,"Dys-CIM","background",NA,FALSE
"NKI.TNBCCL","Dys","Dys_only",0.3,"YWHAE",2,2,"YES",2,"YES","YES","Dys","NO",NA,"YES","Dys",45.1489308298716,0.00000000370233823087776,0.00000175060424518983,"YES",5.33786225211591,0.0000000470244328370096,0.0000213625280602415,"YES",0.664,4.67034735381363,"Dys-CIM","Dys-CIM: Mitochondrial Proteostasis","Mitochondrial proteostasis",TRUE
"NKI.TNBCCL","Dys","Dys_only",0.3,"OLA1",2,2,"YES",2,"YES","YES","Dys","NO",NA,"YES","Dys",45.0653306879811,0.00000000385353135733611,0.00000175060424518983,"YES",5.67613699556279,0.00000000688852294814264,0.0000073018343250312,"YES",0.672,5.13656802519908,"Dys-CIM","background",NA,FALSE
"NKI.TNBCCL","Dys","Dys_only",0.3,"PSMD14",2,2,"YES",2,"YES","YES","Dys","NO",NA,"YES","Dys",44.2573331098932,0.00000000567273920804675,0.00000225491383519858,"YES",5.09528280977579,0.000000174110515478692,0.0000513162859375334,"YES",0.649,4.28974478361442,"Dys-CIM","background",NA,FALSE
"NKI.TNBCCL","Dys","Dys_only",0.3,"GMPS",2,2,"YES",2,"YES","YES","Dys","NO",NA,"YES","Dys",43.3822138291676,0.00000000862040445589489,0.00000304587624108286,"YES",4.34540112540939,0.00000695106911612968,0.000352733177715599,"YES",0.592,3.45255368912428,"Dys-CIM","background",NA,FALSE
"NKI.TNBCCL","Dys","Dys_only",0.3,"RAC3",2,2,"YES",2,"YES","YES","Dys","NO",NA,"YES","Dys",42.3508731111364,0.000000014109022639096,0.00000448666919923254,"YES",5.55773694304152,0.0000000136647425270261,0.0000086907762471886,"YES",0.651,5.06094143128268,"Dys-CIM","background",NA,FALSE
"NKI.TNBCCL","Dys","Dys_only",0.3,"VDAC1",2,2,"YES",2,"YES","YES","Dys","NO",NA,"YES","Dys",40.973941140747,0.0000000272142844218287,0.00000786740222376501,"YES",4.84511623369211,0.000000632687883838801,0.0000773825950233611,"YES",0.627,4.11135671031613,"Dys-CIM","background",NA,FALSE
"NKI.TNBCCL","Dys","Dys_only",0.3,"NTHL1",2,2,"YES",2,"YES","YES","Dys","NO",NA,"YES","Dys",40.1056412619603,0.0000000411605286160554,0.0000109075400832547,"YES",5.55861914542109,0.0000000135958654865075,0.0000086907762471886,"YES",0.604,5.06094143128268,"Dys-CIM","background",NA,FALSE
"NKI.TNBCCL","Dys","Dys_only",0.3,"BZW2",2,2,"YES",2,"YES","YES","Dys","NO",NA,"YES","Dys",39.3066746562987,0.0000000602080117555438,0.00001318611867,"YES",5.00903178531545,0.00000027352269498736,0.0000513162859375334,"YES",0.629,4.28974478361442,"Dys-CIM","Dys-CIM: Translation","Translation",TRUE
"NKI.TNBCCL","Dys","Dys_only",0.3,"LYPLA1",2,2,"YES",2,"YES","YES","Dys","NO",NA,"YES","Dys",39.2383051033319,0.0000000621986729716981,0.00001318611867,"YES",4.27585199621616,0.00000952038468416745,0.000432497475652179,"YES",0.584,3.36401642302813,"Dys-CIM","background",NA,FALSE
