family,dataset,GeneSet,analysis_pool,standalone,n_genes,test,p_value,direction
"zscore","nki_smc","GOBP_ADAPTIVE_IMMUNE_RESPONSE","19 a priori immune/stress pathways",FALSE,482,"Fry",2.93172494580134e-05,"Down"
"zscore","nki_smc","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION","19 a priori immune/stress pathways",FALSE,117,"Fry",0.000184735724797082,"Down"
"zscore","nki_smc","GOBP_B_CELL_ACTIVATION","19 a priori immune/stress pathways",FALSE,285,"Fry",0.000371106181993251,"Down"
"zscore","nki_smc","GOBP_CELLULAR_RESPONSE_TO_STRESS","19 a priori immune/stress pathways",FALSE,1871,"Fry",0.81529747968005,"Down"
"zscore","nki_smc","GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE","19 a priori immune/stress pathways",FALSE,69,"Fry",6.28593730611951e-05,"Down"
"zscore","nki_smc","GOBP_INFLAMMASOME_MEDIATED_SIGNALING_PATHWAY","19 a priori immune/stress pathways",FALSE,58,"Fry",0.0153180440059157,"Down"
"zscore","nki_smc","GOBP_INFLAMMATORY_CELL_APOPTOTIC_PROCESS","19 a priori immune/stress pathways",FALSE,22,"Fry",0.000474397697243125,"Down"
"zscore","nki_smc","GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY","19 a priori immune/stress pathways",FALSE,320,"Fry",0.79854964129205,"Down"
"zscore","nki_smc","GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS","19 a priori immune/stress pathways",FALSE,67,"Fry",0.343595375551401,"Down"
"zscore","nki_smc","GOBP_LEUKOCYTE_CHEMOTAXIS_INVOLVED_IN_INFLAMMATORY_RESPONSE","19 a priori immune/stress pathways",FALSE,8,"Fry",0.000132176159064626,"Down"
"zscore","nki_smc","GOBP_LEUKOCYTE_MIGRATION_INVOLVED_IN_INFLAMMATORY_RESPONSE","19 a priori immune/stress pathways",FALSE,21,"Fry",1.33023944411623e-06,"Down"
"zscore","nki_smc","GOBP_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS","19 a priori immune/stress pathways",FALSE,280,"Fry",0.590065032939723,"Down"
