family,test,scope,GeneSet,analysis_pool,standalone,n_scope_datasets,k_datasets,all_datasets_present,meta_direction,k_concordant,direction_concordant,n_up,n_down,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,stouffer_sig_nominal,fisher_stat,fisher_p,fisher_padj,fisher_sig,min_p_dataset,max_p_dataset,mean_n_genes,datasets,nki_smc_direction,nki_smc_p_value,neo_direction,neo_p_value,tnbc_cl_direction,tnbc_cl_p_value
"icd","Fry","ALL3_NKI.NEO.TNBCCL","GOBP_INFLAMMATORY_CELL_APOPTOTIC_PROCESS","Standalone prespecified pathway",TRUE,3,3,"YES","Fun-CIM",3,"YES",0,3,-5.15758395309866,2.5015669777089e-07,NA,"NO","YES",36.023909333536,2.72728726619438e-06,NA,"NO",0.000154341008100854,0.205533953023574,22.7,"neo;nki_smc;tnbc_cl","Down",0.000474397697243125,"Down",0.000154341008100854,"Down",0.205533953023574
"icd","Fry","ALL3_NKI.NEO.TNBCCL","PANoptosis","Five a priori ICD programs",FALSE,3,3,"YES","Fun-CIM",3,"YES",0,3,-4.42541516370452,9.62569804596361e-06,2.01276714065502e-05,"YES","YES",29.5890670582683,4.70475211424907e-05,0.000117618802856227,"YES",0.00262058585836973,0.0160978631539407,9,"neo;nki_smc;tnbc_cl","Down",0.0160978631539407,"Down",0.00262058585836973,"Down",0.00890531122099069
"icd","Fry","ALL3_NKI.NEO.TNBCCL","Necroptosis","Five a priori ICD programs",FALSE,3,3,"YES","Fun-CIM",3,"YES",0,3,-4.40884467212601,1.03923524496073e-05,2.01276714065502e-05,"YES","YES",31.6222844502497,1.92755428842253e-05,9.63777144211267e-05,"YES",1.78400121538847e-05,0.34944684021578,8,"neo;nki_smc;tnbc_cl","Down",0.0218037862228626,"Down",1.78400121538847e-05,"Down",0.34944684021578
"icd","Fry","ALL3_NKI.NEO.TNBCCL","Pyroptosis","Five a priori ICD programs",FALSE,3,3,"YES","Fun-CIM",3,"YES",0,3,-4.37620033155759,1.20766028439301e-05,2.01276714065502e-05,"YES","YES",26.7910220218427,0.000158459516632778,0.000264099194387964,"YES",0.00258414292125562,0.115567877162012,12,"neo;nki_smc;tnbc_cl","Down",0.00258414292125562,"Down",0.00509623938960914,"Down",0.115567877162012
"icd","Fry","ALL3_NKI.NEO.TNBCCL","Apoptosis","Five a priori ICD programs",FALSE,3,3,"YES","Fun-CIM",3,"YES",0,3,-2.71941829871422,0.00653968484688651,0.00817460605860813,"YES","YES",20.6090073427442,0.00215610121866827,0.00215610121866827,"YES",0.000146780597703397,0.709931987059326,20,"neo;nki_smc;tnbc_cl","Down",0.709931987059326,"Down",0.000146780597703397,"Down",0.321310945800914
"icd","Fry","ALL3_NKI.NEO.TNBCCL","Ferroptosis","Five a priori ICD programs",FALSE,3,3,"YES","Fun-CIM",2,"NO",1,2,-2.62300654243405,0.00871575988750782,0.00871575988750782,"YES","YES",24.2788184166135,0.000464035855287318,0.000580044819109147,"YES",0.00673044652089034,0.0516376672231182,5,"neo;nki_smc;tnbc_cl","Down",0.00673044652089034,"Down",0.0153783972438223,"Up",0.0516376672231182
"icd","Fry","NEO.TNBCCL","Necroptosis","Five a priori ICD programs",FALSE,2,2,"YES","Fun-CIM",2,"YES",0,2,-4.06465733951993,4.8103080195686e-05,0.000186068563316083,"YES","YES",23.97094116161,8.09531880221499e-05,0.000404765940110749,"YES",1.78400121538847e-05,0.34944684021578,8,"neo;tnbc_cl","Down",0.0218037862228626,"Down",1.78400121538847e-05,"Down",0.34944684021578
"icd","Fry","NEO.TNBCCL","PANoptosis","Five a priori ICD programs",FALSE,2,2,"YES","Fun-CIM",2,"YES",0,2,-3.96166979459972,7.4427425326433e-05,0.000186068563316083,"YES","YES",21.3309295799524,0.000272238499228856,0.00068059624807214,"YES",0.00262058585836973,0.00890531122099069,9,"neo;tnbc_cl","Down",0.0160978631539407,"Down",0.00262058585836973,"Down",0.00890531122099069
"icd","Fry","NEO.TNBCCL","GOBP_INFLAMMATORY_CELL_APOPTOTIC_PROCESS","Standalone prespecified pathway",TRUE,2,2,"YES","Fun-CIM",2,"YES",0,2,-3.8347908974622,0.00012567116060393,NA,"NO","YES",20.7169802048697,0.000360317629447864,NA,"NO",0.000154341008100854,0.205533953023574,23,"neo;tnbc_cl","Down",0.000474397697243125,"Down",0.000154341008100854,"Down",0.205533953023574
"icd","Fry","NEO.TNBCCL","Apoptosis","Five a priori ICD programs",FALSE,2,2,"YES","Fun-CIM",2,"YES",0,2,-3.68962526845697,0.000224584620909807,0.000374307701516345,"YES","YES",19.9238351299254,0.000516988287505975,0.000861647145843292,"YES",0.000146780597703397,0.321310945800914,20,"neo;tnbc_cl","Down",0.709931987059326,"Down",0.000146780597703397,"Down",0.321310945800914
"icd","Fry","NEO.TNBCCL","Pyroptosis","Five a priori ICD programs",FALSE,2,2,"YES","Fun-CIM",2,"YES",0,2,-3.19941995549887,0.0013770441985853,0.00172130524823162,"YES","YES",14.8742992528269,0.00496915687145348,0.00621144608931685,"YES",0.00509623938960914,0.115567877162012,12,"neo;tnbc_cl","Down",0.00258414292125562,"Down",0.00509623938960914,"Down",0.115567877162012
"icd","Fry","NEO.TNBCCL","Ferroptosis","Five a priori ICD programs",FALSE,2,2,"YES","Fun-CIM",1,"NO",1,1,-0.892880778842778,0.371921021454962,0.371921021454962,"NO","NO",14.276590837219,0.0064626574968596,0.0064626574968596,"YES",0.0153783972438223,0.0516376672231182,5,"neo;tnbc_cl","Down",0.00673044652089034,"Down",0.0153783972438223,"Up",0.0516376672231182
"icd","Fry","NKI.NEO","GOBP_INFLAMMATORY_CELL_APOPTOTIC_PROCESS","Standalone prespecified pathway",TRUE,2,2,"YES","Fun-CIM",2,"YES",0,2,-5.05148919206769,4.38378745593868e-07,NA,"NO","YES",32.859621259201,1.27619363274831e-06,NA,"NO",0.000154341008100854,0.000474397697243125,22.5,"neo;nki_smc","Down",0.000474397697243125,"Down",0.000154341008100854,"Down",0.205533953023574
"icd","Fry","NKI.NEO","Necroptosis","Five a priori ICD programs",FALSE,2,2,"YES","Fun-CIM",2,"YES",0,2,-4.37741372425834,1.20095875567417e-05,6.00479377837086e-05,"YES","YES",29.5194767877219,6.1302200652666e-06,3.0651100326333e-05,"YES",1.78400121538847e-05,0.0218037862228626,8,"neo;nki_smc","Down",0.0218037862228626,"Down",1.78400121538847e-05,"Down",0.34944684021578
"icd","Fry","NKI.NEO","Pyroptosis","Five a priori ICD programs",FALSE,2,2,"YES","Fun-CIM",2,"YES",0,2,-4.08412019872144,4.42441259979314e-05,0.000110610314994829,"YES","YES",22.4752275406811,0.000161162164711683,0.000402905411779207,"YES",0.00258414292125562,0.00509623938960914,12,"neo;nki_smc","Down",0.00258414292125562,"Down",0.00509623938960914,"Down",0.115567877162012
"icd","Fry","NKI.NEO","PANoptosis","Five a priori ICD programs",FALSE,2,2,"YES","Fun-CIM",2,"YES",0,2,-3.71569308692101,0.000202647443445453,0.000337745739075754,"YES","YES",20.1468522305986,0.000467141699646502,0.000778569499410837,"YES",0.00262058585836973,0.0160978631539407,9,"neo;nki_smc","Down",0.0160978631539407,"Down",0.00262058585836973,"Down",0.00890531122099069
"icd","Fry","NKI.NEO","Ferroptosis","Five a priori ICD programs",FALSE,2,2,"YES","Fun-CIM",2,"YES",0,2,-3.61674230027523,0.0002983340509973,0.000372917563746625,"YES","YES",18.3518106408937,0.00105324161512215,0.00105966936631885,"YES",0.00673044652089034,0.0153783972438223,5,"neo;nki_smc","Down",0.00673044652089034,"Down",0.0153783972438223,"Up",0.0516376672231182
"icd","Fry","NKI.NEO","Apoptosis","Five a priori ICD programs",FALSE,2,2,"YES","Fun-CIM",2,"YES",0,2,-2.53230059387805,0.0113316801885156,0.0113316801885156,"YES","YES",18.3383154503225,0.00105966936631885,0.00105966936631885,"YES",0.000146780597703397,0.709931987059326,20,"neo;nki_smc","Down",0.709931987059326,"Down",0.000146780597703397,"Down",0.321310945800914
"icd","Fry","NKI.TNBCCL","GOBP_INFLAMMATORY_CELL_APOPTOTIC_PROCESS","Standalone prespecified pathway",TRUE,2,2,"YES","Fun-CIM",2,"YES",0,2,-3.69200025904998,0.00022249723830085,NA,"NO","YES",18.4712172030014,0.00099802131777953,NA,"NO",0.000474397697243125,0.205533953023574,22.5,"nki_smc;tnbc_cl","Down",0.000474397697243125,"Down",0.000154341008100854,"Down",0.205533953023574
"icd","Fry","NKI.TNBCCL","Pyroptosis","Five a priori ICD programs",FALSE,2,2,"YES","Fun-CIM",2,"YES",0,2,-3.398945591348,0.000676461719389358,0.00223140204149106,"YES","YES",16.2325172501774,0.00272251513579927,0.00519267347629075,"YES",0.00258414292125562,0.115567877162012,12,"nki_smc;tnbc_cl","Down",0.00258414292125562,"Down",0.00509623938960914,"Down",0.115567877162012
"icd","Fry","NKI.TNBCCL","PANoptosis","Five a priori ICD programs",FALSE,2,2,"YES","Fun-CIM",2,"YES",0,2,-3.32237053131727,0.000892560816596423,0.00223140204149106,"YES","YES",17.7003523059856,0.00141208659425403,0.00519267347629075,"YES",0.00890531122099069,0.0160978631539407,9,"nki_smc;tnbc_cl","Down",0.0160978631539407,"Down",0.00262058585836973,"Down",0.00890531122099069
"icd","Fry","NKI.TNBCCL","Necroptosis","Five a priori ICD programs",FALSE,2,2,"YES","Fun-CIM",2,"YES",0,2,-2.47005024167173,0.0135094077063775,0.0225156795106291,"YES","YES",9.75415095116758,0.0447789907736925,0.0559737384671156,"NO",0.0218037862228626,0.34944684021578,8,"nki_smc;tnbc_cl","Down",0.0218037862228626,"Down",1.78400121538847e-05,"Down",0.34944684021578
"icd","Fry","NKI.TNBCCL","Ferroptosis","Five a priori ICD programs",FALSE,2,2,"YES","Fun-CIM",1,"NO",1,1,-1.5534627488659,0.1203126220356,0.1503907775445,"NO","NO",15.9292353551143,0.00311560408577445,0.00519267347629075,"YES",0.00673044652089034,0.0516376672231182,5,"nki_smc;tnbc_cl","Down",0.00673044652089034,"Down",0.0153783972438223,"Up",0.0516376672231182
"icd","Fry","NKI.TNBCCL","Apoptosis","Five a priori ICD programs",FALSE,2,2,"YES","Fun-CIM",2,"YES",0,2,-0.776211817040507,0.43762392990311,0.43762392990311,"NO","NO",2.95586410524052,0.565238399936837,0.565238399936837,"NO",0.321310945800914,0.709931987059326,20,"nki_smc;tnbc_cl","Down",0.709931987059326,"Down",0.000146780597703397,"Down",0.321310945800914
"zscore","Fry","ALL3_NKI.NEO.TNBCCL","GOBP_LEUKOCYTE_MIGRATION_INVOLVED_IN_INFLAMMATORY_RESPONSE","19 a priori immune/stress pathways",FALSE,3,2,"NO","Fun-CIM",2,"YES",0,2,-6.45038837089626,1.11563882204675e-10,2.11971376188882e-09,"YES","YES",49.187729781432,5.335265820482e-10,1.01370050589158e-08,"YES",1.33023944411623e-06,1.56707711341089e-05,21,"neo;nki_smc","Down",1.33023944411623e-06,"Down",1.56707711341089e-05,NA,NA
"zscore","Fry","ALL3_NKI.NEO.TNBCCL","GOBP_ADAPTIVE_IMMUNE_RESPONSE","19 a priori immune/stress pathways",FALSE,3,2,"NO","Fun-CIM",2,"YES",0,2,-5.65800936448102,1.53138781836145e-08,9.85046853127987e-08,"YES","YES",39.1632003386569,6.44611778384233e-08,3.62424435373111e-07,"YES",2.93172494580134e-05,0.000106830651573394,485.5,"neo;nki_smc","Down",2.93172494580134e-05,"Down",0.000106830651573394,NA,NA
"zscore","Fry","ALL3_NKI.NEO.TNBCCL","HALLMARK_INFLAMMATORY_RESPONSE","19 a priori immune/stress pathways",FALSE,3,3,"YES","Fun-CIM",2,"NO",1,2,-5.60270358364232,2.11033942603204e-08,9.85046853127987e-08,"YES","YES",45.0142384736624,4.64982233608709e-08,3.62424435373111e-07,"YES",9.2847128894544e-06,0.902925312316157,200,"neo;nki_smc;tnbc_cl","Down",9.2847128894544e-06,"Down",2.00383521811391e-05,"Up",0.902925312316157
"zscore","Fry","ALL3_NKI.NEO.TNBCCL","GOBP_T_CELL_ACTIVATION","19 a priori immune/stress pathways",FALSE,3,2,"NO","Fun-CIM",2,"YES",0,2,-5.57013670041388,2.54539545712665e-08,9.85046853127987e-08,"YES","YES",38.8086843741582,7.62998811311814e-08,3.62424435373111e-07,"YES",3.68911043125224e-05,0.000101363035412034,591,"neo;nki_smc","Down",0.000101363035412034,"Down",3.68911043125224e-05,NA,NA
"zscore","Fry","ALL3_NKI.NEO.TNBCCL","GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE","19 a priori immune/stress pathways",FALSE,3,3,"YES","Fun-CIM",3,"YES",0,3,-5.56695933679922,2.59222856086312e-08,9.85046853127987e-08,"YES","YES",42.03156898002,1.81256751180554e-07,6.88775654486106e-07,"YES",2.51826678832967e-05,0.471507906934077,82.3,"neo;nki_smc;tnbc_cl","Down",6.28593730611951e-05,"Down",2.51826678832967e-05,"Down",0.471507906934077
"zscore","Fry","ALL3_NKI.NEO.TNBCCL","GOBP_B_CELL_ACTIVATION","19 a priori immune/stress pathways",FALSE,3,2,"NO","Fun-CIM",2,"YES",0,2,-5.24531548472184,1.56015129281599e-07,4.63242356061177e-07,"YES","YES",35.3375912225877,3.95964148007524e-07,1.25388646869049e-06,"YES",5.71533083893388e-05,0.000371106181993251,287,"neo;nki_smc","Down",0.000371106181993251,"Down",5.71533083893388e-05,NA,NA
"zscore","Fry","ALL3_NKI.NEO.TNBCCL","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION","19 a priori immune/stress pathways",FALSE,3,3,"YES","Fun-CIM",3,"YES",0,3,-5.22874102074888,1.70668236443591e-07,4.63242356061177e-07,"YES","YES",36.1858087818117,2.53661865990535e-06,5.75760645085479e-06,"YES",0.000184735724797082,0.182958087517368,117,"neo;nki_smc;tnbc_cl","Down",0.000184735724797082,"Down",0.000410628379025437,"Down",0.182958087517368
"zscore","Fry","ALL3_NKI.NEO.TNBCCL","GOBP_INFLAMMATORY_CELL_APOPTOTIC_PROCESS","19 a priori immune/stress pathways",FALSE,3,3,"YES","Fun-CIM",3,"YES",0,3,-5.15758395309866,2.5015669777089e-07,5.94122157205863e-07,"YES","YES",36.023909333536,2.72728726619438e-06,5.75760645085479e-06,"YES",0.000154341008100854,0.205533953023574,22.7,"neo;nki_smc;tnbc_cl","Down",0.000474397697243125,"Down",0.000154341008100854,"Down",0.205533953023574
"zscore","Fry","ALL3_NKI.NEO.TNBCCL","GOBP_LEUKOCYTE_CHEMOTAXIS_INVOLVED_IN_INFLAMMATORY_RESPONSE","19 a priori immune/stress pathways",FALSE,3,2,"NO","Fun-CIM",2,"YES",0,2,-5.05725212639004,4.2534074040556e-07,8.97941563078404e-07,"YES","YES",32.0531655031673,1.86582557072078e-06,5.0643836919564e-06,"YES",0.000132176159064626,0.000829068509699301,8,"neo;nki_smc","Down",0.000132176159064626,"Down",0.000829068509699301,NA,NA
"zscore","Fry","ALL3_NKI.NEO.TNBCCL","GOBP_INFLAMMASOME_MEDIATED_SIGNALING_PATHWAY","19 a priori immune/stress pathways",FALSE,3,3,"YES","Fun-CIM",3,"YES",0,3,-4.71413704297826,2.42737260849626e-06,4.61200795614289e-06,"YES","YES",34.2461722539303,6.02965905360685e-06,1.1456352201853e-05,"YES",1.68771969308593e-05,0.14159064205253,59.3,"neo;nki_smc;tnbc_cl","Down",0.0153180440059157,"Down",1.68771969308593e-05,"Down",0.14159064205253
