ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,35/133,199/4371,0.175879396984925,5.7802168738429,12.2261030412591,1.95825194798307e-18,7.04970701273904e-17,5.56555816795188e-17,NDUFAB1/CDC45/PSMD8/RANBP1/ERH/PSMA7/MCM4/SSBP1/EIF3B/AIMP2/PSMA2/POLD2/C1QBP/RRP9/HSPE1/CDC20/COPS5/SNRPD2/LSM7/RAN/LDHA/SSB/NHP2/HPRT1/CCT2/PHB1/IMPDH2/COX5A/NPM1/KPNA2/RUVBL2/PPIA/MRPS18B/PHB2/NME1,35
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,31/133,200/4371,0.155,5.09402255639098,10.4985953472547,1.02290239312733e-14,1.8412243076292e-13,1.453598137602e-13,HMGB3/TRIP13/AURKA/BIRC5/RANBP1/CENPM/CDKN3/MCM4/RNASEH2A/ASF1B/RPA3/POLD2/RAD51C/CDCA3/CDC20/CKS2/CSE1L/SNRPB/DLGAP5/RAN/HMGA1/KIF2C/CCNB2/SPC24/TK1/POP7/AURKB/DCTPP1/KPNA2/H2AX/NME1,31
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,28/133,199/4371,0.14070351758794,4.62417349907432,9.26935321314446,2.98012686575771e-12,3.57615223890925e-11,2.82327808334941e-11,NDUFAB1/NDUFB7/TIMM13/POLR2F/TIMM50/NDUFS8/MRPS15/NDUFA8/ATP5F1E/COX6B1/MRPS12/LDHA/TIMM10/COX5B/MRPL15/NDUFS6/ATP5MC3/ATP5F1C/NDUFV1/ATP5PD/ECI1/ATP5ME/MRPL11/COX8A/NDUFV2/COX5A/NDUFS3/PHB2,28
HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2,12/133,58/4371,0.206896551724138,6.7995851698211,7.87602817615581,1.03502925909749e-07,9.31526333187737e-07,7.35415526200845e-07,EXOSC5/MCM4/AIMP2/TMEM97/BYSL/RRP9/HSPE1/WDR74/IMP4/PHB1/DCTPP1/NPM1,12
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,17/133,199/4371,0.085427135678392,2.80753391015227,4.62303205467865,8.96917434328277e-05,0.00064578055271636,0.000509826752144495,HMGB3/AURKA/BIRC5/CDC45/CDKN3/TTK/CENPA/CDC20/CKS2/HMGA1/KIF2C/CCNB2/DTYMK/UBE2C/AURKB/KPNA2/H2AX,17
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,13/133,150/4371,0.0866666666666667,2.84827067669173,4.08027645811953,0.000553366459274448,0.00332019875564669,0.00262120954393159,RAD51/POLR2F/POLR2I/RPA3/ADRM1/POLR2K/HPRT1/POLR2G/FEN1/IMPDH2/ALYREF/NELFE/NME1,13
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,9/133,112/4371,0.0803571428571429,2.64091031149302,3.11620556071677,0.00660404276895295,0.0327310984575955,0.0258403408875754,EXOSC5/RRP9/LSM4/NHP2/YIF1A/BANF1/EXOSC4/NPM1/H2AX,9
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,13/133,200/4371,0.065,2.1362030075188,2.91364677257397,0.00727357743502123,0.0327310984575955,0.0258403408875754,AURKA/MCM4/TMEM97/GAPDH/TPI1/RRP9/HSPE1/COPS5/LDHA/HPRT1/PSMG1/PPIA/HMBS,13
HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS,6/133,74/4371,0.0810810810810811,2.66470229628124,2.55832564571777,0.0241900796816488,0.0967603187265951,0.0763897253104698,TMEM97/MVK/ACAT2/NSDHL/FDPS/PCYT2,6
HALLMARK_GLYCOLYSIS,HALLMARK_GLYCOLYSIS,9/133,200/4371,0.045,1.47890977443609,1.22810264486715,0.153670281713441,0.553213014168389,0.436747116448728,AURKA/TPI1/CENPA/PGLS/LDHA/NSDHL/SLC25A10/PPIA/MIF,9
HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM,7/133,158/4371,0.0443037974683544,1.45602931379081,1.03421691590716,0.20443306102974,0.652293763241664,0.514968760453946,NTHL1/ACOT8/ACAT2/LDHA/NSDHL/ECI1/MIF,7
HALLMARK_SPERMATOGENESIS,HALLMARK_SPERMATOGENESIS,6/133,133/4371,0.0451127819548872,1.48261631522415,1.00122896856884,0.217431254413888,0.652293763241664,0.514968760453946,AURKA/CDKN3/TTK/KIF2C/CCNB2/PSMG1,6
HALLMARK_PEROXISOME,HALLMARK_PEROXISOME,4/133,104/4371,0.0384615384615385,1.26402544823597,0.482711004423504,0.3904803250272,0.998213547620105,0.788063327068504,ACOT8/PRDX5/FDPS/HRAS,4
HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,7/133,200/4371,0.035,1.15026315789474,0.385330581013737,0.407824653591184,0.998213547620105,0.788063327068504,NDUFAB1/NDUFB7/DDT/MRPL15/COX8A/SLC25A10/NDUFS3,7
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,6/133,198/4371,0.0303030303030303,0.995898838004101,-0.0104616789892803,0.564572149862053,0.998213547620105,0.788063327068504,AURKA/BIRC5/TTK/DLGAP5/KIF2C/CCNB2,6
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,4/133,158/4371,0.0253164556962025,0.832016750737603,-0.380964803626452,0.716143775130395,0.998213547620105,0.788063327068504,CDC34/PSMC3/FEN1/H2AX,4
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,5/133,199/4371,0.0251256281407035,0.825745267691843,-0.445681936374957,0.732684400271723,0.998213547620105,0.788063327068504,GAPDH/TPI1/PRDX5/LDHA/MIF,5
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,1/133,49/4371,0.0204081632653061,0.67070738069664,-0.410604512731915,0.781861439952603,0.998213547620105,0.788063327068504,PRDX2,1
HALLMARK_PROTEIN_SECRETION,HALLMARK_PROTEIN_SECRETION,2/133,96/4371,0.0208333333333333,0.68468045112782,-0.553355863643934,0.796710115087519,0.998213547620105,0.788063327068504,COPE/BNIP3,2
HALLMARK_BILE_ACID_METABOLISM,HALLMARK_BILE_ACID_METABOLISM,2/133,111/4371,0.018018018018018,0.592156065840276,-0.770968723566217,0.858243493411487,0.998213547620105,0.788063327068504,PRDX5/PXMP2,2
HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,4/133,200/4371,0.02,0.657293233082707,-0.878827514766381,0.866364400314425,0.998213547620105,0.788063327068504,DDT/TMEM97/HPRT1/PYCR1,4
