ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0006119,oxidative phosphorylation,56/769,128/16754,0.4375,9.53169700910273,21.251993005164,6.52849745808189e-41,2.29998965448225e-37,2.0210853709704e-37,ATP5F1B/ATP5F1C/ATP5F1D/ATP5F1E/ATP5IF1/ATP5ME/ATP5MF/ATP5PD/ATP5PF/ATP5PO/CCNB1/CDK1/CHCHD2/COX5A/COX5B/COX6A1/COX6B1/COX6C/COX7A2/COX8A/COXFA4/CYC1/FXN/MTCH2/NDUFA11/NDUFA13/NDUFA6/NDUFA7/NDUFA8/NDUFA9/NDUFAB1/NDUFB10/NDUFB11/NDUFB2/NDUFB3/NDUFB4/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC2/NDUFS3/NDUFS5/NDUFS6/NDUFS8/NDUFV1/NDUFV2/PARK7/SDHB/SLC25A33/STOML2/UQCC2/UQCRB/UQCRC1/UQCRFS1/UQCRH,56
GO:0032543,mitochondrial translation,55/769,127/16754,0.433070866141732,9.43520063893184,20.928758810272,6.65897138783748e-40,1.17297780996757e-36,1.03073867640158e-36,AURKAIP1/C1QBP/CHCHD1/DAP3/EARS2/GADD45GIP1/MALSU1/MPV17L2/MRPL11/MRPL12/MRPL13/MRPL14/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL23/MRPL24/MRPL27/MRPL28/MRPL36/MRPL37/MRPL38/MRPL39/MRPL4/MRPL41/MRPL47/MRPL48/MRPL51/MRPL52/MRPL55/MRPL57/MRPL58/MRPS12/MRPS15/MRPS16/MRPS18A/MRPS18B/MRPS2/MRPS23/MRPS24/MRPS26/MRPS28/MRPS34/MRPS7/TACO1/TRMT10C/TRUB2/TSFM/TUFM/UQCC2/YARS2,55
GO:0140053,mitochondrial gene expression,59/769,164/16754,0.359756097560976,7.83791112943639,19.3008007315682,3.07134832919945e-37,3.60678672125655e-34,3.16941594251775e-34,AURKAIP1/C1QBP/CHCHD1/DAP3/EARS2/GADD45GIP1/HSD17B10/MALSU1/MPV17L2/MRPL11/MRPL12/MRPL13/MRPL14/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL23/MRPL24/MRPL27/MRPL28/MRPL36/MRPL37/MRPL38/MRPL39/MRPL4/MRPL41/MRPL47/MRPL48/MRPL51/MRPL52/MRPL55/MRPL57/MRPL58/MRPS12/MRPS15/MRPS16/MRPS18A/MRPS18B/MRPS2/MRPS23/MRPS24/MRPS26/MRPS28/MRPS34/MRPS7/SLC25A33/SLIRP/TACO1/TBRG4/TRMT10C/TRUB2/TSFM/TUFM/UQCC2/YARS2,59
GO:0015986,proton motive force-driven ATP synthesis,38/769,66/16754,0.575757575757576,12.5438783150097,20.6098440815369,5.84522597994004e-34,5.14818278183219e-31,4.52389726500096e-31,ATP5F1B/ATP5F1C/ATP5F1D/ATP5F1E/ATP5IF1/ATP5MC1/ATP5MC3/ATP5ME/ATP5MF/ATP5MK/ATP5PD/ATP5PF/ATP5PO/NDUFA11/NDUFA13/NDUFA6/NDUFA7/NDUFA8/NDUFA9/NDUFAB1/NDUFB10/NDUFB11/NDUFB2/NDUFB3/NDUFB4/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC2/NDUFS3/NDUFS5/NDUFS6/NDUFS8/NDUFV1/NDUFV2/SDHB/STOML2,38
GO:0009060,aerobic respiration,68/769,274/16754,0.248175182481752,5.40692718764535,16.1319065161327,2.2704811788855e-31,8.7871106955904e-29,7.72155685367775e-29,ADSL/ALDOA/ATP5F1B/ATP5F1C/ATP5F1D/ATP5F1E/ATP5IF1/ATP5ME/ATP5MF/ATP5PD/ATP5PF/ATP5PO/CCNB1/CDK1/CHCHD2/COX5A/COX5B/COX6A1/COX6B1/COX6C/COX7A2/COX8A/COXFA4/CYC1/ENO1/FXN/GALK1/GAPDH/IDH3G/LDHA/MLST8/MTCH2/MTFR2/NDUFA11/NDUFA13/NDUFA6/NDUFA7/NDUFA8/NDUFA9/NDUFAB1/NDUFB10/NDUFB11/NDUFB2/NDUFB3/NDUFB4/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC2/NDUFS3/NDUFS5/NDUFS6/NDUFS8/NDUFV1/NDUFV2/PARK7/PGAM1/RAN/SDHB/SLC25A33/STOML2/TPI1/UQCC2/UQCRB/UQCRC1/UQCRFS1/UQCRH,68
GO:0007059,chromosome segregation,83/769,416/16754,0.199519230769231,4.34687281184355,15.1614092887839,8.74056076365869e-31,2.56608296419747e-28,2.25491133385265e-28,ACTL6A/ANAPC11/ANAPC15/AURKA/AURKB/BCCIP/BCL7C/BIRC5/BUB1/BUB1B/CCDC86/CCNB1/CCNB2/CDC20/CDC6/CDCA8/CDK1/CDT1/CENPH/CENPI/CENPM/CENPN/CENPS/CENPU/CENPW/CHMP4C/CIAO2B/DCAF13/DLGAP5/DRG1/FAM83D/FBXO5/HASPIN/HJURP/KIF11/KIF18A/KIF22/KIF23/KIF2C/KIF4A/KIFC1/KNSTRN/LCMT1/MAD2L1/MAD2L1BP/MIS18A/MND1/MYBL2/NCAPG/NCAPH/NDC80/NEK2/NSMCE2/NTMT1/NUF2/NUP37/NUSAP1/OIP5/PLK1/PMF1/PRC1/PSMG2/PSRC1/PTTG1/RACGAP1/RAN/RCC1/RMI2/RRS1/SAC3D1/SGO2/SKA3/SLC25A5/SMARCB1/SPAG5/SPC24/TOP2A/TPX2/TRIP13/TTK/TUBG1/UBE2C/ZWINT,83
GO:0000819,sister chromatid segregation,60/769,231/16754,0.25974025974026,5.65889247293669,15.6385819199517,6.10479058747311e-29,1.43381181597785e-26,1.25994309598305e-26,ACTL6A/ANAPC11/ANAPC15/AURKB/BCCIP/BCL7C/BIRC5/BUB1/BUB1B/CCNB1/CDC20/CDC6/CDCA8/CDK1/CDT1/CENPI/CHMP4C/DLGAP5/DRG1/FBXO5/HASPIN/KIF11/KIF18A/KIF22/KIF23/KIF2C/KIF4A/KIFC1/KNSTRN/LCMT1/MAD2L1/MAD2L1BP/MYBL2/NCAPG/NCAPH/NDC80/NEK2/NSMCE2/NUF2/NUSAP1/PLK1/PRC1/PSMG2/PSRC1/RACGAP1/RAN/RCC1/RMI2/RRS1/SKA3/SMARCB1/SPAG5/SPC24/TOP2A/TPX2/TRIP13/TTK/TUBG1/UBE2C/ZWINT,60
GO:0098813,nuclear chromosome segregation,67/769,309/16754,0.216828478964401,4.72398483299035,14.4918339166871,3.49473560185235e-27,5.59634251151174e-25,4.91771167705634e-25,ACTL6A/ANAPC11/ANAPC15/AURKA/AURKB/BCCIP/BCL7C/BIRC5/BUB1/BUB1B/CCNB1/CCNB2/CDC20/CDC6/CDCA8/CDK1/CDT1/CENPI/CHMP4C/DCAF13/DLGAP5/DRG1/FAM83D/FBXO5/HASPIN/KIF11/KIF18A/KIF22/KIF23/KIF2C/KIF4A/KIFC1/KNSTRN/LCMT1/MAD2L1/MAD2L1BP/MND1/MYBL2/NCAPG/NCAPH/NDC80/NEK2/NSMCE2/NUF2/NUSAP1/PLK1/PMF1/PRC1/PSMG2/PSRC1/PTTG1/RACGAP1/RAN/RCC1/RMI2/RRS1/SKA3/SMARCB1/SPAG5/SPC24/TOP2A/TPX2/TRIP13/TTK/TUBG1/UBE2C/ZWINT,67
GO:0000280,nuclear division,79/769,432/16754,0.18287037037037,3.98414848528633,13.7825240651836,1.12701454228128e-26,1.72629227498128e-24,1.51695641594931e-24,ANAPC11/ANAPC15/ANLN/AURKA/AURKB/BANF1/BCCIP/BIRC5/BUB1/BUB1B/CCDC86/CCNB1/CCNB2/CDC20/CDC25C/CDCA8/CDK1/CDT1/CENPI/CENPS/CHEK1/CHMP4C/CKS2/DCAF13/DLGAP5/DRG1/FBXO5/HASPIN/KIF11/KIF18A/KIF22/KIF23/KIF2C/KIF4A/KIFC1/KNSTRN/LCMT1/MAD2L1/MAD2L1BP/MASTL/MND1/MYBL2/NCAPG/NCAPH/NDC80/NEK2/NSMCE2/NUF2/NUSAP1/PDXP/PIN1/PKMYT1/PLK1/PRC1/PSMD13/PSMG2/PSRC1/PTTG1/RACGAP1/RAD51/RAD51AP1/RAD51C/RAD54B/RAN/RANBP1/RCC1/RRS1/SKA3/SPAG5/SPC24/TESMIN/TOP2A/TPX2/TRIP13/TTK/TUBG1/UBE2C/UBE2S/ZWINT,79
GO:0046390,ribose phosphate biosynthetic process,48/769,170/16754,0.282352941176471,6.15154899411,14.807126769199,4.2029137583863e-25,5.48402413733146e-23,4.81901339704254e-23,ADSL/ALDOA/ATIC/ATP5F1B/ATP5F1C/ATP5F1D/ATP5F1E/ATP5IF1/ATP5MC1/ATP5MC3/ATP5ME/ATP5MF/ATP5MK/ATP5PD/ATP5PF/ATP5PO/ENO1/HPRT1/IMPDH2/NDUFA11/NDUFA13/NDUFA6/NDUFA7/NDUFA8/NDUFA9/NDUFAB1/NDUFB10/NDUFB11/NDUFB2/NDUFB3/NDUFB4/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC2/NDUFS3/NDUFS5/NDUFS6/NDUFS8/NDUFV1/NDUFV2/NME1/NME2/NME4/PAICS/SDHB/STOML2,48
