ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,30/173,200/4371,0.15,3.78988439306358,8.19829729761062,9.75747916853918e-11,4.19571604247185e-09,3.59486074630391e-09,CFH/CD38/CD74/FAS/SLAMF7/LCP2/JAK2/CSF2RB/CD40/SAMHD1/NOD1/IL10RA/CD69/ST8SIA4/CD274/TNFSF10/SSPN/FGL2/IRF4/IL18BP/STAT4/SERPING1/ARID5B/VCAM1/STAT2/CMKLR1/SAMD9L/CIITA/HLA-DQA1/TXNIP,30
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,29/173,200/4371,0.145,3.6635549132948,7.82706806848127,4.84165767943541e-10,1.04095640107861e-08,8.9188430936968e-09,FGR/ITGAL/STAB1/CD4/CD74/FAS/LCP2/PTPRC/FYB1/JAK2/CD40/ITK/ST8SIA4/IL18RAP/CCND2/CCR2/SRGN/CFP/IL10/IRF4/STAT4/CTSS/IL16/CD28/HCLS1/F2R/HLA-DQA1/HLA-DOA/HLA-E,29
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,22/173,200/4371,0.11,2.7792485549133,5.22846346457583,9.3015033240731e-06,0.000133321547645048,0.000114228988190371,STAB1/TNFRSF1B/LCP2/SCARF1/RGS1/CD40/ICAM4/IL10RA/CD69/IL1R1/IL18RAP/SLAMF1/TNFSF10/PTPRE/IL10/PIK3R5/ABCA1/CYBB/GPR183/PTGER4/CMKLR1/KCNA3,22
HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,20/173,200/4371,0.1,2.52658959537572,4.48600500631713,9.71990603465342e-05,0.00104488989872524,0.000895254503191763,CFH/TNFRSF1B/PRDM1/ST6GAL1/NRP1/TLR8/IL10RA/HSD11B1/CCND2/DOCK2/LY96/CTSS/GUCY1A1/MTMR10/CMKLR1/IKZF1/NAP1L2/PDCD1LG2/MAFB/PECAM1,20
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANDROGEN_RESPONSE,11/173,100/4371,0.11,2.7792485549133,3.65354439554054,0.00179141682060811,0.0154061846572298,0.0131999134150072,ELL2/PTK2B/STEAP4/IQGAP2/TNFAIP8/ARID5B/MERTK/GUCY1A1/RPS6KA3/MAF/SELENOP,11
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,16/173,200/4371,0.08,2.02127167630058,3.00108808979974,0.00520677979643285,0.0373152552077688,0.0319714548903771,CFH/CASP10/LCP2/JAK2/CTSH/PIK3CG/SH2B3/CBLB/LRP1/F10/DOCK4/DOCK10/PIK3R5/ZEB1/SERPING1/CTSS,16
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,15/173,199/4371,0.0753768844221106,1.90446451912743,2.65087027947337,0.0114923321287184,0.0705957545049847,0.0604859585722023,TNFRSF1B/RORA/FLT3LG/NRP1/IL10RA/PLAGL1/CCND2/TNFRSF8/TNFSF10/FGL2/IL10/IRF4/GALM/SHE/SMPDL3A,15
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,8/173,87/4371,0.0919540229885057,2.32330077735699,2.53067290791149,0.0208541318487219,0.11209095868688,0.0960387650927983,CD38/FAS/TNFRSF1B/CSF2RB/IL1R1/ACVRL1/PIK3R5/STAT2,8
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,13/173,199/4371,0.0653266331658292,1.65053591657711,1.90663789514694,0.050109701126498,0.239413016493268,0.20512743151198,FAS/DGKA/SESN1/IRAG2/CCND2/PTPRE/XPC/RALGDS/ZMAT3/F2R/TCN2/KIF13B/TXNIP,13
HALLMARK_BILE_ACID_METABOLISM,HALLMARK_BILE_ACID_METABOLISM,7/173,111/4371,0.0630630630630631,1.59334478987658,1.2853055296606,0.148844188437283,0.615167352331579,0.52707117090833,SLC23A2/ATXN1/NR3C2/ABCA6/ABCA1/ABCD2/HSD17B11,7
