GeneSet,AnalysisPool,CohortType,Contrast,FryTest,CameraTest,PrimaryInference,Fry_NGenes,Fry_Direction,Fry_PValue,Fry_FDR,Fry_PValue.Mixed,Fry_FDR.Mixed,Camera_NGenes,Camera_Direction,Camera_PValue,Camera_FDR,MeanZscore_Cluster1_DysCIM,MeanZscore_Cluster2_FunCIM,MeanZscore_Delta_DysCIM_minus_FunCIM
"GOBP_ADAPTIVE_IMMUNE_RESPONSE","19 a priori immune/stress pathways","human","Dys-CIM - Fun-CIM","fry with independent patient samples","camera","Nominal PValue",482,"Down",2.93172494580134e-05,0.000185675913234085,1.10101701536141e-11,2.61491541148336e-11,482,"Down",2.58959279684339e-13,4.92022631400245e-12,-0.446897797910166,0.196635031080473,-0.643532828990639
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION","19 a priori immune/stress pathways","human","Dys-CIM - Fun-CIM","fry with independent patient samples","camera","Nominal PValue",117,"Down",0.000184735724797082,0.000501425538734937,3.73580012005378e-09,7.09802022810218e-09,117,"Down",2.69330238260345e-08,1.27931863173664e-07,-0.434293088003703,0.191088958721629,-0.625382046725333
"GOBP_B_CELL_ACTIVATION","19 a priori immune/stress pathways","human","Dys-CIM - Fun-CIM","fry with independent patient samples","camera","Nominal PValue",285,"Down",0.000371106181993251,0.000881377182233972,1.83069159277189e-13,1.45516694313366e-12,285,"Down",1.92003616687159e-06,7.29613743411205e-06,-0.340042885470922,0.149618869607206,-0.489661755078127
"GOBP_CELLULAR_RESPONSE_TO_STRESS","19 a priori immune/stress pathways","human","Dys-CIM - Fun-CIM","fry with independent patient samples","camera","Nominal PValue",1871,"Down",0.81529747968005,0.81529747968005,1.08759484336884e-09,2.29603355822311e-09,1871,"Up",0.05590627995886,0.0817091784014108,-0.0208196935299199,0.00916066515316475,-0.0299803586830846
"GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE","19 a priori immune/stress pathways","human","Dys-CIM - Fun-CIM","fry with independent patient samples","camera","Nominal PValue",69,"Down",6.28593730611951e-05,0.000298582022040677,2.29763201547419e-13,1.45516694313366e-12,69,"Down",2.72989789493608e-05,6.48793241279881e-05,-0.392270310197962,0.172598936487103,-0.564869246685066
"GOBP_INFLAMMASOME_MEDIATED_SIGNALING_PATHWAY","19 a priori immune/stress pathways","human","Dys-CIM - Fun-CIM","fry with independent patient samples","camera","Nominal PValue",58,"Down",0.0153180440059157,0.0264584396465817,7.92005598350281e-12,2.50801772810922e-11,58,"Down",0.066968868689517,0.0908863217929159,-0.226830611549462,0.0998054690817631,-0.326636080631225
"GOBP_INFLAMMATORY_CELL_APOPTOTIC_PROCESS","19 a priori immune/stress pathways","human","Dys-CIM - Fun-CIM","fry with independent patient samples","camera","Nominal PValue",22,"Down",0.000474397697243125,0.00100150624973549,0.000212220963011076,0.000237188135130026,22,"Down",0.00105844336176929,0.00182822035214696,-0.446505574871417,0.196462452943423,-0.64296802781484
"GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY","19 a priori immune/stress pathways","human","Dys-CIM - Fun-CIM","fry with independent patient samples","camera","Nominal PValue",320,"Down",0.79854964129205,0.81529747968005,1.77076208745415e-12,8.41111991540723e-12,320,"Up",0.121306070680728,0.153654356195589,-0.0201413561880528,0.00886219672274323,-0.029003552910796
"GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS","19 a priori immune/stress pathways","human","Dys-CIM - Fun-CIM","fry with independent patient samples","camera","Nominal PValue",67,"Down",0.343595375551401,0.408019508467288,4.59040408389537e-07,6.22983411385801e-07,67,"Up",0.921408915155917,0.921408915155917,-0.0905729034526424,0.0398520775191626,-0.130424980971805
"GOBP_LEUKOCYTE_CHEMOTAXIS_INVOLVED_IN_INFLAMMATORY_RESPONSE","19 a priori immune/stress pathways","human","Dys-CIM - Fun-CIM","fry with independent patient samples","camera","Nominal PValue",8,"Down",0.000132176159064626,0.000418557837037982,0.0260582158582267,0.027505894517017,8,"Down",0.0262794913506267,0.0416091946384922,-0.436256531604945,0.191952873906176,-0.62820940551112
