ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,59/722,198/4377,0.297979797979798,1.80645093595232,5.16104831402799,1.28761432012877e-06,6.43807160064387e-05,5.96368737743853e-05,KIF1B/CAPZB/WASF2/NOTCH2/ARHGEF2/ARHGEF11/RASAL2/KIF3C/SOS1/BCL2L11/ATG4B/TRIO/ARAP3/RANBP9/DST/WASF1/MARCKS/FSCN1/DOCK4/WASL/CDK5RAP2/SPTAN1/ABL1/ABI1/MAP3K11/CTTN/NUMA1/PXN/ARHGEF7/DYNC1H1/KLC1/RHOT2/TAOK2/KATNB1/ABR/PAFAH1B1/CNTROB/LLGL1/ARHGAP27/DYNLL2/SEPTIN9/CEP131/CSNK1D/MYO9B/MAP1S/ACTN4/MARK4/KIF3B/PREX1/STAU1/PCNT/BCR/MYH9/CDC42EP1/SUN2/MID1IP1/SMC1A/ARHGAP4/FLNA,59
HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,50/722,200/4377,0.25,1.51558171745152,3.31698749207164,0.0010711957285647,0.0267798932141174,0.0248066379246561,LDLRAP1/SDC3/AMIGO1/SHC1/MPZL1/GNAI2/CTNNA1/DHX16/PBX2/MAPK14/ACTB/FSCN1/WASL/EXOC4/ZYX/BMP1/CERCAM/CRAT/HRAS/TSPAN4/PARVA/MDK/MAP4K2/ACTN3/INPPL1/ACTN1/CD276/PKD1/TAOK2/STX4/NLGN2/TUBG1/PECAM1/ACTG1/CNN2/GTF2F1/ICAM1/ACTN4/AKT2/NECTIN2/SYMPK/RRAS/SIRPA/SRC/PLCG1/NF2/YWHAH/MYH9/MAPK11/MSN,50
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,47/722,200/4377,0.235,1.42464681440443,2.7319591138528,0.00559604569184999,0.0932674281974998,0.0863950913829472,WRAP73/EPHA2/PLK3/S100A10/S100A4/MXD1/STEAP3/XPC/IP6K2/MAPKAPK3/ZMAT3/ABCC5/MXD4/BAK1/CDKN1A/CCND3/POM121/CDKN2B/STOM/RALGDS/NOTCH1/HRAS/PIDD1/DDB2/RAD9A/VDR/CSRNP2/ACVR1B/SP1/PRKAB1/ABHD4/ZFP36L1/CCNK/AEN/TAX1BP3/TP53/HEXIM1/FDXR/RHBDF2/MKNK2/TGFB1/PPP1R15A/BAX/TRIB3/PRMT2/PMM1/PLXNB2,47
HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING,26/722,105/4377,0.247619047619048,1.50114760585675,2.30998017291396,0.0182313151420932,0.211896639360613,0.196283202776146,RPS6KA1/RALB/RAF1/PRKAR2A/AP2M1/CSNK2B/CDKN1A/RAC1/NOD1/MAPKAP1/HRAS/CFL1/GRK2/TNFRSF1A/STAT2/AKT1/TSC2/MAP2K3/GRB2/RPTOR/MKNK2/NFKBIB/AKT1S1/TRIB3/PLCG1/MAPK1,26
HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,44/722,199/4377,0.221105527638191,1.34041398126366,2.1843049704651,0.0211896639360613,0.211896639360613,0.196283202776146,ADD2/TRAK2/ABCB6/SLC25A38/RNF123/CPOX/ADD1/KLF3/CAST/P4HA2/CCND3/EIF2AK1/MFHAS1/XPO7/SLC25A37/AQP3/ALAD/OPTN/BTRC/UROS/PPP2R5B/UCP2/ENDOD1/FOXJ2/LRP10/KHNYN/GDE1/CDR2/RANBP10/CTNS/MAP2K3/NFE2L1/VEZF1/FN3K/RIOK3/MOCOS/FECH/SLC66A2/BSG/RAD23A/SMOX/GATA1/SLC10A3/MPP1,44
HALLMARK_NOTCH_SIGNALING,HALLMARK_NOTCH_SIGNALING,10/722,32/4377,0.3125,1.8944771468144,2.25690309824082,0.0284578696163563,0.237148913469636,0.219674783003452,NOTCH2/FZD5/PPARD/LFNG/DTX2/NOTCH1/TCF7L2/DTX4/CCND1/ARRB1,10
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,32/722,150/4377,0.213333333333333,1.29329639889197,1.62442551037265,0.0684976084617878,0.459261150610704,0.425420855302547,CDA/ELOA/AGO4/ERCC3/POLR2D/XPC/NCBP2/POM121/NFX1/NELFB/POLL/TAF10/DDB2/DDB1/POLD4/VPS37B/GMPR2/SNAPC5/POLR2C/TAF1C/POLR2A/TP53/POLR2E/GTF2F1/ELL/SUPT5H/ERCC2/ERCC1/POLD1/RAE1/DGCR8/USP11,32
HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_WNT_BETA_CATENIN_SIGNALING,11/722,42/4377,0.261904761904762,1.58775227542541,1.70093602042488,0.0734817840977127,0.459261150610704,0.425420855302547,NCSTN/MAML1/PPARD/PTCH1/NOTCH1/NCOR2/NUMB/DVL2/TP53/HDAC5/CSNK1E,11
HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TGF_BETA_SIGNALING,13/722,54/4377,0.240740740740741,1.45944906124962,1.50975054638743,0.0963768458121448,0.535426921178582,0.495974411197002,SKI/ID3/SMAD1/SMURF1/HIPK2/CDK9/ENG/NCOR2/SMAD3/FURIN/SMAD7/TGFB1/PPP1R15A,13
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,39/722,200/4377,0.195,1.18215373961219,1.17188343860256,0.141795965284767,0.708979826423837,0.656739207634712,KIF1B/PDPN/CSF1/NLRP3/MXD1/ACVR2A/FZD5/IRAK2/RAF1/STAB1/NFKB1/GABBR1/TAPBP/CDKN1A/SEMA4D/ABCA1/SLC31A1/KLF6/ABI1/RHOG/BEST1/RELA/ACVR1B/ITGA5/ATP2A2/SLC7A1/MMP14/NFKBIA/PTGER2/GPR132/SELENOS/IL4R/SCARF1/KCNJ2/GNA15/ADGRE1/ICAM1/SCN1B/PTGIR,39
HALLMARK_PEROXISOME,HALLMARK_PEROXISOME,21/722,104/4377,0.201923076923077,1.22412369486469,1.0280199945888,0.183851852277625,0.78452854722946,0.726721180591499,PEX14/HMGCL/ERCC3/ABCC5/EHHADH/CTBP1/PEX6/ABCB4/CLN8/CRAT/HRAS/PEX5/MVP/HSD3B7/MLYCD/DLG4/ACOX1/ERCC1/SLC23A2/YWHAH/ABCD1,21
HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,38/722,200/4377,0.19,1.15184210526316,0.976873979196277,0.18828685133507,0.78452854722946,0.726721180591499,PEX14/PGM1/PPM1B/MYLK/ATP1B3/RREB1/POR/YWHAG/ABCB8/DGAT1/ABCA1/STOM/MIGA2/CRAT/UCK1/ECHS1/VEGFB/UCP2/PHLDB1/LPCAT3/ESYT1/CS/BAZ2A/SCARB1/COQ9/STAT5A/NMT1/ACOX1/RIOK3/SLC27A1/SLC1A5/AGPAT3/PFKL/BCL2L13/ACO2/ARAF/AIFM1/IDH3G,38
HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEDGEHOG_SIGNALING,8/722,36/4377,0.222222222222222,1.3471837488458,0.929564030992432,0.232851826879968,0.825056162422452,0.764262550454482,NRP2/CDK6/PTCH1/NRP1/LDB1/PML/MYH9/AMOT,8
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,37/722,199/4377,0.185929648241206,1.12716630242626,0.815977021373294,0.233330072276683,0.825056162422452,0.764262550454482,HMGN2/NOTCH2/RASAL2/NSD2/MAPK14/MARCKS/H2AZ2/ABL1/NUP98/RBM14/CCND1/NUMA1/KMT5A/SLC7A1/TFDP1/PRMT5/FOXN3/MEIS2/SMAD3/PML/E2F4/CTCF/SLC7A5/CHMP1A/PAFAH1B1/LIG3/ILF3/TNPO2/UPF1/TGFB1/BCL3/ATF5/CDC25B/HIRA/EWSR1/SUV39H1/SMC1A,37
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,10/722,49/4377,0.204081632653061,1.23720956526655,0.74207905918058,0.281682884099981,0.825056162422452,0.764262550454482,MSRA/GSR/PTPA/FES/SELENOS/ABCC1/SBNO2/ERCC2/TXNRD2/G6PD,10
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,29/722,158/4377,0.183544303797468,1.11270556471125,0.641257865311852,0.291775732459658,0.825056162422452,0.764262550454482,TGFBRAP1/BCL2L11/HYAL2/SHOX2/RXRB/BAK1/CCND3/YKT6/AGO2/GRINA/DGAT1/CDKN2B/AQP3/SIGMAR1/NXF1/MARK2/MMP14/NFKBIA/RAB27A/FURIN/ARRB2/DLG4/CNP/BSG/ICAM1/PRKACA/DNAJB1/WIZ/AP2S1,29
HALLMARK_APICAL_SURFACE,HALLMARK_APICAL_SURFACE,9/722,44/4377,0.204545454545455,1.24002140518761,0.711124321637143,0.294636715319936,0.825056162422452,0.764262550454482,CROCC/MDGA1/HSPB1/EPHB4/AFAP1L2/ADAM10/FLOT2/LYPD3/NCOA6,9
