ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0016236,macroautophagy,128/2921,400/18568,0.32,2.03415268743581,9.03404409168113,2.1319979749517e-16,1.28985877484578e-12,1.12749029749025e-12,PEX10/MTOR/MFN2/VPS13D/ATP13A2/MUL1/PINK1/EPHB2/SESN2/LIX1L/GBA1/UBQLN4/QSOX1/PIK3C2B/EXOC8/RALB/FZD5/RETREG2/ATG9A/ATG16L1/ATG4B/MTMR14/ATG7/FYCO1/SETD2/ELP6/ATP6V1A/RAB7A/RAB43/PARL/RUBCN/HTT/TBC1D14/STING1/LARP1/EHMT2/ILRUN/AP5Z1/WIPI2/EIF2AK1/NOD1/VPS41/TECPR1/SMURF1/EXOC4/RAB19/LZTS1/CHMP7/RRAGA/VCP/LRSAM1/OPTN/STAM/BTRC/VTI1A/AMBRA1/ATG13/VPS37C/ATG2A/CAPN1/KAT5/RAB1B/TCIRG1/CTTN/LAMTOR1/UVRAG/VPS26B/PEX5/ATP2A2/VPS37B/ATP6V0A2/TRIM13/RNF31/CHMP4A/ZFYVE26/ZFYVE1/MOAP1/AKT1/PACS2/VPS39/SPG11/AFG2B/ULK3/WDR24/TSC2/ATP6V0C/CLEC16A/MAPK3/ATP6V0D1/VPS4A/ZNRF1/CHMP1A/WDR81/TP53/SMCR8/POLDIP2/PEX12/BECN1/PLEKHM1/ERN1/EXOC7/USP36/GAA/RPTOR/CHMP6/WDR45B/NPC1/UBXN6/ELAVL1/CDC37/ATG4D/PRKACA/MVB12A/CAPNS1/SUPT5H/GSK3A/IRGQ/VPS16/SRC/BCL2L13/MTMR3/TOM1/HDAC10/TBC1D25/WDR45/HUWE1/UBQLN2/EFNB1,128
GO:0016197,endosomal transport,101/2921,298/18568,0.338926174496644,2.1544612146709,8.6803914635842,5.22089168962467e-15,1.57931973611146e-11,1.38051367624602e-11,VAMP3/SNX27/SNX17/EHD3/DCTN1/RBSN/PTPN23/RAB7A/TMCC1/ACAP2/TBC1D14/VPS52/REPS1/SNX9/MICALL2/SNX8/AP5Z1/YKT6/RABGEF1/LMTK2/WDR91/CHMP7/LEPROTL1/SCRIB/UBAP1/VCP/RGP1/ABCA1/DENND1A/ENTR1/STAM/WASHC2C/WASHC2A/GBF1/VTI1A/BET1L/FHIP1B/ARHGAP1/VPS37C/STX5/EHD1/VPS51/AP5B1/LAMTOR1/RAB6A/VPS26B/PHETA1/RAB35/VPS37B/CHMP4A/HEATR5A/MAGEL2/EHD4/VPS39/SNX1/MAP2K1/SNX33/CLEC16A/VPS35L/MAPK3/TBC1D10B/VPS4A/AP1G1/CHMP1A/VPS53/WDR81/SGSM2/ANKFY1/BECN1/GGA3/UBE2O/CHMP6/SLC66A2/RNF126/AP3D1/MAP2K2/UBXN6/DENND1C/RAB11B/RAB8A/MVB12A/RAB4B/TBC1D17/VPS16/AP5S1/SRC/ARFRP1/TRAPPC10/CLTCL1/MAPK1/NF2/TBC1D10A/TOM1/GGA1/MICALL1/SGSM3/PHETA2/GRIPAP1/CCDC22/MSN/SNX12,101
GO:0010506,regulation of autophagy,115/2921,376/18568,0.305851063829787,1.94421176076395,7.9917927017972,2.37692656691755e-13,3.59510143246279e-10,3.14254712426152e-10,CPTP/MTOR/VPS13D/ATP13A2/UBR4/MUL1/PINK1/SESN2/KDM4A/PLK3/MCL1/GBA1/UBQLN4/QSOX1/EXOC8/RALB/FZD5/ATG16L1/FYCO1/SETD2/WDR6/ATP6V1A/PARL/EIF4G1/RUBCN/HTT/TBC1D14/DAP/STING1/LARP1/ZKSCAN3/EHMT2/TFEB/FOXK1/EIF2AK1/NOD1/HSPB1/TECPR1/EXOC4/LZTS1/RRAGA/DAPK1/LRSAM1/USP20/ABL1/OPTN/DEPP1/BTRC/TRIM8/AMBRA1/ATG13/ATG2A/CAPN1/KAT5/TPCN2/CTTN/LAMTOR1/UVRAG/VPS26B/TPCN1/CAMKK2/ATP6V0A2/TRIM13/RNF31/MOAP1/AKT1/HERC1/MAP2K1/ULK3/NPRL3/WDR24/TSC2/MLST8/ATP6V0C/CLEC16A/MAPK3/KAT8/ATP6V0D1/USP10/SLC7A5/TP53/FLCN/SMCR8/POLDIP2/BECN1/OSBPL7/ERN1/EXOC7/USP36/RPTOR/FOXK2/NPC1/STK11/ELAVL1/CDC37/KEAP1/PRKACA/RAB8A/PIK3R2/CAPNS1/SIRT2/SUPT5H/GSK3A/IRGQ/SNRNP70/TRIB3/MTCL2/CTSA/KLHL22/DEPDC5/TOM1/TBC1D25/WDR45/HUWE1/UBQLN2,115
GO:0007033,vacuole organization,86/2921,268/18568,0.32089552238806,2.03984527891184,7.40852383488242,1.5524010497798e-11,1.87840527023356e-08,1.64195007875657e-08,MTOR/MFN2/ATP13A2/PINK1/EPHB2/PI4KB/GBA1/PIK3C2B/TMEM63A/RALB/RETREG2/ATG9A/ATG16L1/ATG4B/ATG7/SETD2/ATP6V1A/RAB7A/RAB43/TMEM175/TBC1D14/ARSB/STING1/ZKSCAN3/EHMT2/TFEB/AP5Z1/WIPI2/SMURF1/RAB19/CLN8/CHMP7/RRAGA/ABCA1/LRSAM1/HPS1/BTRC/FHIP1B/AMBRA1/ATG13/ACP2/ATG2A/RAB1B/TCIRG1/TPCN2/LAMTOR1/GNPTAB/ATP2A2/LAMP1/CHMP4A/ZFYVE26/VIPAS39/MOAP1/PACS2/VPS18/SPG11/ULK3/VPS33B/ATP6V0C/NAGPA/SPNS1/MAPK3/VPS4A/MBTPS1/CHMP1A/RNASEK/FLCN/SMCR8/NAGLU/HSD17B1/BECN1/GRN/GAA/RPTOR/CHMP6/WDR45B/ELAVL1/ATG4D/IRGQ/VPS16/HPS4/MTMR3/TOM1/WDR45/UBQLN2/EFNB1,86
GO:0007034,vacuolar transport,63/2921,176/18568,0.357954545454545,2.27541937692571,7.34540880854764,5.10816974461185e-11,5.15073782581694e-08,4.50235873630349e-08,VPS13D/ATP13A2/UBR4/PINK1/SNX27/EHD3/TGFBRAP1/TRAK2/RBSN/PTPN23/MON1A/RAB7A/GAK/ARSB/PCDHGA3/VPS52/IGF2R/VPS41/SMURF1/CHMP7/LEPROTL1/DENND3/UBAP1/VCP/STAM/AP3M1/VTI1A/FHIP1B/VPS37C/VPS51/KAT5/TPCN2/SLC48A1/LRP1/GNPTAB/VPS37B/LAMP1/AP1G2/CHMP4A/VIPAS39/VPS18/VPS39/AP3S2/MGRN1/NAGPA/CLEC16A/ATP6V0D1/VPS4A/AP1G1/MON1B/CHMP1A/VPS53/ANKFY1/BECN1/GRN/PLEKHM1/GGA3/CHMP6/NPC1/AP3D1/UBXN6/MVB12A/VPS16,63
GO:0000209,protein polyubiquitination,89/2921,298/18568,0.298657718120805,1.89848562480901,6.75571153767046,4.71192744388896e-10,4.07245157650403e-07,3.55980804181927e-07,UBE2J2/PEX10/UBE4B/UBR4/MUL1/SESN2/TRIM62/UBE2Q1/RUSC1/RC3H1/RNF187/RNF144A/NAGK/UBE2E3/RNF25/MKRN2/SETD2/ARIH2/RNF123/FBXO45/TMEM129/OTUD4/UBE2QL1/TRIM38/TRIM26/UBR2/RNF216/UBE2D4/YWHAG/SMURF1/TRIM56/TNKS/SHARPIN/UBE2R2/LRSAM1/ANAPC2/BTRC/TRIM8/TRIM44/AMBRA1/DDB2/ZDHHC5/DTX4/PRPF19/SYVN1/PELI3/CBL/RNF26/KLHL42/UBE3B/ANAPC7/WSB2/GCN1/CHFR/RNF31/AREL1/AKT1/MAGEL2/RNF111/UBL7/UBE2Q2/ARRDC4/WDR24/ZNF598/TRAF7/MGRN1/WWP2/ZNRF1/RNF166/TCF25/RNF167/BLMH/PEX12/NFE2L1/SPOP/TRIM25/UBE2O/RNF126/FZR1/KEAP1/DCAF15/DDA1/IRF2BP1/RBCK1/RNF114/UBE2G2/PPIL2/HUWE1/TAF1,89
GO:0051056,regulation of small GTPase mediated signal transduction,91/2921,314/18568,0.289808917197452,1.84223621175019,6.50340524195231,1.64974461378691e-09,1.24761936417635e-06,1.09056801837703e-06,PLEKHG5/MFN2/ARHGEF10L/EPHB2/CSF1/NOTCH2/CDC42SE1/DENND4B/ARHGEF2/NTRK1/ARHGEF11/SRGAP2/SOS1/MAP4K4/PSD4/ARHGEF4/SRGAP3/RAF1/IQSEC1/ROBO1/ARHGAP31/TRIO/SYNGAP1/CYTH3/RAC1/TNS3/RABGEF1/RASA4B/RASA4/ARHGEF10/PRAG1/DENND3/SEMA4D/FGD3/ABCA1/DAB2IP/DENND1A/MAPKAP1/ABL1/NOTCH1/NRP1/ARHGAP22/GBF1/SWAP70/ARHGAP1/SIPA1/ARAP1/ARHGEF17/ARRB1/CBL/GIT2/SPATA13/DOCK9/RASA3/ARHGEF40/SIPA1L1/MAP2K1/TSC2/ARHGAP17/KCTD13/PLEKHG4/ABR/TAX1BP3/FLCN/TNFAIP1/ARHGAP27/ARHGAP45/VAV1/ARHGEF18/DOCK6/SYDE1/RASAL3/MYO9B/LPAR2/GMIP/ARHGEF1/ARHGAP35/SRC/TGM2/PREX1/ARFGAP1/CRKL/LZTR1/BCR/SH3BP1/CSNK1E/SGSM3/IQSEC2/AMOT/ARHGAP4/SPRY3,91
GO:0051052,regulation of DNA metabolic process,129/2921,497/18568,0.259557344064386,1.64993521553835,6.34568158774554,2.06389934412597e-09,1.31331138672514e-06,1.14799067540794e-06,DFFB/NMNAT1/DFFA/KDM1A/ID3/ARID1A/S100A11/UBQLN4/TAF5L/SUPT7L/BABAM2/INO80B/NPAS2/GLI2/INO80D/OGG1/TADA3/SETD2/ATRIP/PARP3/PBRM1/ACTR8/HMCES/H1-10/ZBTB38/ATR/NSD2/TADA2B/ANKRD17/JADE1/SMARCA5/WRNIP1/PPP1R10/EHMT2/AGER/BRPF3/CDKN1A/ARID1B/MAP3K4/ACTB/PMS2/BCL7B/TRRAP/CYREN/TNKS/SPIDR/HSF1/NIBAN2/CDK9/CIZ1/ABL1/SLF2/STN1/TAF10/NAT10/TAF6L/OTUB1/DPF2/KAT5/FAM168A/RNF169/KDM4D/NFRKB/MCRS1/SMARCD1/STAT6/KMT5A/SLC15A4/EP400/TFDP1/TINF2/RIOX1/YLPM1/YY1/AKT1/PML/SLX4/SMG1/NSMCE1/SGF29/SH2B1/SLX1B/KCTD13/INO80E/MAPK3/SLX1A/FUS/ACD/TERF2/SF3B3/TERF2IP/SMG6/TNFSF13/TP53/CTC1/TNFAIP1/LIG3/ATXN7L3/RECQL5/SIRT7/INO80C/RNF126/PIAS4/SIRT6/HDGFL2/CAMSAP3/MAP2K7/SMARCA4/WIZ/BABAM1/UPF1/TMEM161A/TGFB1/XRCC1/ERCC2/ERCC1/PRKD2/BAX/PNKP/TRIM28/SRC/TAF4/MAPK1/SMARCB1/TFIP11/CCDC117/HDAC10/SUV39H1/GNL3L,129
GO:0034976,response to endoplasmic reticulum stress,85/2921,288/18568,0.295138888888889,1.87611738750048,6.47428112841147,2.17076262268619e-09,1.31331138672514e-06,1.14799067540794e-06,UBE2J2/ATAD3A/UBE4B/FBXO44/MAN1C1/SELENON/SESN2/MAN1A2/BCL2L11/ANKZF1/DNAJB2/EDEM1/QRICH1/USP19/SERP1/EIF2B5/EIF4G1/TMEM129/WFS1/TMEM33/BAG6/ATF6B/BAK1/MARCKS/MAP3K5/NOD1/TBL2/RHBDD2/CREB3L2/TNFRSF10B/GRINA/VCP/DAB2IP/ABL1/SEC16A/NRBF2/DNAJB12/ERLIN1/CREB3L1/SYVN1/BBS1/CCND1/RNF121/HYOU1/LPCAT3/OS9/FICD/ATP2A2/TRIM13/AKT1/AFG2B/PARP16/PARP6/PML/SELENOS/SGF29/MBTPS1/ATP2A3/TP53/TMUB2/NFE2L1/TRIM25/ERN1/NPLOC4/P4HB/TMEM259/SGTA/EEF2/UBXN6/PIK3R2/AKT2/PPP1R15A/BAX/RCN3/NR1H2/TRIB3/HM13/MMP24-AS1-EDEM2/EDEM2/UBE2G2/FOXRED2/MBTPS2/UBQLN2/ZDHHC9/AIFM1,85
GO:0006352,DNA-templated transcription initiation,68/2921,221/18568,0.307692307692308,1.95591604561136,6.17667092240243,1.38909542821082e-08,6.00287667191103e-06,5.2472296476174e-06,NOC2L/INTS11/KDM1A/ELOA/ARID1A/TET3/ERCC3/POLR2D/OGG1/NFKBIZ/NFKB1/TET2/SMARCA5/KDM1B/TAF8/SRF/MED23/ARID1B/TBP/INTS1/INTS15/CRCP/INTS10/INTS9/GTF2E2/PHF2/CDK9/MED27/TAF3/TAF10/SPI1/TAF6L/MEN1/RBM14/SMARCD1/BAZ2A/NFKBIA/BRF1/SNAPC5/GTF3C1/SGF29/MAZ/KAT8/ARMC5/TAF1C/TP53/MED9/UBTF/WBP2/SIRT7/POLRMT/MED16/GTF2F1/SMARCA4/SAMD1/MED26/ERCC2/ERCC1/MED25/PPP2R1A/NCOA6/TAF4/MED15/SMARCB1/POLR3H/MED14/MED12/TAF1,68
