ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,18/118,200/4384,0.09,3.34372881355932,5.64212667501999,4.72748000998138e-06,0.000198554160419218,0.000174170316157209,BRCA1/POLD1/KIF22/CENPM/MYBL2/RBBP7/RNASEH2A/ASF1B/RAD51AP1/TIMELESS/STMN1/E2F8/PSMC3IP/DONSON/SPC24/TK1/NAA38/MXD3,18
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,10/118,161/4384,0.062111801242236,2.30761132750816,2.81123651253891,0.0107959821860521,0.187925569084701,0.164846990425176,BRCA1/HSPB1/CLU/GCH1/BTG2/GPX4/IGFBP6/ISG20/GPX3/GPX1,10
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,7/118,97/4384,0.0721649484536082,2.68111130525948,2.78433769840794,0.0149122604465104,0.187925569084701,0.164846990425176,IFI35/LAMP3/RTP4/STAT2/ISG20/USP18/PSMB8,7
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,11/118,200/4384,0.055,2.04338983050847,2.51178274598084,0.017897673246162,0.187925569084701,0.164846990425176,ABHD4/TPD52L1/OSGIN1/EPHX1/BTG2/BLCAP/SLC3A2/FOS/TSPYL2/CEBPA/H2AJ,11
HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,10/118,200/4384,0.05,1.85762711864407,2.06459075611811,0.041669047312543,0.250245852789812,0.219513905955976,COQ9/DDT/ETFB/PHYH/COX6A1/HSPB8/GPX4/FZD4/UQCR10/GPX3,10
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,10/118,200/4384,0.05,1.85762711864407,2.06459075611811,0.041669047312543,0.250245852789812,0.219513905955976,MAOB/ETFB/PHYH/NDUFC1/COX6A1/ATP5MG/GPX4/NDUFB1/UQCR10/NDUFA6,10
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,4/118,49/4384,0.0816326530612245,3.03286060186787,2.3797284438976,0.0417076421316353,0.250245852789812,0.219513905955976,MGST1/GPX4/NDUFA6/GPX3,4
HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,9/118,200/4384,0.045,1.67186440677966,1.61739876625537,0.0882092849294164,0.370478996703549,0.324981576055745,BLVRB/RNASEH2A/ETFB/LSR/MDK/TPD52L1/HSPB8/FOS/ISG20,9
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,9/118,200/4384,0.045,1.67186440677966,1.61739876625537,0.0882092849294164,0.370478996703549,0.324981576055745,E2F2/KIF22/MYBL2/E2F1/STMN1/NUSAP1/CHAF1A/DTYMK/HMGN2,9
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,9/118,200/4384,0.045,1.67186440677966,1.61739876625537,0.0882092849294164,0.370478996703549,0.324981576055745,IFI35/IDO1/GCH1/RTP4/STAT4/STAT2/ISG20/USP18/PSMB8,9
