ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0007015,actin filament organization,55/913,468/18652,0.117521367521368,2.40088559365668,6.96310216388174,1.5827512159584e-09,7.99447639180589e-06,6.85747789987872e-06,CUL3/NCKAP1/RHOA/WDR1/RHOBTB1/DLG1/RAPGEF3/ITGB5/FAT1/JAK2/NRP1/PPM1F/MTPN/MET/WASL/LIMK1/TGFBR1/CORO1C/ACTR3/CAPZA1/RHOU/CALD1/MYO1B/SNX9/CAP1/SPIRE1/FHOD3/LIMD2/TMOD3/DIAPH3/IQGAP1/PHLDB2/SLIT2/RASA1/DIAPH2/FAM171A1/TWF1/FER/CYRIB/MYO1E/PALM2AKAP2/SPATC1L/RICTOR/WASHC5/ZEB2/RAC3/PAWR/PAK2/KIRREL1/ACTG1/MYO6/MYO5A/LPAR1/CAPZA2/CYFIP1,55
GO:0009101,glycoprotein biosynthetic process,40/913,300/18652,0.133333333333333,2.72391383716685,6.82898825233643,8.34910847471518e-09,1.40571156352621e-05,1.2057870344536e-05,EXTL3/FUT8/ALG9/POFUT1/C1GALT1/FKTN/GALNT18/GNPTAB/MAN1A1/MAN2A1/GOLPH3/CHST10/TMTC4/HS3ST3B1/SLC35D2/ST6GALNAC4/SLC39A8/TMTC3/GALNT1/GALNT2/GALNT13/GXYLT1/EXT2/MGAT5/HS2ST1/NUS1/EOGT/GALNT10/B3GALNT1/CANT1/CHST11/B4GAT1/ALG10B/FOXL1/PAWR/EXT1/BACE2/FUT4/UBE2J1/OSTC,40
GO:0001667,ameboidal-type cell migration,36/913,256/18652,0.140625,2.87287787513691,6.84525489349869,1.14432910039457e-08,1.44500157152325e-05,1.23948909926949e-05,ITGA3/PAFAH1B1/FUT8/NCKAP1/PKN2/HYAL2/MAP4K4/SEMA3A/NRP1/PPM1F/FERMT1/TGFBR1/SMURF2/CORO1C/ACVR1/RTN4/GNA13/CAP1/SEMA7A/IQGAP1/PTPRG/GNA12/DOCK5/ITGB1/DOCK1/FER/EDNRA/APPL1/TGFBR2/ITGA2/ILK/ADAM9/PTK2/ZEB2/SMAD2/YTHDF3,36
GO:0006605,protein targeting,40/913,315/18652,0.126984126984127,2.59420365444462,6.47376332137715,3.32652276485066e-08,2.99439856386323e-05,2.56852618842773e-05,FYN/HOMER3/TRAM1/NEDD4/LMAN1/PIK3C3/SH3GLB1/CSNK2A1/PMPCB/ATE1/YWHAE/UBE2D3/GNPTAB/MAN1A1/ERBIN/GOLPH3/ARL6/SSR3/RHOU/LTBP2/LYPLA1/SSR1/SPCS3/AP3B1/EDEM1/YWHAQ/SCARB2/NPEPPS/PARD3/PEX19/YWHAZ/TOMM20/SRP72/KCMF1/GET1/IMMP2L/AP3M1/CHM/ZDHHC9/SMURF1,40
GO:0048193,Golgi vesicle transport,40/913,319/18652,0.125391849529781,2.56167445501585,6.38250203099034,4.72386153852284e-08,2.99439856386323e-05,2.56852618842773e-05,EHD3/ATP2C1/SPAST/CUL3/EXOC5/LMAN1/RAB10/SCAMP1/TMED2/SNAP23/SEC23B/RAB2A/YWHAE/EXOC2/GOLPH3/VAMP4/LYPLA1/CCDC91/MYO1B/COPB1/EXOC4/TBC1D14/SPIRE1/ARF3/TMED7/USO1/SEC24B/EXOC6B/HYOU1/NBAS/TRAPPC8/COG5/ARF4/RAB31/TRAPPC11/YIPF6/MYO5A/LPAR1/UVRAG/RACK1,40
GO:0007229,integrin-mediated signaling pathway,22/913,117/18652,0.188034188034188,3.84141694985069,6.99444863921509,4.7404298619052e-08,2.99439856386323e-05,2.56852618842773e-05,ITGA3/FUT8/CUL3/ITGB5/ITGA6/NRP1/FERMT1/SERPINE1/ERBIN/PLAU/LAMC1/ADAM10/ITGAV/SEMA7A/DIAPH3/ITGB1/DOCK1/ITGA2/ILK/ADAM9/PTK2/LIMS1,22
GO:0072594,establishment of protein localization to organelle,52/913,475/18652,0.109473684210526,2.23647662420015,6.1928918325536,4.82385635664962e-08,2.99439856386323e-05,2.56852618842773e-05,MBTPS2/IPO5/TRAM1/HYAL2/NUP133/NEDD4/LMAN1/PIK3C3/TNPO1/RAB10/IPO11/JAK2/SH3GLB1/CSNK2A1/FERMT1/KPNA3/STK3/PMPCB/MAPK8/ATE1/UBE2D3/GNPTAB/MAN1A1/MAPK14/GOLPH3/KPNA1/SSR3/RHOU/LYPLA1/POT1/SPCS3/AP3B1/EDEM1/VPS36/SCARB2/PPP3CA/NPEPPS/APPL1/PEX19/PAQR3/TOMM20/SRP72/KCMF1/GET1/PTTG1IP/IMMP2L/AP3M1/KPNA4/USP7/SMURF1/IPO7/PPP3R1,52
GO:0007163,establishment or maintenance of cell polarity,33/913,236/18652,0.139830508474576,2.85664692668981,6.51192746404079,5.33549536225877e-08,2.99439856386323e-05,2.56852618842773e-05,PAFAH1B1/NCKAP1/RHOA/WDR1/RHOBTB1/FBXW11/ACTB/DLG1/GSK3B/FAT1/RAB10/FERMT1/ERBIN/GOLPH3/ACTR3/RHOU/DOCK7/RAP1B/CAP1/SPRY2/DIAPH3/PHLDB2/PARD3/ITGB1/CYRIB/SPRY1/RICTOR/ILK/ARF4/PTK2/RAC3/PARVA/RACK1,33
GO:0031589,cell-substrate adhesion,43/913,368/18652,0.116847826086957,2.38712557740845,6.09713717219016,1.15373393358096e-07,5.82751009851743e-05,4.99870407433603e-05,ITGA3/CD44/PIK3CB/RHOA/MAP4K4/GSK3B/ITGB5/ITGA6/JAK2/NRP1/PPM1F/FERMT1/CDK6/SERPINE1/CORO1C/PLAU/MKLN1/RIN2/LAMC1/ITGAV/CDH13/PHLDB2/RASA1/DOCK5/RSU1/HSD17B12/ITGB1/DOCK1/FER/PTPRK/ITGA2/EDIL3/CUL5/ILK/ADAM9/PTK2/RAC3/LIMS1/ANXA2/GAS6/ACTG1/PARVA/L1CAM,43
GO:0030162,regulation of proteolysis,45/913,398/18652,0.113065326633166,2.30985155789902,5.99247839414446,1.53822453231581e-07,7.0632473752065e-05,6.05869107656639e-05,PLAUR/UFL1/MAPK9/USP13/FBXW11/IGF2BP2/UBE2K/GSK3B/CSNK2A1/SERPINE1/UFSP2/UBE3A/PSMD14/UCHL5/IDE/RPL5/PLAU/SNX9/TRAF3/UBQLN1/AGTPBP1/TMTC3/COP1/SPOPL/GNA12/TLK2/EIF3H/SH3RF1/RUNX1/PAQR3/BTRC/ADAM9/TSPAN5/PTK2/RPS7/SH3RF3/SMARCC1/ANXA2/USP7/ASPH/SMURF1/L3MBTL3/RACK1/ANXA2P2/ECSCR,45
