rowname,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0050867,GO:0050867,positive regulation of cell activation,113/1487,381/16754,0.296587926509186,3.34165038381635,14.4293024476207,4.44816331644702e-32,2.47050990595468e-28,1.85277707822956e-28,AGER/AIF1/AXL/BCL6/BST1/BTK/BTN2A2/CAPN3/CARD11/CCL2/CCL3/CCR2/CD1D/CD209/CD226/CD274/CD28/CD38/CD4/CD40/CD40LG/CD70/CD74/CD80/CD86/CR1/CTSC/CYLD/DOCK8/DPP4/FLT3LG/GAS6/GLI2/GP1BA/GPR183/HAVCR2/HLA-DMA/HLA-DMB/HLA-DOA/HLA-DPA1/HLA-DQA1/HLA-DQA2/HLA-DQB2/HLA-DRA/HLA-DRB1/HLA-DRB5/HLA-E/HLX/IGF1/IGF2/IL10/IL12RB1/IL15/IL15RA/IL16/IL18/IL2RA/IL2RG/IL33/IL4R/IL7/IL7R/INPP5D/ITPKB/JAK2/KLRK1/LGALS9/LILRB1/LILRB2/LILRB4/LRRK2/MAP3K8/MEF2C/NCKAP1L/NFATC2/NLRP3/NR5A2/PDCD1LG2/PEAR1/PIK3CD/PIK3R6/PLA2G4A/PLEK/PRKAA1/PTPRC/PTPRJ/RUNX3/SASH3/SELP/SIRPA/SIRPB1/SIRPG/SLAMF1/SPI1/SPN/STAT5A/STAT5B/STAT6/SVEP1/SYK/TACR1/TESPA1/TGFBR2/TLR4/TLR6/TNFRSF14/TNFSF13/TOX/TYROBP/VAV1/VCAM1/WNT5A/ZAP70,113
GO:0030098,GO:0030098,lymphocyte differentiation,121/1487,433/16754,0.279445727482679,3.14850956169792,14.1362032981504,1.46131645911517e-31,4.05807580696282e-28,3.0433838045888e-28,ATM/ATP7A/AXL/BCL3/BCL6/BLNK/BTK/BTN2A2/CAMK4/CARD11/CCR2/CCR6/CD1D/CD28/CD4/CD40LG/CD69/CD74/CD80/CD86/CD8A/CLEC4E/CR1/CTSL/CYLD/CYP26B1/DLL1/DOCK10/DOCK11/DOCK2/DTX1/FCER1G/FCGR2B/FGL2/FLT3LG/GAS6/GLI2/GPR183/HDAC4/HDAC9/HLA-DOA/HLA-DRA/HLA-DRB1/HLX/IKZF1/IKZF3/IL10/IL12RB1/IL15/IL15RA/IL18/IL18R1/IL2RA/IL2RG/IL4R/IL6R/IL7/IL7R/INPP5D/IRF8/ITGA4/ITK/ITM2A/ITPKB/ITPRIPL1/JAK1/JAK2/JAK3/LAG3/LAPTM5/LEPR/LGALS9/LILRB2/LILRB4/LMBR1L/LY9/LYL1/MAFB/MERTK/MFNG/MR1/NCKAP1L/NFAM1/NLRP3/PIK3CD/PIK3R6/PLA2G2D/PLCL2/POU2AF1/PRDM1/PTCRA/PTGER4/PTK2B/PTPN22/PTPRC/PTPRJ/RBPJ/RIPK3/RUNX2/RUNX3/SASH3/SLAMF1/SLAMF6/SLAMF8/SOCS3/SPI1/SPN/STAT4/STAT5A/STAT5B/STAT6/SYK/TESPA1/TGFBR2/THEMIS/TNFSF8/TOX/VAV1/VCAM1/ZAP70/ZEB1,121
GO:0002443,GO:0002443,leukocyte mediated immunity,115/1487,403/16754,0.285359801488834,3.2151433181869,14.0477613143698,6.20215386939651e-31,1.14822541968761e-27,8.61120100393052e-28,ADGRE2/AGER/ARID5A/BCL3/BCL6/BTK/BTN3A2/BTN3A3/C1QA/C1QB/C1QC/C1R/C1S/C2/C3/C4BPB/C7/CBL/CCL3/CCR2/CCR6/CD1C/CD1D/CD226/CD274/CD28/CD40/CD40LG/CD7/CD70/CD74/CD80/CD84/CD8A/CD96/CR1/CSF2RB/CTSC/CTSH/DNASE1L3/FCER1G/FCGR1BP/FCGR2A/FCGR2B/FES/FGR/GZMB/HAVCR2/HCST/HFE/HLA-DRA/HLA-DRB1/HLA-E/IGLL5/IL10/IL12RB1/IL18/IL18R1/IL18RAP/IL1R1/IL4R/IL6R/IL7R/INPP5D/ITGAM/ITGB2/JAK3/KLRB1/KLRD1/KLRK1/LAG3/LGALS9/LILRB1/LILRB4/LYST/MILR1/MR1/MYO1G/NCF1/NCKAP1L/NLRP3/P2RX7/PIK3CD/PIK3CG/PIK3R6/PRAM1/PRF1/PRKAA1/PTGDR/PTGDS/PTPRC/RAB27A/RAC2/RASGRP4/RFTN1/RIPK3/SASH3/SCIMP/SERPINB9/SLAMF1/SLAMF6/SLAMF7/SPI1/SPN/STAT5A/STAT5B/STAT6/SYK/TLR4/TLR8/TNFRSF1B/TNFSF13/TYROBP/VAV1/WAS,115
GO:0007159,GO:0007159,leukocyte cell-cell adhesion,115/1487,420/16754,0.273809523809524,3.08500656483172,13.5055017029112,3.7131311614409e-29,4.12454609412855e-26,3.09323368543614e-26,ADTRP/AGER/AIF1/ALOX5/BCL6/BTN2A2/CARD11/CBLB/CCL2/CCR2/CD1D/CD209/CD274/CD28/CD4/CD40LG/CD69/CD70/CD74/CD80/CD86/CR1/CXCL12/CYLD/DOCK8/DPP4/DTX1/FERMT3/FGL2/GLI2/GPNMB/HAS2/HAVCR2/HFE/HLA-DMA/HLA-DMB/HLA-DOA/HLA-DPA1/HLA-DQA1/HLA-DQA2/HLA-DQB2/HLA-DRA/HLA-DRB1/HLA-DRB5/HLA-E/HLX/IGF1/IGF2/IL10/IL12RB1/IL15/IL18/IL2RA/IL2RG/IL4R/IL7/IL7R/ITGA4/ITGA5/ITGAL/ITGB2/ITPKB/JAK2/JAK3/JAM2/KLRK1/LAG3/LAPTM5/LAX1/LGALS9/LILRB1/LILRB2/LILRB4/LRRC32/MAP3K8/NCKAP1L/NFAT5/NLRP3/NR5A2/PAG1/PDCD1LG2/PECAM1/PIK3CD/PIK3R6/PLA2G2D/PPARA/PRKAA1/PTPN22/PTPRC/RAC2/RIPOR2/RUNX3/SASH3/SELE/SELL/SELP/SELPLG/SIRPA/SIRPB1/SIRPG/SLAMF1/SPN/STAT5A/STAT5B/STK10/SYK/TESPA1/TGFBR2/TNFAIP8L2/TNFRSF14/TSPAN32/VAV1/VCAM1/VSIG4/ZAP70,115
GO:0070663,GO:0070663,regulation of leukocyte proliferation,88/1487,275/16754,0.32,3.60543375924681,13.595834891912,8.14056824720342e-28,6.69267601016941e-25,5.01922160836957e-25,AGER/AIF1/ATM/BCL6/BST1/BTK/BTN2A2/CARD11/CBLB/CCL8/CCR2/CD1D/CD209/CD274/CD28/CD38/CD4/CD40/CD40LG/CD70/CD74/CD80/CD86/CR1/CSF1/CSF1R/CSF2RA/CSF2RB/FCGR2B/FLT3LG/GPNMB/GPR183/HAVCR2/HLA-DMB/HLA-DPA1/HLA-DRB1/HLA-E/IGF1/IGF2/IKZF3/IL10/IL12RB1/IL15/IL18/IL2RA/IL33/IL7/INPP5D/JAK2/LAPTM5/LGALS9/LILRB1/LILRB2/LILRB4/LRRC32/MEF2C/MNDA/NCKAP1L/NFATC2/NR5A2/PDCD1LG2/PLA2G2D/PTPN22/PTPRC/RAC2/RASSF5/RIPK3/RIPOR2/SASH3/SLAMF1/SPN/STAT5A/STAT5B/STAT6/SYK/TACR1/TGFBR2/TLR4/TNFAIP3/TNFRSF14/TNFRSF1B/TNFSF13/TNFSF8/TSPAN32/TYROBP/VCAM1/VSIG4/ZAP70,88
GO:0002460,GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,96/1487,320/16754,0.3,3.38009414929388,13.4159802517509,8.43513361022431e-28,6.69267601016941e-25,5.01922160836957e-25,AGER/ARID5A/BCL3/BCL6/BTK/BTN3A2/BTN3A3/C1QA/C1QB/C1QC/C1R/C1S/C2/C3/C4BPB/C7/CCR2/CCR6/CD1C/CD1D/CD226/CD274/CD28/CD4/CD40/CD40LG/CD69/CD7/CD70/CD74/CD80/CD8A/CR1/CSF2RB/CTSC/CTSH/FCER1G/FCGR1BP/FCGR2A/FCGR2B/HAVCR2/HFE/HLA-DRA/HLA-DRB1/HLA-E/HLX/IGLL5/IL10/IL12RB1/IL17RA/IL18/IL18BP/IL18R1/IL1R1/IL33/IL4R/IL6R/IL7R/INPP5D/JAK1/JAK2/JAK3/KLRD1/LGALS9/LILRB1/LILRB4/LY9/MEF2C/MR1/MYO1G/NCKAP1L/NLRP3/NOTCH1/P2RX7/PLA2G4A/PRF1/PRKAA1/PTPRC/RAB27A/RFTN1/RIPK3/SASH3/SLAMF1/SLAMF6/SLC11A1/SOCS3/SPN/STAT4/STAT5A/STAT6/TLR4/TLR8/TNFAIP3/TNFRSF1B/TNFSF13/WAS,96
GO:1903037,GO:1903037,regulation of leukocyte cell-cell adhesion,106/1487,382/16754,0.277486910994764,3.12643961453012,13.1207540161389,1.85293985091719e-27,1.28640349149926e-24,9.64747761852543e-25,ADTRP/AGER/AIF1/ALOX5/BCL6/BTN2A2/CARD11/CBLB/CCL2/CCR2/CD1D/CD209/CD274/CD28/CD4/CD40LG/CD69/CD70/CD74/CD80/CD86/CR1/CXCL12/CYLD/DOCK8/DPP4/DTX1/FGL2/GLI2/GPNMB/HAS2/HAVCR2/HFE/HLA-DMA/HLA-DMB/HLA-DOA/HLA-DPA1/HLA-DQA1/HLA-DQA2/HLA-DQB2/HLA-DRA/HLA-DRB1/HLA-DRB5/HLA-E/HLX/IGF1/IGF2/IL10/IL12RB1/IL15/IL18/IL2RA/IL2RG/IL4R/IL7/IL7R/ITGA4/ITGB2/ITPKB/JAK2/JAK3/KLRK1/LAG3/LAPTM5/LAX1/LGALS9/LILRB1/LILRB2/LILRB4/LRRC32/MAP3K8/NCKAP1L/NFAT5/NLRP3/NR5A2/PAG1/PDCD1LG2/PIK3CD/PIK3R6/PLA2G2D/PPARA/PRKAA1/PTPN22/PTPRC/RIPOR2/RUNX3/SASH3/SELE/SELP/SIRPA/SIRPB1/SIRPG/SLAMF1/SPN/STAT5A/STAT5B/SYK/TESPA1/TGFBR2/TNFAIP8L2/TNFRSF14/TSPAN32/VAV1/VCAM1/VSIG4/ZAP70,106
GO:0070661,GO:0070661,leukocyte proliferation,99/1487,345/16754,0.28695652173913,3.23313353410719,13.0800109928837,5.97564137048926e-27,3.31887121716973e-24,2.48901188452905e-24,AGER/AIF1/ATM/BCL6/BST1/BTK/BTN2A2/BTN3A1/CARD11/CBLB/CCL8/CCR2/CD180/CD1D/CD209/CD274/CD28/CD38/CD4/CD40/CD40LG/CD70/CD74/CD80/CD86/CR1/CSF1/CSF1R/CSF2RA/CSF2RB/DOCK2/DOCK8/FCGR2B/FLT3LG/GPNMB/GPR183/HAVCR2/HLA-DMB/HLA-DPA1/HLA-DRB1/HLA-E/IGF1/IGF2/IKZF3/IL10/IL12RB1/IL15/IL18/IL2RA/IL33/IL7/IL7R/INPP5D/JAK2/LAPTM5/LGALS9/LILRB1/LILRB2/LILRB4/LMBR1L/LRRC32/MEF2C/MNDA/NCKAP1L/NFATC2/NR5A2/P2RX7/PDCD1LG2/PIK3CG/PLA2G2D/PLCL2/PTPN22/PTPRC/RAC2/RASSF5/RIPK3/RIPOR2/SASH3/SLAMF1/SLC11A1/SPN/STAT5A/STAT5B/STAT6/SYK/TACR1/TGFBR2/TLR4/TNFAIP3/TNFRSF14/TNFRSF1B/TNFSF13/TNFSF8/TSPAN32/TYROBP/VAV1/VCAM1/VSIG4/ZAP70,99
GO:0046651,GO:0046651,lymphocyte proliferation,91/1487,303/16754,0.3003300330033,3.38381262470565,13.0683935389351,1.9261329392349e-26,8.91478528709219e-24,6.68570880750219e-24,AGER/AIF1/ATM/BCL6/BST1/BTK/BTN2A2/BTN3A1/CARD11/CBLB/CCR2/CD180/CD1D/CD209/CD274/CD28/CD38/CD4/CD40/CD40LG/CD70/CD74/CD80/CD86/CR1/DOCK2/DOCK8/FCGR2B/FLT3LG/GPNMB/GPR183/HAVCR2/HLA-DMB/HLA-DPA1/HLA-DRB1/HLA-E/IGF1/IGF2/IKZF3/IL10/IL12RB1/IL15/IL18/IL2RA/IL7/IL7R/INPP5D/JAK2/LAPTM5/LGALS9/LILRB1/LILRB2/LILRB4/LMBR1L/LRRC32/MEF2C/MNDA/NCKAP1L/NFATC2/NR5A2/P2RX7/PDCD1LG2/PIK3CG/PLA2G2D/PLCL2/PTPN22/PTPRC/RAC2/RASSF5/RIPK3/RIPOR2/SASH3/SLAMF1/SLC11A1/SPN/STAT5A/STAT5B/SYK/TACR1/TGFBR2/TLR4/TNFRSF14/TNFRSF1B/TNFSF13/TNFSF8/TSPAN32/TYROBP/VAV1/VCAM1/VSIG4/ZAP70,91
GO:0050670,GO:0050670,regulation of lymphocyte proliferation,80/1487,246/16754,0.32520325203252,3.66405869842155,13.1367833840637,6.60309840971108e-26,2.44490723783569e-23,1.83357616892819e-23,AGER/AIF1/ATM/BCL6/BST1/BTK/BTN2A2/CARD11/CBLB/CCR2/CD1D/CD209/CD274/CD28/CD38/CD4/CD40/CD40LG/CD70/CD74/CD80/CD86/CR1/FCGR2B/FLT3LG/GPNMB/GPR183/HAVCR2/HLA-DMB/HLA-DPA1/HLA-DRB1/HLA-E/IGF1/IGF2/IKZF3/IL10/IL12RB1/IL15/IL18/IL2RA/IL7/INPP5D/JAK2/LAPTM5/LGALS9/LILRB1/LILRB2/LILRB4/LRRC32/MEF2C/MNDA/NCKAP1L/NFATC2/NR5A2/PDCD1LG2/PLA2G2D/PTPN22/PTPRC/RAC2/RASSF5/RIPK3/RIPOR2/SASH3/SLAMF1/SPN/STAT5A/STAT5B/SYK/TACR1/TGFBR2/TLR4/TNFRSF14/TNFRSF1B/TNFSF13/TNFSF8/TSPAN32/TYROBP/VCAM1/VSIG4/ZAP70,80
