"sample_id","item_consensus_cluster1","item_consensus_cluster2"
"NEO19_Patient_19_delta",0,1
"NEO16_Patient_16_delta",0,1
"NEO21_Patient_21_delta",0,1
"NEO22_Patient_22_delta",0,1
"NEO3_Patient_3_delta",0,1
"NEO33_Patient_33_delta",0,1
"NEO34_Patient_34_delta",0,1
"NEO46_Patient_46_delta",0,1
"NEO47_Patient_47_delta",0,1
"NEO51_Patient_51_delta",0,1
"NEO15_Patient_15_delta",1,0
"NEO11_Patient_11_delta",1,0
"NEO18_Patient_18_delta",1,0
"NEO27_Patient_27_delta",1,0
"NEO42_Patient_42_delta",1,0
"NEO43_Patient_43_delta",1,0
"NEO45_Patient_45_delta",1,0
"NEO49_Patient_49_delta",1,0
"NEO8_Patient_8_delta",1,0
