"","x"
"1","BECN2"
"2","CLCA1"
"3","COX8C"
"4","CRYGD"
"5","GPX5"
"6","GPX6"
"7","GSX1"
"8","IFNA4"
"9","IGHA1"
"10","IGHA2"
"11","IGHD"
"12","IGHD1-1"
"13","IGHE"
"14","IGHG1"
"15","IGHG2"
"16","IGHG3"
"17","IGHG4"
"18","IGHJ1"
"19","IGHM"
"20","IGHV1-18"
"21","IGHV1-24"
"22","IGHV1-3"
"23","IGHV1-45"
"24","IGHV1-58"
"25","IGHV1-69"
"26","IGHV1-69-2"
"27","IGHV1-69D"
"28","IGHV2-26"
"29","IGHV2-5"
"30","IGHV2-70"
"31","IGHV2-70D"
"32","IGHV3-11"
"33","IGHV3-13"
"34","IGHV3-15"
"35","IGHV3-16"
"36","IGHV3-20"
"37","IGHV3-21"
"38","IGHV3-23"
"39","IGHV3-30"
"40","IGHV3-33"
"41","IGHV3-35"
"42","IGHV3-38"
"43","IGHV3-43"
"44","IGHV3-48"
"45","IGHV3-49"
"46","IGHV3-53"
"47","IGHV3-64"
"48","IGHV3-64D"
"49","IGHV3-66"
"50","IGHV3-7"
"51","IGHV3-72"
"52","IGHV3-73"
"53","IGHV3-74"
"54","IGHV4-28"
"55","IGHV4-31"
"56","IGHV4-34"
"57","IGHV4-39"
"58","IGHV4-4"
"59","IGHV4-59"
"60","IGHV4-61"
"61","IGHV5-10-1"
"62","IGHV5-51"
"63","IGHV6-1"
"64","IGHV7-4-1"
"65","IGHV7-81"
"66","IGHV8-51-1"
"67","IGKC"
"68","IGKJ1"
"69","IGKV1-12"
"70","IGKV1-13"
"71","IGKV1-16"
"72","IGKV1-17"
"73","IGKV1-27"
"74","IGKV1-37"
"75","IGKV1-39"
"76","IGKV1-5"
"77","IGKV1-6"
"78","IGKV1-8"
"79","IGKV1-9"
"80","IGKV1D-12"
"81","IGKV1D-13"
"82","IGKV1D-17"
"83","IGKV1D-33"
"84","IGKV1D-37"
"85","IGKV1D-39"
"86","IGKV1D-42"
"87","IGKV1D-43"
"88","IGKV1D-8"
"89","IGKV2-24"
"90","IGKV2-28"
"91","IGKV2-29"
"92","IGKV2-30"
"93","IGKV2-40"
"94","IGKV2D-24"
"95","IGKV2D-26"
"96","IGKV2D-28"
"97","IGKV2D-29"
"98","IGKV2D-30"
"99","IGKV3-15"
"100","IGKV3-20"
"101","IGKV3-7"
"102","IGKV3D-11"
"103","IGKV3D-15"
"104","IGKV3D-20"
"105","IGKV3D-7"
"106","IGKV4-1"
"107","IGKV5-2"
"108","IGKV6-21"
"109","IGKV6D-21"
"110","IGKV6D-41"
"111","IGLC1"
"112","IGLC2"
"113","IGLC3"
"114","IGLC6"
"115","IGLC7"
"116","IGLJ1"
"117","IGLV1-36"
"118","IGLV1-40"
"119","IGLV1-44"
"120","IGLV1-47"
"121","IGLV1-50"
"122","IGLV1-51"
"123","IGLV10-54"
"124","IGLV11-55"
"125","IGLV2-11"
"126","IGLV2-14"
"127","IGLV2-18"
"128","IGLV2-23"
"129","IGLV2-33"
"130","IGLV2-8"
"131","IGLV3-1"
"132","IGLV3-10"
"133","IGLV3-12"
"134","IGLV3-16"
"135","IGLV3-19"
"136","IGLV3-21"
"137","IGLV3-22"
"138","IGLV3-25"
"139","IGLV3-27"
"140","IGLV3-32"
"141","IGLV3-9"
"142","IGLV4-3"
"143","IGLV4-60"
"144","IGLV4-69"
"145","IGLV5-37"
"146","IGLV5-45"
"147","IGLV5-48"
"148","IGLV5-52"
"149","IGLV6-57"
"150","IGLV7-43"
"151","IGLV7-46"
"152","IGLV8-61"
"153","IGLV9-49"
"154","IL17D"
"155","IL9"
"156","INS"
"157","KCNK18"
"158","MIR103A1"
"159","MIR106B"
"160","MIR107"
"161","MIR10A"
"162","MIR125A"
"163","MIR126"
"164","MIR129-1"
"165","MIR132"
"166","MIR133A1"
"167","MIR135A1"
"168","MIR136"
"169","MIR140"
"170","MIR145"
"171","MIR146A"
"172","MIR15A"
"173","MIR16-1"
"174","MIR17"
"175","MIR181C"
"176","MIR186"
"177","MIR193A"
"178","MIR195"
"179","MIR197"
"180","MIR199A1"
"181","MIR19A"
"182","MIR200C"
"183","MIR203A"
"184","MIR20A"
"185","MIR20B"
"186","MIR21"
"187","MIR210"
"188","MIR214"
"189","MIR217"
"190","MIR221"
"191","MIR222"
"192","MIR26A1"
"193","MIR27A"
"194","MIR29B1"
"195","MIR30B"
"196","MIR324"
"197","MIR338"
"198","MIR378A"
"199","MIR431"
"200","MIR448"
"201","MIR543"
"202","MIR590"
"203","MIR675"
"204","MIR92A1"
"205","MIR96"
"206","MIRLET7B"
"207","NLRP2B"
"208","NOX3"
"209","PLK5"
"210","POU4F2"
"211","PYDC5"
"212","SHLD3"
"213","TERB2"
"214","TMIGD1"
"215","TRAC"
"216","TRAJ3"
"217","TRAJ31"
"218","TRAJ42"
"219","TRAV1-1"
"220","TRAV1-2"
"221","TRAV10"
"222","TRAV12-1"
"223","TRAV12-2"
"224","TRAV12-3"
"225","TRAV13-1"
"226","TRAV13-2"
"227","TRAV14DV4"
"228","TRAV16"
"229","TRAV17"
"230","TRAV18"
"231","TRAV19"
"232","TRAV2"
"233","TRAV20"
"234","TRAV21"
"235","TRAV22"
"236","TRAV23DV6"
"237","TRAV24"
"238","TRAV25"
"239","TRAV26-1"
"240","TRAV26-2"
"241","TRAV27"
"242","TRAV29DV5"
"243","TRAV3"
"244","TRAV30"
"245","TRAV34"
"246","TRAV35"
"247","TRAV36DV7"
"248","TRAV38-1"
"249","TRAV38-2DV8"
"250","TRAV39"
"251","TRAV4"
"252","TRAV40"
"253","TRAV41"
"254","TRAV5"
"255","TRAV6"
"256","TRAV7"
"257","TRAV8-1"
"258","TRAV8-2"
"259","TRAV8-3"
"260","TRAV8-4"
"261","TRAV8-6"
"262","TRAV9-1"
"263","TRAV9-2"
"264","TRBC1"
"265","TRBC2"
"266","TRBD1"
"267","TRBJ1-1"
"268","TRBJ1-2"
"269","TRBJ1-3"
"270","TRBJ1-4"
"271","TRBJ1-5"
"272","TRBJ1-6"
"273","TRBJ2-1"
"274","TRBJ2-2"
"275","TRBJ2-3"
"276","TRBJ2-4"
"277","TRBJ2-5"
"278","TRBJ2-6"
"279","TRBJ2-7"
"280","TRBV10-1"
"281","TRBV10-2"
"282","TRBV10-3"
"283","TRBV11-1"
"284","TRBV11-2"
"285","TRBV11-3"
"286","TRBV12-3"
"287","TRBV12-4"
"288","TRBV12-5"
"289","TRBV13"
"290","TRBV14"
"291","TRBV16"
"292","TRBV17"
"293","TRBV18"
"294","TRBV19"
"295","TRBV2"
"296","TRBV20-1"
"297","TRBV23-1"
"298","TRBV24-1"
"299","TRBV25-1"
"300","TRBV27"
"301","TRBV28"
"302","TRBV29-1"
"303","TRBV3-1"
"304","TRBV30"
"305","TRBV4-1"
"306","TRBV4-2"
"307","TRBV5-1"
"308","TRBV5-3"
"309","TRBV5-4"
"310","TRBV5-5"
"311","TRBV5-6"
"312","TRBV5-7"
"313","TRBV6-1"
"314","TRBV6-4"
"315","TRBV6-5"
"316","TRBV6-6"
"317","TRBV6-7"
"318","TRBV6-8"
"319","TRBV7-1"
"320","TRBV7-2"
"321","TRBV7-3"
"322","TRBV7-4"
"323","TRBV7-6"
"324","TRBV7-7"
"325","TRBV7-9"
"326","TRBV9"
"327","TRDC"
"328","TRDD1"
"329","TRDJ1"
"330","TRDV1"
"331","TRDV2"
"332","TRDV3"
"333","TRGC1"
"334","TRGC2"
"335","TRGV1"
"336","TRGV10"
"337","TRGV11"
"338","TRGV2"
"339","TRGV3"
"340","TRGV4"
"341","TRGV5"
"342","TRGV8"
"343","TRGV9"
