"gene_set","iteration","before","after"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE",0,483,"171"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE",1,171,"120"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE",2,120,"120"
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION",0,117,"2"
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION",1,2,"1"
"GOBP_B_CELL_ACTIVATION",0,285,"92"
"GOBP_B_CELL_ACTIVATION",1,92,"92"
"GOBP_CELLULAR_RESPONSE_TO_STRESS",0,1877,"719"
"GOBP_CELLULAR_RESPONSE_TO_STRESS",1,719,"672"
"GOBP_CELLULAR_RESPONSE_TO_STRESS",2,672,"672"
"GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE",0,70,"1"
"GOBP_INFLAMMASOME_MEDIATED_SIGNALING_PATHWAY",0,58,"17"
"GOBP_INFLAMMASOME_MEDIATED_SIGNALING_PATHWAY",1,17,"10"
"GOBP_INFLAMMASOME_MEDIATED_SIGNALING_PATHWAY",2,10,"9"
"GOBP_INFLAMMASOME_MEDIATED_SIGNALING_PATHWAY",3,9,"9"
"GOBP_INFLAMMATORY_CELL_APOPTOTIC_PROCESS",0,22,"7"
"GOBP_INFLAMMATORY_CELL_APOPTOTIC_PROCESS",1,7,"7"
"GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY",0,321,"77"
"GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY",1,77,"76"
"GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY",2,76,"76"
"GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS",0,67,"37"
"GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS",1,37,"37"
"GOBP_LEUKOCYTE_CHEMOTAXIS_INVOLVED_IN_INFLAMMATORY_RESPONSE",0,8,"2"
"GOBP_LEUKOCYTE_CHEMOTAXIS_INVOLVED_IN_INFLAMMATORY_RESPONSE",1,2,"2"
"GOBP_LEUKOCYTE_MIGRATION_INVOLVED_IN_INFLAMMATORY_RESPONSE",0,21,"3"
"GOBP_LEUKOCYTE_MIGRATION_INVOLVED_IN_INFLAMMATORY_RESPONSE",1,3,"2"
"GOBP_LEUKOCYTE_MIGRATION_INVOLVED_IN_INFLAMMATORY_RESPONSE",2,2,"2"
"GOBP_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS",0,281,"141"
"GOBP_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS",1,141,"131"
"GOBP_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS",2,131,"131"
"GOBP_T_CELL_ACTIVATION",0,586,"153"
"GOBP_T_CELL_ACTIVATION",1,153,"152"
"GOBP_T_CELL_ACTIVATION",2,152,"152"
"HALLMARK_INFLAMMATORY_RESPONSE",0,200,"55"
"HALLMARK_INFLAMMATORY_RESPONSE",1,55,"52"
"HALLMARK_INFLAMMATORY_RESPONSE",2,52,"52"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0,113,"38"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",1,38,"37"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",2,37,"37"
"REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS",0,193,"38"
"REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS",1,38,"37"
"REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS",2,37,"37"
"REACTOME_CELLULAR_RESPONSE_TO_MITOCHONDRIAL_STRESS",0,9,"8"
"REACTOME_CELLULAR_RESPONSE_TO_MITOCHONDRIAL_STRESS",1,8,"6"
"REACTOME_CELLULAR_RESPONSE_TO_MITOCHONDRIAL_STRESS",2,6,"6"
"WP_MOLECULAR_PATHWAY_FOR_OXIDATIVE_STRESS",0,47,"6"
"WP_MOLECULAR_PATHWAY_FOR_OXIDATIVE_STRESS",1,6,"1"
"WP_OXIDATIVE_STRESS_RESPONSE",0,32,"5"
"WP_OXIDATIVE_STRESS_RESPONSE",1,5,"3"
"WP_OXIDATIVE_STRESS_RESPONSE",2,3,"3"
"Analysis by all genes",0,3086,"855"
"Analysis by all genes",1,855,"732"
"Analysis by all genes",2,732,"732"
"Analysis gene set then all genes",0,1053,"882"
"Analysis gene set then all genes",1,882,"881"
"Analysis gene set then all genes",2,881,"881"
