"gene_id","r_rb","p_value","padj","trajectory"
"DDX11L1",0,1,1,"NS"
"WASH7P",0.766843076192769,0.000117832827264343,0.0061639813947322,"Fun-CIM"
"MIR6859-1",0,1,1,"NS"
"MIR1302-2HG",0,1,1,"NS"
"MIR1302-2",0,1,1,"NS"
"FAM138A",0.35174308958913,0.137652669067712,0.501215556940207,"NS"
"OR4F5",0.17531900761894,0.47048165588457,0.922471124625298,"NS"
"LOC100996442",0.437183160629172,0.0598894706859707,0.291752022527741,"NS"
"LOC729737",0.616819812507211,0.0046860598579843,0.0525929170853646,"NS"
"DDX11L17",0.444916787644802,0.0550065975244775,0.275287425960423,"NS"
"WASH9P",0.563432945237952,0.0115576415746706,0.0951226636966228,"NS"
"MIR6859-2",0,1,1,"NS"
"LOC107985721",0,1,1,"NS"
"LOC112268260",0.47247735594475,0.040023773135369,0.222371953658877,"NS"
"OR4F29",0.183071996095384,0.450758341910507,0.896924568933837,"NS"
"LOC100132287",0.489913901366613,0.0323151821864617,0.191727631473221,"NS"
"LOC105378947",0.191241390282426,0.430446196847139,0.869642200598077,"NS"
"LOC101928626",0,1,1,"NS"
"MIR12136",0.42255250961771,0.0700112370675861,0.324468322044193,"NS"
"OR4F16",0.123476168161742,0.612664965909574,1,"NS"
"LOC100133331",0.551440079206251,0.0138806179901748,0.108251724607921,"NS"
"LOC107984841",0.581841883976412,0.00861013741021914,0.0781923165828807,"NS"
"LOC107984847",0.650597066992764,0.00242765346384238,0.0338088851851677,"Fun-CIM"
"LOC107984849",0.605236494299273,0.00577555398599943,0.0602951430071034,"NS"
"LOC100288069",0.62539093090069,0.00399372030762387,0.0469992402748817,"Fun-CIM"
"LINC01409",0.0438796038877017,0.857695641671002,1,"NS"
"FAM87B",0.223606358996684,0.354918427514153,0.763014401006015,"NS"
"LINC00115",0.77426781822096,9.17625205555995e-05,0.0054531949263052,"Fun-CIM"
"LINC01128",0.581061570516299,0.0087212311229133,0.0790001875067959,"NS"
"LOC107984850",0,1,1,"NS"
"FAM41C",0.0120777919304185,0.960654524885266,1,"NS"
"LOC284600",0.223605118918242,0.35492116592507,0.763014401006015,"NS"
"LINC02593",0.385386755986996,0.10140581262051,0.414414890569595,"NS"
"LOC107985728",0,1,1,"NS"
"SAMD11",0.467061757468748,0.042685316668003,0.232231547542839,"NS"
"NOC2L",0.758814946249249,0.000152896485353572,0.00691539529780631,"Fun-CIM"
"KLHL17",0.612252508475162,0.0050934666838455,0.0554840201279385,"NS"
"PLEKHN1",0.594316732496845,0.00698448041877116,0.067939635165205,"NS"
"PERM1",0.175163392013341,0.470881915332454,0.922999953849856,"NS"
"HES4",0.452561934737277,0.0504820969288486,0.259407937608595,"NS"
"ISG15",0.0158908846476271,0.948246679558502,1,"NS"
"AGRN",0.578177090587771,0.00914203561198564,0.0815327524059391,"NS"
"LOC100288175",0,1,1,"NS"
"LOC112267874",0,1,1,"NS"
