"","Dys-CIM","Fun-CIM"
"CIBERSORTx: B cells memory",1.11365662169307,0.372148642018478
"CIBERSORTx: B cells naive",0.039476394407339,-0.237136051340778
"CIBERSORTx: Dendritic cells activated",0.0456465123435711,0.012611796410291
"CIBERSORTx: Dendritic cells resting",-0.0684080835327179,-0.200980061445779
"CIBERSORTx: Eosinophils",-0.19499636421224,-0.0770319300336029
"CIBERSORTx: Macrophages M0",-3.2116511550744,1.86629226393179
"CIBERSORTx: Macrophages M1",2.27963375963995,-0.245962466866626
"CIBERSORTx: Macrophages M2",1.36611703749732,-1.09282100735814
"CIBERSORTx: Mast cells activated",-0.676961994085732,-0.803485657354096
"CIBERSORTx: Mast cells resting",0.283004022518488,1.28027284397168
"CIBERSORTx: Monocytes",-0.497553852153875,0.130644270224688
"CIBERSORTx: Neutrophils",0.159415717892449,-0.131001462035366
"CIBERSORTx: NK cells activated",-0.534632224514156,0.810266964742102
"CIBERSORTx: NK cells resting",-0.0894736777326331,-0.0772477585088393
"CIBERSORTx: Plasma cells",-0.284456031155967,-0.0232593200228265
"CIBERSORTx: T cells CD4+ (general)",2.25644336291494,-1.64219030048209
"CIBERSORTx: T cells CD8+ (total)",-1.67890227943478,0.34861844755859
"CIBERSORTx: T cells follicular helper",-0.508638352240444,-0.357585127577602
"CIBERSORTx: T cells gamma delta",0.211621140373148,-0.0807953516750894
"CIBERSORTx: T cells regulatory (Tregs)",-0.0093405551433258,0.148641265843211
"quantiseq: B cell",-0.0475474046704952,-0.215382917725414
"quantiseq: Macrophage M1",-1.0181579666857,0.510610224668314
"quantiseq: Macrophage M2",-1.18474039699085,-1.75351608222119
"quantiseq: Monocyte",-0.0758603301550993,0.0192885078888314
"quantiseq: Myeloid dendritic cell",-0.107499686430994,0.0452639740580961
"quantiseq: Neutrophil",-0.219236989598921,-0.547152758616537
"quantiseq: NK cell",-0.140680640699297,0.0249286728347247
"quantiseq: T cell CD4+ (non-regulatory)",0.251597024785934,0.074753099327116
"quantiseq: T cell CD8+",-0.724265366974164,0.37349299086886
"quantiseq: T cell regulatory (Tregs)",-0.316718077311647,0.594319083076965
"quantiseq: uncharacterized cell",3.58310983473124,0.873395205840231
"epic: B cell",0.0667353930723597,-0.236760537733648
"epic: Cancer associated fibroblast",-2.28137405198863,0.645838418789439
"epic: Endothelial cell",-0.25008427023418,-0.0492004167514051
"epic: Macrophage",-0.189752332034862,0.0218528314999326
"epic: NK cell",-0.0340451222938801,0.095640025076507
"epic: T cell CD4+",-0.23394547877282,0.181227666428005
"epic: T cell CD8+",-0.0328289398660607,-0.0406219337765004
"epic: uncharacterized cell",2.95529480211807,-0.617976053532331
"mcp_counter: B cell",0.220735794564814,0.0295878703477603
"mcp_counter: Cancer associated fibroblast",-4.39233954525566,1.03351479168745
"mcp_counter: cytotoxicity score",0.09729947699876,0.296512577921687
"mcp_counter: Endothelial cell",0.13222799177133,0.174199772102503
"mcp_counter: Macrophage/Monocyte",0.116136060496632,0.229946745307728
"mcp_counter: Monocyte",0.116136060496632,0.229946745307728
"mcp_counter: Myeloid dendritic cell",0.161793572866443,0.189213080020176
"mcp_counter: Neutrophil",0.119882879495055,0.211988481720593
"mcp_counter: NK cell",0.178463265062306,0.181264854777727
"mcp_counter: T cell",0.0838150235641451,0.233002584909263
"mcp_counter: T cell CD8+",0.159107913339683,0.197564002497248
"estimate: ESTIMATEScore",-0.706526442523947,-0.219994374937209
"estimate: ImmuneScore",-0.667356970497872,1.75992219704276
"estimate: StromalScore",0.423988943752741,-1.51675815620115
"estimate: TumorPurity",0.463496344967153,0.463228458397526
"xcell: B cell",0.662445878427275,-0.665904159275715
"xcell: B cell memory",0.373228016137304,-0.203763564784664
"xcell: B cell naive",0.193544630703345,0.0975986727995791
"xcell: B cell plasma",0.585814880386945,0.120249784842357
"xcell: Cancer associated fibroblast",-1.68943199922172,-0.912358314217793
"xcell: Class-switched memory B cell",0.346668215040291,-0.305574560331005
"xcell: Common lymphoid progenitor",0.180112511439165,0.150273502510001
"xcell: Common myeloid progenitor",-0.245674246107095,0.0163153732787198
"xcell: Endothelial cell",-0.529275458005724,-0.346322594900473
"xcell: Eosinophil",0.0204493735148525,0.0914034694018702
"xcell: Granulocyte-monocyte progenitor",0.0444417298976707,-0.627798937369138
"xcell: Hematopoietic stem cell",-1.18949714234228,-2.81629949299722
"xcell: immune score",-0.370133756160507,-0.111882848096803
"xcell: Macrophage",-0.197584659406851,-0.167321847140539
"xcell: Macrophage M1",-0.283335897950002,0.281910593982446
"xcell: Macrophage M2",-0.0243374246642342,-0.377548587286084
"xcell: Mast cell",0.033648317491084,0.0467294980390299
"xcell: microenvironment score",-1.57047584840677,-1.04830298041881
"xcell: Monocyte",-0.188516681632035,0.12603684784262
"xcell: Myeloid dendritic cell",0.150463292251206,0.0674717510396808
"xcell: Myeloid dendritic cell activated",2.53145666827266,0.338353840428927
"xcell: Neutrophil",-0.0850116786295683,0.0888631477915883
"xcell: NK cell",0.00936698261721882,0.334171325581566
"xcell: Plasmacytoid dendritic cell",0.420503198833183,0.279087520584002
"xcell: stroma score",-1.10893862284439,-0.845016662920139
"xcell: T cell CD4+ (aggregated)",4.44110021638005,3.00793121755526
"xcell: T cell CD8+ (aggregated)",-0.60084728878853,0.95154702414845
"xcell: T cell gamma delta",0.0495064293644506,0.0390582263812584
"xcell: T cell NK",-0.102293193947932,0.127617649284978
"xcell: T cell regulatory (Tregs)",-0.112877870427421,0.518956532024408
"timer: B cell",1.30163994977241,-0.603303315413099
"timer: Macrophage",-1.72683259458028,-0.181422408358016
"timer: Myeloid dendritic cell",-0.936802727630532,0.626044336950049
"timer: Neutrophil",-0.350796686778784,0.88446567068811
"timer: T cell CD4+",-0.0333092800616427,1.66129473877003
"timer: T cell CD8+",-0.947222053628169,0.306244370269921
"consensus_tme: B cell",1.36042792016958,-0.0343240043910288
"consensus_tme: Cancer associated fibroblast",-0.027681171383118,-2.08870439312417
"consensus_tme: cytotoxicity score",2.23664147026377,-0.128806795989473
"consensus_tme: Endothelial cell",0.364221528002013,-2.6921166941633
"consensus_tme: Eosinophil",1.06051273934035,-0.976024093863729
"consensus_tme: immune score",-0.0176516842877946,0.221574409743339
"consensus_tme: Macrophage",-0.356215210531432,-0.107822326333218
"consensus_tme: Macrophage M1",1.38487104110262,0.310888182838951
"consensus_tme: Macrophage M2",0.116207969396793,-0.795985537027544
"consensus_tme: Mast cell",-0.369759934744132,-0.81135272507148
"consensus_tme: Monocyte",-1.60741479733042,0.0313633993755555
"consensus_tme: Myeloid dendritic cell",1.39280971155178,0.00306798365117405
"consensus_tme: Neutrophil",-1.7650292066769,-0.0521707788537348
"consensus_tme: NK cell",0.788378940408576,0.210632181221023
"consensus_tme: T cell CD4+",0.35216478873457,0.325516555495602
"consensus_tme: T cell CD8+",0.00559931301954209,0.134995662971877
"consensus_tme: T cell gamma delta",1.05542737635162,0.258616119210566
"consensus_tme: T cell regulatory (Tregs)",-0.563055007330146,0.780197068252325
