"Method","Cell_Type","cluster","n_candidates","n_pairs_used","n_dropped","n_missing_biopsy","n_missing_surgery","n_missing_both","dropped_patient_ids"
"CIBERSORTx","B cells memory","Dys-CIM",9,9,0,0,0,0,""
"CIBERSORTx","B cells naive","Dys-CIM",9,9,0,0,0,0,""
"CIBERSORTx","Dendritic cells activated","Dys-CIM",9,9,0,0,0,0,""
"CIBERSORTx","Dendritic cells resting","Dys-CIM",9,9,0,0,0,0,""
"CIBERSORTx","Eosinophils","Dys-CIM",9,9,0,0,0,0,""
"CIBERSORTx","Macrophages M0","Dys-CIM",9,9,0,0,0,0,""
"CIBERSORTx","Macrophages M1","Dys-CIM",9,9,0,0,0,0,""
"CIBERSORTx","Macrophages M2","Dys-CIM",9,9,0,0,0,0,""
"CIBERSORTx","Mast cells activated","Dys-CIM",9,9,0,0,0,0,""
"CIBERSORTx","Mast cells resting","Dys-CIM",9,9,0,0,0,0,""
"CIBERSORTx","Monocytes","Dys-CIM",9,9,0,0,0,0,""
"CIBERSORTx","NK cells activated","Dys-CIM",9,9,0,0,0,0,""
"CIBERSORTx","NK cells resting","Dys-CIM",9,9,0,0,0,0,""
"CIBERSORTx","Neutrophils","Dys-CIM",9,9,0,0,0,0,""
"CIBERSORTx","Plasma cells","Dys-CIM",9,9,0,0,0,0,""
"CIBERSORTx","T cells CD4+ (general)","Dys-CIM",9,9,0,0,0,0,""
"CIBERSORTx","T cells CD8+ (total)","Dys-CIM",9,9,0,0,0,0,""
"CIBERSORTx","T cells follicular helper","Dys-CIM",9,9,0,0,0,0,""
"CIBERSORTx","T cells gamma delta","Dys-CIM",9,9,0,0,0,0,""
"CIBERSORTx","T cells regulatory (Tregs)","Dys-CIM",9,9,0,0,0,0,""
"CIBERSORTx","B cells memory","Fun-CIM",10,10,0,0,0,0,""
"CIBERSORTx","B cells naive","Fun-CIM",10,10,0,0,0,0,""
"CIBERSORTx","Dendritic cells activated","Fun-CIM",10,10,0,0,0,0,""
"CIBERSORTx","Dendritic cells resting","Fun-CIM",10,10,0,0,0,0,""
"CIBERSORTx","Eosinophils","Fun-CIM",10,10,0,0,0,0,""
"CIBERSORTx","Macrophages M0","Fun-CIM",10,10,0,0,0,0,""
"CIBERSORTx","Macrophages M1","Fun-CIM",10,10,0,0,0,0,""
"CIBERSORTx","Macrophages M2","Fun-CIM",10,10,0,0,0,0,""
"CIBERSORTx","Mast cells activated","Fun-CIM",10,10,0,0,0,0,""
"CIBERSORTx","Mast cells resting","Fun-CIM",10,10,0,0,0,0,""
"CIBERSORTx","Monocytes","Fun-CIM",10,10,0,0,0,0,""
"CIBERSORTx","NK cells activated","Fun-CIM",10,10,0,0,0,0,""
"CIBERSORTx","NK cells resting","Fun-CIM",10,10,0,0,0,0,""
"CIBERSORTx","Neutrophils","Fun-CIM",10,10,0,0,0,0,""
"CIBERSORTx","Plasma cells","Fun-CIM",10,10,0,0,0,0,""
"CIBERSORTx","T cells CD4+ (general)","Fun-CIM",10,10,0,0,0,0,""
"CIBERSORTx","T cells CD8+ (total)","Fun-CIM",10,10,0,0,0,0,""
"CIBERSORTx","T cells follicular helper","Fun-CIM",10,10,0,0,0,0,""
"CIBERSORTx","T cells gamma delta","Fun-CIM",10,10,0,0,0,0,""
"CIBERSORTx","T cells regulatory (Tregs)","Fun-CIM",10,10,0,0,0,0,""
"consensus_tme","B cell","Dys-CIM",9,9,0,0,0,0,""
"consensus_tme","Cancer associated fibroblast","Dys-CIM",9,9,0,0,0,0,""
"consensus_tme","Endothelial cell","Dys-CIM",9,9,0,0,0,0,""
"consensus_tme","Eosinophil","Dys-CIM",9,9,0,0,0,0,""
"consensus_tme","Macrophage","Dys-CIM",9,9,0,0,0,0,""
"consensus_tme","Macrophage M1","Dys-CIM",9,9,0,0,0,0,""
"consensus_tme","Macrophage M2","Dys-CIM",9,9,0,0,0,0,""
"consensus_tme","Mast cell","Dys-CIM",9,9,0,0,0,0,""
"consensus_tme","Monocyte","Dys-CIM",9,9,0,0,0,0,""
"consensus_tme","Myeloid dendritic cell","Dys-CIM",9,9,0,0,0,0,""
"consensus_tme","NK cell","Dys-CIM",9,9,0,0,0,0,""
"consensus_tme","Neutrophil","Dys-CIM",9,9,0,0,0,0,""
"consensus_tme","T cell CD4+","Dys-CIM",9,9,0,0,0,0,""
"consensus_tme","T cell CD8+","Dys-CIM",9,9,0,0,0,0,""
"consensus_tme","T cell gamma delta","Dys-CIM",9,9,0,0,0,0,""
"consensus_tme","T cell regulatory (Tregs)","Dys-CIM",9,9,0,0,0,0,""
"consensus_tme","cytotoxicity score","Dys-CIM",9,9,0,0,0,0,""
"consensus_tme","immune score","Dys-CIM",9,9,0,0,0,0,""
"consensus_tme","B cell","Fun-CIM",10,10,0,0,0,0,""
"consensus_tme","Cancer associated fibroblast","Fun-CIM",10,10,0,0,0,0,""
"consensus_tme","Endothelial cell","Fun-CIM",10,10,0,0,0,0,""
"consensus_tme","Eosinophil","Fun-CIM",10,10,0,0,0,0,""
"consensus_tme","Macrophage","Fun-CIM",10,10,0,0,0,0,""
"consensus_tme","Macrophage M1","Fun-CIM",10,10,0,0,0,0,""
"consensus_tme","Macrophage M2","Fun-CIM",10,10,0,0,0,0,""
"consensus_tme","Mast cell","Fun-CIM",10,10,0,0,0,0,""
"consensus_tme","Monocyte","Fun-CIM",10,10,0,0,0,0,""
"consensus_tme","Myeloid dendritic cell","Fun-CIM",10,10,0,0,0,0,""
"consensus_tme","NK cell","Fun-CIM",10,10,0,0,0,0,""
"consensus_tme","Neutrophil","Fun-CIM",10,10,0,0,0,0,""
"consensus_tme","T cell CD4+","Fun-CIM",10,10,0,0,0,0,""
