"Method","Cell_Type","cluster","n_candidates","n_pairs","n_dropped","n_zero_delta","n_nonzero_delta","mean_biopsy","sd_biopsy","mean_surgery","sd_surgery","mean_delta","sd_delta","p_value","note","FDR"
"CIBERSORTx","B cells memory","Dys-CIM",9,9,0,0,9,0.0320086999498689,0.0253212782225979,0.055819352171018,0.0255837510677951,0.0238106522211491,0.0411036796397193,0.155131568727114,NA,0.590342425554132
"CIBERSORTx","B cells naive","Dys-CIM",9,9,0,5,4,0.00173783019977957,0.00386850532264762,0.00258185939142491,0.00476571757869065,0.000844029191645337,0.00522847164163178,1,NA,1
"CIBERSORTx","Dendritic cells activated","Dys-CIM",9,9,0,5,4,0.00400880244797409,0.00932849352648805,0.00498475249339188,0.014257623872548,0.000975950045417791,0.0183101646076817,1,NA,1
"CIBERSORTx","Dendritic cells resting","Dys-CIM",9,9,0,1,8,0.0317947288246626,0.0452517481561233,0.0303321226187779,0.0222372892091424,-0.00146260620588469,0.0517519392642816,0.528612125255688,NA,0.834117743957665
"CIBERSORTx","Eosinophils","Dys-CIM",9,9,0,5,4,0.00450064883802285,0.0115824134471604,0.000331508618133953,0.00099452585440186,-0.0041691402198889,0.0117685339638922,0.583882420770365,NA,0.834117743957665
"CIBERSORTx","Macrophages M0","Dys-CIM",9,9,0,0,9,0.0959653223230137,0.131904201482109,0.0272982779041778,0.0246692143937236,-0.0686670444188359,0.121453871173243,0.236136970221653,NA,0.590342425554132
"CIBERSORTx","Macrophages M1","Dys-CIM",9,9,0,0,9,0.0648620171499776,0.0314775648463738,0.11360196587839,0.0291962341623671,0.0487399487284129,0.0467567750306559,0.0580240199462214,NA,0.590342425554132
"CIBERSORTx","Macrophages M2","Dys-CIM",9,9,0,0,9,0.226123528867466,0.0842242068308166,0.255331937491467,0.0372575238859435,0.0292084086240008,0.0930884601777647,0.553616991965781,NA,0.834117743957665
"CIBERSORTx","Mast cells activated","Dys-CIM",9,9,0,2,7,0.0293253648412518,0.0400269554324262,0.0148515079143242,0.0335516585160602,-0.0144738569269276,0.0588616724318474,0.446872820710831,NA,0.834117743957665
"CIBERSORTx","Mast cells resting","Dys-CIM",9,9,0,0,9,0.0686152792412543,0.0587886962895994,0.0746660764314417,0.0786864562034006,0.00605079719018739,0.0803525959273633,0.812703686128436,NA,1
"CIBERSORTx","Monocytes","Dys-CIM",9,9,0,4,5,0.0114157204872485,0.0171208218330656,0.000777718158561167,0.00177311856315991,-0.0106380023286874,0.0176223729187454,0.105645429201877,NA,0.590342425554132
