gene_id,H_value,p_value.x,stat_test_adj_p,cluster1_mean,cluster1_sd,cluster1_sem,cluster1_penetrance,cluster2_mean,cluster2_sd,cluster2_sem,cluster2_penetrance,cluster1_cluster2_differential,cluster2_cluster1_differential,cluster1_cluster2_sd,cluster2_cluster1_sd,limma_test,r_rb,p_value.y,padj,trajectory
DDX11L1,45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,limma_2grp(mod_t),0,1,1,NS
WASH7P,3,0.000117832827264343,0.0061639813947322,-1.15388775524198,0.739008211422869,0.24633607047429,0,0.294162584932148,0.536347338026783,0.169607920513287,0.8,-1.44805034017412,1.44805034017412,0.913127375320028,0.913127375320028,limma_2grp(mod_t),0.766843076192769,0.000117832827264343,0.0061639813947322,Fun-CIM
MIR6859-1,45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,limma_2grp(mod_t),0,1,1,NS
MIR1302-2HG,45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,limma_2grp(mod_t),0,1,1,NS
MIR1302-2,45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,limma_2grp(mod_t),0,1,1,NS
FAM138A,31.5,0.137652669067712,0.501215556940207,-0.0420294396449078,0.0851436599318337,0.0283812199772779,0,0.0122806297627125,0.0674618526341997,0.0213333109498701,0.2,-0.0543100694076203,0.0543100694076203,0.108630310629337,0.108630310629337,limma_2grp(mod_t),0.35174308958913,0.137652669067712,0.501215556940207,NS
OR4F5,35,0.47048165588457,0.922471124625298,-0.115383606291615,0.500013081101787,0.166671027033929,0.444444444444444,0.0480584533459545,0.47024191180082,0.14870354925626,0.6,-0.163442059637569,0.163442059637569,0.686396778027835,0.686396778027835,limma_2grp(mod_t),0.17531900761894,0.47048165588457,0.922471124625298,NS
LOC100996442,19,0.0598894706859707,0.291752022527741,-0.0383928600065497,0.0884311771363113,0.0294770590454371,0.222222222222222,0.0466245981206988,0.0956473673840203,0.0302463533132405,0.7,-0.0850174581272484,0.0850174581272484,0.130263164314427,0.130263164314427,limma_2grp(mod_t),0.437183160629172,0.0598894706859707,0.291752022527741,NS
LOC729737,7,0.0046860598579843,0.0525929170853646,-0.660619210496101,0.408512157493963,0.136170719164654,0,0.301093577652232,0.802693661894095,0.253834023496645,0.7,-0.961712788148333,0.961712788148333,0.900666030038507,0.900666030038507,limma_2grp(mod_t),0.616819812507211,0.0046860598579843,0.0525929170853646,NS
DDX11L17,28,0.0550065975244775,0.275287425960423,-0.0697286381544848,0.140008506034632,0.0466695020115439,0.111111111111111,0.0389152232876804,0.0880149978638481,0.0278327861504615,0.2,-0.108643861442165,0.108643861442165,0.165375396026805,0.165375396026805,limma_2grp(mod_t),0.444916787644802,0.0550065975244775,0.275287425960423,NS
WASH9P,17,0.0115576415746706,0.0951226636966228,-0.610211198564774,0.684109892536541,0.228036630845514,0.222222222222222,0.163811733820551,0.511808229598441,0.161847973074948,0.8,-0.774022932385325,0.774022932385325,0.85437345988218,0.85437345988218,limma_2grp(mod_t),0.563432945237952,0.0115576415746706,0.0951226636966228,NS
MIR6859-2,45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,limma_2grp(mod_t),0,1,1,NS
LOC107985721,45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,limma_2grp(mod_t),0,1,1,NS
LOC112268260,19,0.040023773135369,0.222371953658877,-0.014025349296151,0.0248598596893167,0.0082866198964389,0.222222222222222,0.00932282471032261,0.0211895668121455,0.00670072937586931,0.5,-0.0233481740064736,0.0233481740064736,0.0326651246049804,0.0326651246049804,limma_2grp(mod_t),0.47247735594475,0.040023773135369,0.222371953658877,NS
