"Gene","logFC","AveExpr","t","PValue","adj.P.Val"
"CGAS",-1.32433302221838,0.159273950977907,-2.55362135932078,0.0187931587777871,0.110409807819499
"STING1",-2.17166696510561,-0.493301266570483,-5.76675277912458,1.14439665457559e-05,0.000537866427650526
"IFI16",-0.948302763694663,-0.654541733690143,-1.78308334795904,0.0895315654461184,0.251162399083881
"AIM2",-0.368447011157623,0.0293429859491694,-0.577457507072176,0.569979492017963,0.922411563599916
"ZBP1",-0.446866884329807,0.163472169546388,-0.616626817369384,0.54433397586967,0.916642731157081
"RIGI",-0.261363170897028,0.122272830316903,-0.498965575025474,0.623166906516503,0.922411563599916
"IFIH1",0.0412252903708797,0.383023672589423,0.0617439214402884,0.951370556111387,0.951370556111387
"DHX58",-1.13964267503939,-0.10631515720076,-2.23837987813174,0.036550788832209,0.184129733433122
"TLR3",-0.148750540533837,-0.11974687542607,-0.391321905239738,0.69963591554367,0.939958040227816
"TLR7",-0.102017982099087,0.0910985608532906,-0.17911329108953,0.859624135770606,0.951370556111387
"TLR8",-0.569047412087542,0.0296094824943742,-1.07514952698449,0.294919328465191,0.660057544660189
"TLR9",-0.689870092502049,-0.125133488557751,-1.95751952375797,0.0641748966562914,0.232016934065054
"MAVS",-1.36847425104923,-0.308154937038528,-4.16543011347697,0.000464931289249875,0.00728392353158137
"TBK1",0.034630333308489,-0.178137969366706,0.0971899793580664,0.923528570591059,0.951370556111387
"IRF3",-1.6344602147323,-0.356309679807141,-4.79333638331745,0.000106527982143093,0.00250340758036269
"IRF7",-1.6525493035488,0.133939053904429,-2.91061881122919,0.0085566285906402,0.0574516491085842
"STAT1",-1.50531774676615,-0.114198632211376,-1.71519241587406,0.101533735799867,0.251162399083881
"STAT2",-1.22393715429035,-0.240447595418914,-3.07881738317452,0.00585039066154513,0.0458280601821035
"IFIT1",0.192600050685857,0.626584875777672,0.210203421680191,0.83560406831143,0.951370556111387
"IFIT2",0.0928650646368468,0.503871867119589,0.115318713781152,0.909325434681529,0.951370556111387
"IFIT3",-0.304440233353125,0.209579481600725,-0.345385126458599,0.733357627094815,0.939958040227816
"OAS1",-0.965777395702083,0.205930443085981,-1.15624627807518,0.261005343086962,0.61336255625436
"OAS2",-0.572244769221741,0.114318170356288,-0.740345703288022,0.467566249843269,0.879024549705346
"OAS3",-1.30589851450572,0.178158906832411,-1.84702765130143,0.0793700888721124,0.251162399083881
"RNASEL",-0.803446786323282,-0.17844683016962,-2.1466304788881,0.0440781160999278,0.188333768790601
"MX1",-0.757600596923557,0.118110632818502,-0.787917219363748,0.439847892262939,0.861368789014922
"MX2",-0.864101655420146,-0.0753088777774114,-2.01616890228594,0.057206604658885,0.224059201580633
"ISG15",-0.0756246523825076,0.892270812140446,-0.0700007449197336,0.944877970153533,0.951370556111387
"RSAD2",-0.310945827941873,0.560347751529958,-0.343748848897405,0.734569562073694,0.939958040227816
"BST2",-0.143356794382618,0.235465982038696,-0.228912859202369,0.821226723383695,0.951370556111387
"IFI44",-0.225840547749492,0.204026440020929,-0.271242766924907,0.788943027920359,0.950777495186074
"IFI44L",-0.497044067114844,0.418669518935562,-0.516343021371961,0.611193215383252,0.922411563599916
"IFI6",0.141771707772995,0.415543336912856,0.140944874786534,0.889302547035586,0.951370556111387
"EIF2AK2",-0.761829274382117,-0.112620256975609,-1.8210784921329,0.0833656997953595,0.251162399083881
"B2M",0.330351061953794,-0.122491025243429,0.625900039964975,0.538353857906676,0.916642731157081
"HLA-A",-0.54468189318991,-0.019269495734657,-0.491959760071697,0.6280248943659,0.922411563599916
"HLA-B",-0.368276436387022,-0.233660545484637,-0.294843112541816,0.771107497684728,0.950777495186074
"HLA-C",-1.0229172337034,-0.410539231695539,-1.76616137788677,0.0924023855529604,0.251162399083881
"TAP1",-1.42108149087283,0.0665776527247185,-1.73791164839712,0.097372019507094,0.251162399083881
"TAPBP",-1.34905628515478,-0.252339752349769,-3.47898119618709,0.00232735894358033,0.0273464675870689
"PSMB8",-1.29797396070452,-0.00076671821647916,-2.20456588658125,0.0391765390283237,0.184129733433122
"PSMB9",-0.710903599442286,0.0262819146570863,-0.946854121247395,0.354847248449979,0.725122638136914
"NLRC5",-1.74247786316278,-0.26564647267433,-3.1271157772144,0.00524052612229453,0.0458280601821035
"CXCL9",0.873417134087109,0.69704721228401,0.613921838701625,0.546085031327623,0.916642731157081
"CXCL10",0.550101411223643,0.994275812030512,0.404128590848082,0.690343533366036,0.939958040227816
"CXCL11",0.416894129314092,1.18388234225877,0.336473188647935,0.739966967838919,0.939958040227816
"CCL5",-0.927570732586792,0.0566871121009987,-0.963735386276559,0.346517907820694,0.725122638136914
