GeneSet,AnalysisPool,CohortType,Contrast,FryTest,CameraTest,PrimaryInference,Fry_NGenes,Fry_Direction,Fry_PValue,Fry_FDR,Fry_PValue.Mixed,Fry_FDR.Mixed,Camera_NGenes,Camera_Direction,Camera_PValue,Camera_FDR,MeanZscore_Cluster1_DysCIM,MeanZscore_Cluster2_FunCIM,MeanZscore_Delta_DysCIM_minus_FunCIM
"GOBP_ADAPTIVE_IMMUNE_RESPONSE","19 a priori immune/stress pathways","human","Dys-CIM - Fun-CIM","fry with independent patient samples","camera","Nominal PValue",489,"Down",0.000106830651573394,0.000169148531657873,6.68229803991428e-08,9.06883305416938e-08,489,"Down",8.60702684604477e-08,1.81703900083167e-07,-0.350276466436705,0.315248819793034,-0.665525286229739
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION","19 a priori immune/stress pathways","human","Dys-CIM - Fun-CIM","fry with independent patient samples","camera","Nominal PValue",117,"Down",0.000410628379025437,0.000487621200092706,1.60663198574997e-06,1.90787548307809e-06,117,"Down",0.000303009815628319,0.000442860499764466,-0.327358932709712,0.294623039438741,-0.621981972148453
"GOBP_B_CELL_ACTIVATION","19 a priori immune/stress pathways","human","Dys-CIM - Fun-CIM","fry with independent patient samples","camera","Nominal PValue",289,"Down",5.71533083893388e-05,9.87193508543125e-05,7.51523984030901e-10,2.03985081379816e-09,289,"Down",1.01231682851097e-08,2.40425246771355e-08,-0.368008820093617,0.331207938084255,-0.699216758177872
"GOBP_CELLULAR_RESPONSE_TO_STRESS","19 a priori immune/stress pathways","human","Dys-CIM - Fun-CIM","fry with independent patient samples","camera","Nominal PValue",1915,"Down",1.63272583192266e-05,5.34444569477212e-05,1.82383857870213e-10,6.9305865990681e-10,1915,"Down",8.48421597077184e-16,8.06000517223324e-15,-0.399480656959471,0.359532591263524,-0.759013248222995
"GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE","19 a priori immune/stress pathways","human","Dys-CIM - Fun-CIM","fry with independent patient samples","camera","Nominal PValue",89,"Down",2.51826678832967e-05,5.98088362228298e-05,1.83940911608446e-08,2.91239776713373e-08,89,"Down",0.000759759427707896,0.00103110208046072,-0.315617867680278,0.28405608091225,-0.599673948592527
"GOBP_INFLAMMASOME_MEDIATED_SIGNALING_PATHWAY","19 a priori immune/stress pathways","human","Dys-CIM - Fun-CIM","fry with independent patient samples","camera","Nominal PValue",60,"Down",1.68771969308593e-05,5.34444569477212e-05,1.05652927125532e-11,7.17662147622896e-11,60,"Down",2.22657055986682e-05,3.84589460340633e-05,-0.377946026825016,0.340151424142515,-0.718097450967531
"GOBP_INFLAMMATORY_CELL_APOPTOTIC_PROCESS","19 a priori immune/stress pathways","human","Dys-CIM - Fun-CIM","fry with independent patient samples","camera","Nominal PValue",23,"Down",0.000154341008100854,0.000225575319532018,7.7343075069599e-08,9.79678950881587e-08,23,"Down",0.00273768223214034,0.00346773082737776,-0.373462585681527,0.336116327113374,-0.709578912794901
"GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY","19 a priori immune/stress pathways","human","Dys-CIM - Fun-CIM","fry with independent patient samples","camera","Nominal PValue",334,"Down",6.3427515648368e-06,4.0170759910633e-05,1.13315075940457e-11,7.17662147622896e-11,334,"Down",2.53674514430521e-10,9.63963154835979e-10,-0.382172488981911,0.34395524008372,-0.72612772906563
"GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS","19 a priori immune/stress pathways","human","Dys-CIM - Fun-CIM","fry with independent patient samples","camera","Nominal PValue",67,"Down",1.2276046104781e-06,2.33244875990839e-05,2.02376897299394e-12,3.84516104868849e-11,67,"Down",4.58737959081412e-13,2.90534040751561e-12,-0.493240481489922,0.44391643334093,-0.937156914830852
"GOBP_LEUKOCYTE_CHEMOTAXIS_INVOLVED_IN_INFLAMMATORY_RESPONSE","19 a priori immune/stress pathways","human","Dys-CIM - Fun-CIM","fry with independent patient samples","camera","Nominal PValue",8,"Down",0.000829068509699301,0.000875127871349263,0.111968683326751,0.111968683326751,8,"Down",0.0462684176673519,0.0488388853155381,-0.394706210424959,0.355235589382463,-0.749941799807422
