"gene_set","iteration","before","after"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE",0,481,"250"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE",1,250,"249"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE",2,249,"249"
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION",0,117,"55"
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION",1,55,"55"
"GOBP_B_CELL_ACTIVATION",0,284,"116"
"GOBP_B_CELL_ACTIVATION",1,116,"115"
"GOBP_B_CELL_ACTIVATION",2,115,"115"
"GOBP_CELLULAR_RESPONSE_TO_STRESS",0,1870,"957"
"GOBP_CELLULAR_RESPONSE_TO_STRESS",1,957,"954"
"GOBP_CELLULAR_RESPONSE_TO_STRESS",2,954,"954"
"GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE",0,69,"34"
"GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE",1,34,"29"
"GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE",2,29,"29"
"GOBP_INFLAMMASOME_MEDIATED_SIGNALING_PATHWAY",0,57,"18"
"GOBP_INFLAMMASOME_MEDIATED_SIGNALING_PATHWAY",1,18,"18"
"GOBP_INFLAMMATORY_CELL_APOPTOTIC_PROCESS",0,22,"9"
"GOBP_INFLAMMATORY_CELL_APOPTOTIC_PROCESS",1,9,"8"
"GOBP_INFLAMMATORY_CELL_APOPTOTIC_PROCESS",2,8,"8"
"GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY",0,320,"204"
"GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY",1,204,"199"
"GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY",2,199,"199"
"GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS",0,67,"23"
"GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS",1,23,"20"
"GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS",2,20,"20"
"GOBP_LEUKOCYTE_CHEMOTAXIS_INVOLVED_IN_INFLAMMATORY_RESPONSE",0,8,"4"
"GOBP_LEUKOCYTE_CHEMOTAXIS_INVOLVED_IN_INFLAMMATORY_RESPONSE",1,4,"4"
"GOBP_LEUKOCYTE_MIGRATION_INVOLVED_IN_INFLAMMATORY_RESPONSE",0,21,"11"
"GOBP_LEUKOCYTE_MIGRATION_INVOLVED_IN_INFLAMMATORY_RESPONSE",1,11,"10"
"GOBP_LEUKOCYTE_MIGRATION_INVOLVED_IN_INFLAMMATORY_RESPONSE",2,10,"2"
"GOBP_LEUKOCYTE_MIGRATION_INVOLVED_IN_INFLAMMATORY_RESPONSE",3,2,"2"
"GOBP_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS",0,280,"179"
"GOBP_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS",1,179,"135"
"GOBP_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS",2,135,"131"
"GOBP_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS",3,131,"131"
"GOBP_T_CELL_ACTIVATION",0,588,"236"
"GOBP_T_CELL_ACTIVATION",1,236,"236"
"HALLMARK_INFLAMMATORY_RESPONSE",0,200,"98"
"HALLMARK_INFLAMMATORY_RESPONSE",1,98,"97"
"HALLMARK_INFLAMMATORY_RESPONSE",2,97,"88"
"HALLMARK_INFLAMMATORY_RESPONSE",3,88,"87"
"HALLMARK_INFLAMMATORY_RESPONSE",4,87,"87"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0,112,"69"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",1,69,"67"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",2,67,"48"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",3,48,"48"
"REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS",0,191,"89"
"REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS",1,89,"75"
"REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS",2,75,"75"
"REACTOME_CELLULAR_RESPONSE_TO_MITOCHONDRIAL_STRESS",0,9,"8"
"REACTOME_CELLULAR_RESPONSE_TO_MITOCHONDRIAL_STRESS",1,8,"7"
"REACTOME_CELLULAR_RESPONSE_TO_MITOCHONDRIAL_STRESS",2,7,"7"
"WP_MOLECULAR_PATHWAY_FOR_OXIDATIVE_STRESS",0,48,"8"
"WP_MOLECULAR_PATHWAY_FOR_OXIDATIVE_STRESS",1,8,"8"
"WP_OXIDATIVE_STRESS_RESPONSE",0,33,"8"
"WP_OXIDATIVE_STRESS_RESPONSE",1,8,"8"
"Analysis by all genes",0,3074,"1081"
"Analysis by all genes",1,1081,"1081"
"Analysis gene set then all genes",0,1582,"990"
"Analysis gene set then all genes",1,990,"990"
