"sample_id","item_consensus_cluster1","item_consensus_cluster2"
"2472_delta",0,1
"2271_delta",0,1
"2653_delta",0,1
"2661_delta",0,1
"2677_delta",0,1
"2739_delta",0,1
"2789_delta",0,1
"2817_delta",0,1
"2852_delta",0,1
"2976_delta",0,1
"3001_delta",0,1
"3036_delta",0,1
"3065_delta",0,1
"3067_delta",0,1
"3130_delta",0,1
"3161_delta",0,1
"97_delta",0,1
"OB_0139_delta",0,1
"OB_0235_delta",0,1
"OB_0080_delta",0,1
"OB_0163_delta",0,1
"OB_0168_delta",0,1
"OB_0315_delta",0,1
"OB_0001_delta",0,1
"OB_0038_delta",0,1
"2492_delta",1,0
"2046_delta",1,0
"2691_delta",1,0
"OB_0157_delta",1,0
"OB_0190_delta",1,0
"OB_0261_delta",1,0
"OB_0273_delta",1,0
"OB_0237_delta",1,0
"OB_0095_delta",1,0
"OB_0344_delta",1,0
"OB_0234_delta",1,0
