"","x"
"1","GPX5"
"2","IFNA16"
"3","IGHA1"
"4","IGHA2"
"5","IGHD"
"6","IGHD1-1"
"7","IGHE"
"8","IGHG1"
"9","IGHG2"
"10","IGHG3"
"11","IGHG4"
"12","IGHJ1"
"13","IGHM"
"14","IGHV1-18"
"15","IGHV1-24"
"16","IGHV1-3"
"17","IGHV1-45"
"18","IGHV1-58"
"19","IGHV1-69"
"20","IGHV1-69-2"
"21","IGHV1-69D"
"22","IGHV2-26"
"23","IGHV2-5"
"24","IGHV2-70"
"25","IGHV2-70D"
"26","IGHV3-11"
"27","IGHV3-13"
"28","IGHV3-15"
"29","IGHV3-16"
"30","IGHV3-20"
"31","IGHV3-21"
"32","IGHV3-23"
"33","IGHV3-30"
"34","IGHV3-33"
"35","IGHV3-35"
"36","IGHV3-38"
"37","IGHV3-43"
"38","IGHV3-48"
"39","IGHV3-49"
"40","IGHV3-53"
"41","IGHV3-64"
"42","IGHV3-64D"
"43","IGHV3-66"
"44","IGHV3-7"
"45","IGHV3-72"
"46","IGHV3-73"
"47","IGHV3-74"
"48","IGHV4-28"
"49","IGHV4-31"
"50","IGHV4-34"
"51","IGHV4-39"
"52","IGHV4-4"
"53","IGHV4-59"
"54","IGHV4-61"
"55","IGHV5-10-1"
"56","IGHV5-51"
"57","IGHV6-1"
"58","IGHV7-4-1"
"59","IGHV7-81"
"60","IGHV8-51-1"
"61","IGKC"
"62","IGKJ1"
"63","IGKV1-12"
"64","IGKV1-13"
"65","IGKV1-16"
"66","IGKV1-17"
"67","IGKV1-27"
"68","IGKV1-37"
"69","IGKV1-39"
"70","IGKV1-5"
"71","IGKV1-6"
"72","IGKV1-8"
"73","IGKV1-9"
"74","IGKV1D-12"
"75","IGKV1D-13"
"76","IGKV1D-17"
"77","IGKV1D-33"
"78","IGKV1D-37"
"79","IGKV1D-39"
"80","IGKV1D-42"
"81","IGKV1D-43"
"82","IGKV1D-8"
"83","IGKV2-24"
"84","IGKV2-28"
"85","IGKV2-29"
"86","IGKV2-30"
"87","IGKV2-40"
"88","IGKV2D-24"
"89","IGKV2D-26"
"90","IGKV2D-28"
"91","IGKV2D-29"
"92","IGKV2D-30"
"93","IGKV3-15"
"94","IGKV3-20"
"95","IGKV3-7"
"96","IGKV3D-11"
"97","IGKV3D-15"
"98","IGKV3D-20"
"99","IGKV3D-7"
"100","IGKV4-1"
"101","IGKV5-2"
"102","IGKV6-21"
"103","IGKV6D-21"
"104","IGKV6D-41"
"105","IGLC1"
"106","IGLC2"
"107","IGLC3"
"108","IGLC6"
"109","IGLC7"
"110","IGLJ1"
"111","IGLV1-36"
"112","IGLV1-40"
"113","IGLV1-44"
"114","IGLV1-47"
"115","IGLV1-50"
"116","IGLV1-51"
"117","IGLV10-54"
"118","IGLV11-55"
"119","IGLV2-11"
"120","IGLV2-14"
"121","IGLV2-18"
"122","IGLV2-23"
"123","IGLV2-33"
"124","IGLV2-8"
"125","IGLV3-1"
"126","IGLV3-10"
"127","IGLV3-12"
"128","IGLV3-16"
"129","IGLV3-19"
"130","IGLV3-21"
"131","IGLV3-22"
"132","IGLV3-25"
"133","IGLV3-27"
"134","IGLV3-32"
"135","IGLV3-9"
"136","IGLV4-3"
"137","IGLV4-60"
"138","IGLV4-69"
"139","IGLV5-37"
"140","IGLV5-45"
"141","IGLV5-48"
"142","IGLV5-52"
"143","IGLV6-57"
"144","IGLV7-43"
"145","IGLV7-46"
"146","IGLV8-61"
"147","IGLV9-49"
"148","PYDC2"
"149","TRAC"
"150","TRAJ3"
"151","TRAJ31"
"152","TRAJ42"
"153","TRAV1-1"
"154","TRAV1-2"
"155","TRAV10"
"156","TRAV12-1"
"157","TRAV12-2"
"158","TRAV12-3"
"159","TRAV13-1"
"160","TRAV13-2"
"161","TRAV14DV4"
"162","TRAV16"
"163","TRAV17"
"164","TRAV18"
"165","TRAV19"
"166","TRAV2"
"167","TRAV20"
"168","TRAV21"
"169","TRAV22"
"170","TRAV23DV6"
"171","TRAV24"
"172","TRAV25"
"173","TRAV26-1"
"174","TRAV26-2"
"175","TRAV27"
"176","TRAV29DV5"
"177","TRAV3"
"178","TRAV30"
"179","TRAV34"
"180","TRAV35"
"181","TRAV36DV7"
"182","TRAV38-1"
"183","TRAV38-2DV8"
"184","TRAV39"
"185","TRAV4"
"186","TRAV40"
"187","TRAV41"
"188","TRAV5"
"189","TRAV6"
"190","TRAV7"
"191","TRAV8-1"
"192","TRAV8-2"
"193","TRAV8-3"
"194","TRAV8-4"
"195","TRAV8-6"
"196","TRAV9-1"
"197","TRAV9-2"
"198","TRBC1"
"199","TRBC2"
"200","TRBJ1-1"
"201","TRBJ1-2"
"202","TRBJ1-3"
"203","TRBJ1-4"
"204","TRBJ1-5"
