"gene_id","r_rb","p_value","padj","trajectory"
"TSPAN6",-0.292600608700489,0.0762955943718361,0.202930549978698,"NS"
"TNMD",0.458851112401398,0.00396262661172838,0.0251449695854006,"NS"
"DPM1",-0.595556275404203,8.77564005514984e-05,0.00216383963877331,"NS"
"SCYL3",0.261613261024121,0.114657990782778,0.267488952127372,"NS"
"FIRRM",-0.100361721102375,0.551093617653923,0.734467467247474,"NS"
"FGR",0.642913545259597,1.50440169215439e-05,0.000761414406679864,"Fun-CIM"
"CFH",0.606983433078258,5.88363100621235e-05,0.0016752906805845,"Fun-CIM"
"FUCA2",0.0632266950043445,0.707678867996399,0.842666411399326,"NS"
"GCLC",0.0214932131648539,0.898658973793715,0.957920572500158,"NS"
"NFYA",-0.124901037920983,0.457530863143433,0.661865738313612,"NS"
"STPG1",-0.320798507176053,0.0508681497602949,0.153343769781818,"NS"
"NIPAL3",0.182242017123444,0.276206346752609,0.484971489077782,"NS"
"LAS1L",-0.44152061555353,0.00579343732557558,0.0331779297145282,"NS"
"ENPP4",0.221464275832042,0.183953700458073,0.369830322806328,"NS"
"SEMA3F",-0.275227615467496,0.0963255334445366,0.237485489517844,"NS"
"CFTR",0.386754291222329,0.0170591334859728,0.0708625619535128,"NS"
"ANKIB1",0.191636807717669,0.251773301823765,0.457189963530799,"NS"
"CYP51A1",-0.39392523197954,0.0149666998793035,0.0645823068437229,"NS"
"KRIT1",0.253688342757547,0.12647485276246,0.28543865852812,"NS"
"RAD52",0.271903138173724,0.100579802904556,0.245117648917034,"NS"
"MYH16",0.0410301364432153,0.807855206998438,0.90599715427727,"NS"
"BAD",-0.604461046218693,6.43496347316995e-05,0.00178191213662806,"Dys-CIM"
"LAP3",0.359080421864968,0.0277040995734608,0.0998990848092957,"NS"
"CD99",0.307320487406115,0.0620088364416795,0.175101300555282,"NS"
"HS3ST1",0.230307427053359,0.166609667565972,0.345466443891572,"NS"
"WNT16",0.252690125656381,0.128025350139934,0.287557522832619,"NS"
"HECW1",0.0460200872237794,0.785006910217636,0.891578200635746,"NS"
"MAD1L1",-0.193925292601207,0.246047419812726,0.450526156617451,"NS"
"LASP1",0.094174647955427,0.576023494361969,0.751929270502632,"NS"
"SNX11",0.222707796938515,0.181440443666392,0.366449071714195,"NS"
"TMEM176A",0.434155070472229,0.00676920570573889,0.0370816457562434,"NS"
"M6PR",0.064913770463275,0.700236203488026,0.837907076979224,"NS"
"KLHL13",0.419305308063986,0.00917221158439195,0.0457658745941972,"NS"
"CYP26B1",0.488819036212283,0.00195888896675803,0.0153629064649795,"NS"
"ICA1",-0.452490325757925,0.00456568040163619,0.0278719154512782,"NS"
"DBNDD1",-0.564591073212505,0.000241134883633131,0.00381322144677746,"NS"
"ALS2",-0.0681081834707301,0.686219499361434,0.828397131440257,"NS"
"CASP10",0.691523008182825,1.75086471776251e-06,0.000245306582576051,"Fun-CIM"
"CFLAR",0.591686518018227,0.000100137729128025,0.00230791190162699,"NS"
"TFPI",0.593124747358877,9.53630797312863e-05,0.00224633875957317,"NS"
"NDUFAF7",0.111570603712633,0.507267577934177,0.703760137533543,"NS"
"RBM5",0.467218191841476,0.00327548520997073,0.0222031929196222,"NS"
"MTMR7",0.406553035547093,0.0117839649387057,0.0544802365042083,"NS"
"SLC7A2",0.128354642205857,0.44508738848296,0.650911098629079,"NS"
"ARF5",-0.459939047100201,0.00386673487903723,0.0247817746192265,"NS"
"SARM1",0.418629701434922,0.00929696978076209,0.046257453594027,"NS"
"POLDIP2",-0.456384394014091,0.00418772988650478,0.026165272734464,"NS"
"PLXND1",0.624218870599388,3.12412626012422e-05,0.00118025027069978,"Fun-CIM"
"AK2",-0.400100445165859,0.0133299159586903,0.0593337397166515,"NS"
"CD38",0.677821012456137,3.34313466421591e-06,0.000356940863868301,"Fun-CIM"
"FKBP4",-0.518748228057254,0.00090728202379135,0.00918395143317215,"NS"
"KDM1A",-0.277959958104939,0.0929333239062563,0.231960523898155,"NS"
"RBM6",0.489090964848158,0.00194583704306911,0.0153261833518876,"NS"
"CAMKK1",-0.127183342384774,0.449286790878277,0.654847492099265,"NS"
"RECQL",0.0880065534882152,0.601371899239941,0.769901597598802,"NS"
