gene_id,H_value,p_value.x,stat_test_adj_p,cluster1_mean,cluster1_sd,cluster1_sem,cluster1_penetrance,cluster2_mean,cluster2_sd,cluster2_sem,cluster2_penetrance,cluster1_cluster2_differential,cluster2_cluster1_differential,cluster1_cluster2_sd,cluster2_cluster1_sd,limma_test,r_rb,p_value.y,padj,trajectory
FGR,17,1.50440169215439e-05,0.000761414406679864,-0.953150009866794,0.794060801736497,0.239418340008068,0.0909090909090909,0.726796905292732,1.00149140554195,0.200298281108391,0.88,-1.67994691515953,1.67994691515953,1.27809138649347,1.27809138649347,limma_2grp(mod_t),0.642913545259597,1.50440169215439e-05,0.000761414406679864,Fun-CIM
CFH,41,5.88363100621235e-05,0.0016752906805845,-0.77553215058722,1.27964808451417,0.385828414548227,0.181818181818182,0.902697434767781,0.916045699247961,0.183209139849592,0.84,-1.678229585355,1.678229585355,1.57373407642825,1.57373407642825,limma_2grp(mod_t),0.606983433078258,5.88363100621235e-05,0.0016752906805845,Fun-CIM
CASP10,21,1.75086471776251e-06,0.000245306582576051,-0.877058969723331,0.818682050897712,0.24684192594785,0.0909090909090909,0.494082710647042,0.606800110489812,0.121360022097962,0.72,-1.37114168037037,1.37114168037037,1.01904203767682,1.01904203767682,limma_2grp(mod_t),0.691523008182825,1.75086471776251e-06,0.000245306582576051,Fun-CIM
PLXND1,27,3.12412626012422e-05,0.00118025027069978,-0.619688895258376,0.532534606446203,0.160565225223785,0.181818181818182,0.341119826410344,0.581372180831724,0.116274436166345,0.76,-0.96080872166872,0.96080872166872,0.788407711598414,0.788407711598414,limma_2grp(mod_t),0.624218870599388,3.12412626012422e-05,0.00118025027069978,Fun-CIM
CD38,35,3.34313466421591e-06,0.000356940863868301,-1.30073344849606,1.30592165268511,0.393750193414304,0.181818181818182,0.391542764820124,0.59228318352872,0.118456636705744,0.72,-1.69227621331619,1.69227621331619,1.4339563216649,1.4339563216649,limma_2grp(mod_t),0.677821012456137,3.34313466421591e-06,0.000356940863868301,Fun-CIM
SKAP2,42,4.50323692290446e-05,0.00145008341462659,-0.302314743262412,0.731846694523175,0.220660080890474,0.454545454545455,0.576821636969311,0.412992085501101,0.0825984171002202,0.92,-0.879136380231723,0.879136380231723,0.840334485173045,0.840334485173045,limma_2grp(mod_t),0.614387483196342,4.50323692290446e-05,0.00145008341462659,Fun-CIM
MYCBP2,17,2.95696347216893e-06,0.000336330748479601,-0.688117224679213,0.713070079857793,0.214998718556097,0.272727272727273,0.531036624555251,0.573238467248755,0.114647693449751,0.8,-1.21915384923446,1.21915384923446,0.914915995664139,0.914915995664139,limma_2grp(mod_t),0.680477928058707,2.95696347216893e-06,0.000336330748479601,Fun-CIM
ITGAL,24,5.13612853046468e-05,0.00155007040214709,-1.32575354082026,0.508458393137206,0.153305973776648,0,0.210423803483266,1.06536929033965,0.21307385806793,0.52,-1.53617734430353,1.53617734430353,1.18048365611324,1.18048365611324,limma_2grp(mod_t),0.610769204024626,5.13612853046468e-05,0.00155007040214709,Fun-CIM
AASS,16,1.13222376187154e-06,0.000202994287340291,-0.704024021948092,0.588021898273077,0.177295273189484,0.181818181818182,0.569975817702273,0.61966046799236,0.123932093598472,0.8,-1.27399983965036,1.27399983965036,0.854253386555291,0.854253386555291,limma_2grp(mod_t),0.700357363978427,1.13222376187154e-06,0.000202994287340291,Fun-CIM
IFFO1,10,7.70162296889779e-07,0.000164598788819043,-0.897416338886308,0.620530813490989,0.187097079927601,0,0.643768183516679,0.764014691977233,0.152802938395447,0.84,-1.54118452240299,1.54118452240299,0.984264669714836,0.984264669714836,limma_2grp(mod_t),0.707912577428113,7.70162296889779e-07,0.000164598788819043,Fun-CIM
STAB1,23,3.93001664578383e-05,0.00134102309932585,-0.9758313697023,0.821355880598697,0.247648115936166,0.0909090909090909,0.532255230248606,0.940525238454323,0.188105047690865,0.8,-1.50808659995091,1.50808659995091,1.24868459058468,1.24868459058468,limma_2grp(mod_t),0.61808725197214,3.93001664578383e-05,0.00134102309932585,Fun-CIM
CD4,29,6.15296993845685e-05,0.00173101372364353,-0.946340407888577,0.749875605433781,0.226096002060404,0.0909090909090909,0.626948535238937,1.05700299074293,0.211400598148587,0.76,-1.57328894312751,1.57328894312751,1.29598176918666,1.29598176918666,limma_2grp(mod_t),0.6057256268677,6.15296993845685e-05,0.00173101372364353,Fun-CIM
BTK,26,4.99057334151881e-05,0.00152573077475682,-1.09102121134358,0.638165501723048,0.192414138487659,0,0.314656497561177,0.934128078729003,0.186825615745801,0.64,-1.40567770890476,1.40567770890476,1.13130476665634,1.13130476665634,limma_2grp(mod_t),0.611564028937373,4.99057334151881e-05,0.00152573077475682,Fun-CIM
ALOX5,21,4.08717586133482e-07,0.000135327644856252,-1.12433687449008,0.771302005440088,0.232556304735767,0.0909090909090909,0.582557349524266,0.780799156431533,0.156159831286307,0.84,-1.70689422401435,1.70689422401435,1.09752180218896,1.09752180218896,limma_2grp(mod_t),0.719843899455806,4.08717586133482e-07,0.000135327644856252,Fun-CIM
CALCOCO1,25,5.85315329742177e-06,0.000483914318701247,-0.254783481943015,0.554100820273667,0.167067683352355,0.454545454545455,0.569445460168606,0.363294135992555,0.0726588271985109,0.96,-0.824228942111621,0.824228942111621,0.662578560077616,0.662578560077616,limma_2grp(mod_t),0.665344754638599,5.85315329742177e-06,0.000483914318701247,Fun-CIM
CD74,32,6.58365532102387e-05,0.00179028035953189,-1.04727740415974,0.997789124497326,0.300844740532258,0.0909090909090909,0.560288890291444,1.00674994472793,0.201349988945587,0.68,-1.60756629445118,1.60756629445118,1.41743733130422,1.41743733130422,limma_2grp(mod_t),0.603814313190645,6.58365532102387e-05,0.00179028035953189,Fun-CIM
HGF,11,1.06265582730794e-07,8.9378769538389e-05,-0.844951619332329,0.869857620753371,0.262271940824563,0.181818181818182,0.914503766248885,0.684031342137823,0.136806268427565,0.88,-1.75945538558121,1.75945538558121,1.10659439606822,1.10659439606822,limma_2grp(mod_t),0.74334427611705,1.06265582730794e-07,8.9378769538389e-05,Fun-CIM
FAS,41,4.5319503058892e-05,0.00145490046542325,-0.446688428497526,1.10279431295014,0.332504996090309,0.454545454545455,0.930975489355232,0.684981023505487,0.136996204701097,0.88,-1.37766391785276,1.37766391785276,1.29821196236894,1.29821196236894,limma_2grp(mod_t),0.614213622100356,4.5319503058892e-05,0.00145490046542325,Fun-CIM
SLAMF7,12,7.62849834184219e-07,0.000164598788819043,-1.55548039862074,0.969135629177512,0.292205386631529,0.0909090909090909,0.600467519451769,1.03603909327033,0.207207818654067,0.64,-2.15594791807251,2.15594791807251,1.41866164765447,1.41866164765447,limma_2grp(mod_t),0.708096696304097,7.62849834184219e-07,0.000164598788819043,Fun-CIM
