"","Fun-CIM","Dys-CIM"
"CIBERSORTx: B cells memory",-0.585827420399936,-1.64736523062323
"CIBERSORTx: B cells naive",-0.796790595723049,-0.414932955111831
"CIBERSORTx: Dendritic cells activated",0.499784642113268,0.345431997663273
"CIBERSORTx: Dendritic cells resting",-0.0076539026046917,-0.408453431014553
"CIBERSORTx: Eosinophils",0.00573753594982977,0.135284217986534
"CIBERSORTx: Macrophages M0",0.66317976725813,0.651145000867223
"CIBERSORTx: Macrophages M1",-1.58009598286693,-1.10637542706852
"CIBERSORTx: Macrophages M2",2.0542649756522,2.33142849752419
"CIBERSORTx: Mast cells activated",0.651453952496991,1.37424110357977
"CIBERSORTx: Mast cells resting",1.39445756875676,1.47341230246439
"CIBERSORTx: Monocytes",0.423890170228942,0.233839955807355
"CIBERSORTx: Neutrophils",0.137499647816319,0.611029216840922
"CIBERSORTx: NK cells activated",0.891593822801969,0.641690376485478
"CIBERSORTx: NK cells resting",-0.414763589534084,0.54974086464405
"CIBERSORTx: Plasma cells",0.179431909043748,-0.213920661562145
"CIBERSORTx: T cells CD4+ (general)",-0.320360363403704,-1.87468353015886
"CIBERSORTx: T cells CD8+ (total)",-0.587266478744071,-1.27980624010706
"CIBERSORTx: T cells follicular helper",-0.658846384750367,0.262994745249272
"CIBERSORTx: T cells gamma delta",-0.0419636616711863,-1.27825957584081
"CIBERSORTx: T cells regulatory (Tregs)",-1.90772561242015,-0.38644122762544
"quantiseq: B cell",-0.0595522738361913,-0.61458475361475
"quantiseq: Macrophage M1",0.584590992304577,-0.310900610751947
"quantiseq: Macrophage M2",1.26291907383893,-0.856041049059155
"quantiseq: Monocyte",0.0277131679642218,-0.370280091962529
"quantiseq: Myeloid dendritic cell",0.179848518848631,-0.0723092518014063
"quantiseq: Neutrophil",0.452330732574527,0.198608904341907
"quantiseq: NK cell",0.187849958886956,-0.00705644574406336
"quantiseq: T cell CD4+ (non-regulatory)",-0.514515859160748,0.460140996926644
"quantiseq: T cell CD8+",0.411577114273422,-0.72458606944224
"quantiseq: T cell regulatory (Tregs)",0.156280632738841,-0.631011955935859
"quantiseq: uncharacterized cell",-2.68904205843316,2.9280203270434
"epic: B cell",-0.0279709407527685,-0.138930775845412
"epic: Cancer associated fibroblast",2.59871435233418,0.36994606212864
"epic: Endothelial cell",0.194318058371738,-0.100088953263971
"epic: Macrophage",0.14117889164413,-0.233326670338684
"epic: NK cell",0.00577225897217573,-0.00384306638125609
"epic: T cell CD4+",-0.0705637857821773,-0.193841667274088
"epic: T cell CD8+",-0.0526967937502124,-0.0736168258558636
"epic: uncharacterized cell",-2.78875204103706,0.373701896830634
"mcp_counter: B cell",-0.256970591974169,-0.273032352169657
"mcp_counter: Cancer associated fibroblast",4.38288077866582,0.698955035785644
"mcp_counter: cytotoxicity score",-0.244976465989637,-0.25904038316734
"mcp_counter: Endothelial cell",-0.227416186404578,-0.256926813801057
"mcp_counter: Macrophage/Monocyte",-0.212644137607188,-0.302103576539922
"mcp_counter: Monocyte",-0.212644137607188,-0.302103576539922
"mcp_counter: Myeloid dendritic cell",-0.239273372909213,-0.270125026714572
"mcp_counter: Neutrophil",-0.240280010054135,-0.254228214061705
"mcp_counter: NK cell",-0.251336239621249,-0.252204373334876
"mcp_counter: T cell",-0.247112062102967,-0.267396179065303
"mcp_counter: T cell CD8+",-0.241637794832071,-0.270384319954713
"estimate: ESTIMATEScore",1.25759920402101,-1.71726048926181
"estimate: ImmuneScore",0.588934737945535,-0.971147785344257
"estimate: StromalScore",0.898472014571055,-0.516305155421974
"estimate: TumorPurity",0.229691789486824,0.230015684003609
"xcell: B cell",-0.0208566704349133,-2.00462175982458
"xcell: B cell memory",0.10043016864119,-0.490769929482729
"xcell: B cell naive",0.145992805727946,0.103220268382647
"xcell: B cell plasma",0.0646095363736395,-0.456329786049441
"xcell: Cancer associated fibroblast",2.00145616407394,0.620571593519705
"xcell: Class-switched memory B cell",0.0780742259841586,-0.502144939923866
"xcell: Common lymphoid progenitor",0.0367320030761428,0.234747277628899
"xcell: Common myeloid progenitor",0.247279444722475,0.193392423337167
"xcell: Endothelial cell",0.856870553274043,-0.0552092586074515
"xcell: Eosinophil",0.213962489662143,0.121940113522521
"xcell: Granulocyte-monocyte progenitor",0.183803343770016,0.15174715535857
"xcell: Hematopoietic stem cell",2.14605736748914,0.148644308472486
"xcell: immune score",0.787155827847614,-3.17082989204807
"xcell: Macrophage",0.619389758359553,-0.634982549974067
"xcell: Macrophage M1",0.358708910788347,-0.482867331271271
"xcell: Macrophage M2",0.521927503548912,-0.105729347794114
"xcell: Mast cell",0.254718139979394,0.0799792782511735
"xcell: microenvironment score",2.1101165612558,-3.19102018259506
"xcell: Monocyte",0.263825302236933,0.0650080798115489
"xcell: Myeloid dendritic cell",0.325494723985735,-0.498029579460323
"xcell: Myeloid dendritic cell activated",0.418125983340416,-1.49780819692608
"xcell: Neutrophil",0.176949738334741,0.196134002827845
"xcell: NK cell",0.17284286096664,0.139761543589809
"xcell: Plasmacytoid dendritic cell",0.294270613848791,-0.286050735997005
"xcell: stroma score",1.49580359437483,0.152652570419652
"xcell: T cell CD4+ (aggregated)",-1.02946597634124,-0.674975833535177
"xcell: T cell CD8+ (aggregated)",0.979579798492051,-3.04761086874469
"xcell: T cell gamma delta",0.186390021878615,0.141852933747877
"xcell: T cell NK",0.0816333674480384,0.325020714517028
"xcell: T cell regulatory (Tregs)",0.181574759908355,0.170855006233549
"timer: B cell",-0.0971158834080592,-1.63633118702557
"timer: Macrophage",1.79763370814386,-0.624322574516151
"timer: Myeloid dendritic cell",1.34970945824821,-1.30218043032664
"timer: Neutrophil",0.112440434084916,0.0803767664563068
"timer: T cell CD4+",0.198415451761606,-0.256297742643505
"timer: T cell CD8+",0.888426973452613,-0.510754974227578
"consensus_tme: B cell",0.569470062588616,-0.954135182018647
"consensus_tme: Cancer associated fibroblast",1.29124195193048,-0.0768043868671919
"consensus_tme: cytotoxicity score",0.732150299142672,-0.926489312852431
"consensus_tme: Endothelial cell",1.04206457424268,-0.61882340376513
"consensus_tme: Eosinophil",1.54910255654745,-0.979220571182813
"consensus_tme: immune score",0.8541102490019,-0.963878237905011
"consensus_tme: Macrophage",1.12528696138982,-0.991704681273913
"consensus_tme: Macrophage M1",0.9051894251281,-1.07046649482358
"consensus_tme: Macrophage M2",1.15626958230097,-0.984660267040565
"consensus_tme: Mast cell",1.08860355503046,-1.02544249381091
"consensus_tme: Monocyte",1.0605920466106,-0.911289618780645
"consensus_tme: Myeloid dendritic cell",0.97090812055527,-0.990597340615271
"consensus_tme: Neutrophil",1.05044677887247,-0.451455828712182
"consensus_tme: NK cell",0.637077033436214,-1.03999060590729
"consensus_tme: T cell CD4+",0.797416757826504,-1.23526427912953
"consensus_tme: T cell CD8+",0.791031186568573,-1.21031162027319
"consensus_tme: T cell gamma delta",0.659357575616787,-1.27753191157254
"consensus_tme: T cell regulatory (Tregs)",0.785489151202829,-1.35774163146156
