"Method","Cell_Type","cluster","n_candidates","n_pairs","n_dropped","n_zero_delta","n_nonzero_delta","mean_biopsy","sd_biopsy","mean_surgery","sd_surgery","mean_delta","sd_delta","p_value","note","FDR"
"CIBERSORTx","B cells memory","Dys-CIM",11,11,0,1,10,0.0226813920537093,0.0233969602510068,0.00418292487386878,0.00708047284652067,-0.0184984671798405,0.0251325836060654,0.0190588916017305,NA,0.190588916017305
"CIBERSORTx","B cells naive","Dys-CIM",11,11,0,1,10,0.0204770093036824,0.0344391769101266,0.0158176760184542,0.0115400328384876,-0.0046593332852282,0.0289977396089921,1,NA,1
"CIBERSORTx","Dendritic cells activated","Dys-CIM",11,11,0,5,6,0.00324231153983111,0.00724862540178718,0.0071212100092515,0.0148493055513194,0.00387889846942039,0.0178366979542045,0.674986713970489,NA,0.899982285293986
"CIBERSORTx","Dendritic cells resting","Dys-CIM",11,11,0,0,11,0.0206559146500413,0.0284500921115006,0.0160693407393746,0.013432280737696,-0.00458657391066671,0.0294800143441757,0.755657737671463,NA,0.926594904542836
"CIBERSORTx","Eosinophils","Dys-CIM",11,11,0,6,5,0.0000488238858387372,0.000161930510134238,0.00156794704071286,0.00329786875094455,0.00151912315487412,0.00332724765784968,0.105645429201877,NA,0.399074705068856
"CIBERSORTx","Macrophages M0","Dys-CIM",11,11,0,0,11,0.0739402078378143,0.0469827469906172,0.0812519952932911,0.0473476902020694,0.00731178745547679,0.0606838951596649,0.893903721815722,NA,0.940951286121812
"CIBERSORTx","Macrophages M1","Dys-CIM",11,11,0,0,11,0.101119985216593,0.0393632045240564,0.0886963592071588,0.0225094276104773,-0.0124236260094346,0.0366578780001866,0.306556273379373,NA,0.681236163065273
"CIBERSORTx","Macrophages M2","Dys-CIM",11,11,0,0,11,0.272239793624829,0.0897817003240465,0.298419691525964,0.057712264795928,0.0261798979011352,0.0804774823846835,0.0829604137452953,NA,0.399074705068856
"CIBERSORTx","Mast cells activated","Dys-CIM",11,11,0,5,6,0.00326732802525327,0.00587462932236714,0.0186988507253777,0.0256387808830938,0.0154315227001245,0.0231265129458954,0.0934924836898357,NA,0.399074705068856
"CIBERSORTx","Mast cells resting","Dys-CIM",11,11,0,0,11,0.0367337213184849,0.0375405933416907,0.053278849631773,0.0587166845544801,0.0165451283132881,0.0656892296418067,0.624834867127387,NA,0.892621238753411
"CIBERSORTx","Monocytes","Dys-CIM",11,11,0,0,11,0.0194499196801955,0.0215869220812097,0.0220757373601044,0.0223952458759907,0.00262581767990892,0.0116640766529578,0.119722411520657,NA,0.399074705068856
"CIBERSORTx","NK cells activated","Dys-CIM",11,11,0,0,11,0.0352836208235052,0.025393604618729,0.042489241136704,0.0293183033775599,0.00720562031319877,0.0223373735537829,0.504879873834092,NA,0.841466456390153
"CIBERSORTx","NK cells resting","Dys-CIM",11,11,0,5,6,0.00313765641306731,0.00385226518394863,0.00931076432684054,0.0201048897010859,0.00617310791377322,0.0207443706258463,0.833935414088552,NA,0.926594904542836
"CIBERSORTx","Neutrophils","Dys-CIM",11,11,0,2,9,0.00196312996613605,0.00429942853884294,0.0088244523393048,0.00912457083834629,0.00686132237316875,0.00868915024223328,0.00915168885265007,NA,0.183033777053001
"CIBERSORTx","Plasma cells","Dys-CIM",11,11,0,2,9,0.00560769977956455,0.00922874059947654,0.00320555830939402,0.00271224848433052,-0.00240214147017053,0.00935218686882137,0.812703686128436,NA,0.926594904542836
"CIBERSORTx","T cells CD4+ (general)","Dys-CIM",11,11,0,0,11,0.14456721707441,0.0462097034911995,0.1235161646966,0.0222888857693479,-0.0210510523778091,0.0425514244495541,0.142368182702515,NA,0.406766236292901
"CIBERSORTx","T cells CD8+ (total)","Dys-CIM",11,11,0,0,11,0.120083996038496,0.0304767576438416,0.105712894057535,0.0396909190400078,-0.0143711019809608,0.0424920563541908,0.398304593395588,NA,0.724190169810159
"CIBERSORTx","T cells follicular helper","Dys-CIM",11,11,0,0,11,0.074103393514171,0.0291139262836468,0.0770565939174742,0.0256080558234649,0.0029532004033032,0.0264118151074794,0.563317799720071,NA,0.866642768800109
"CIBERSORTx","T cells gamma delta","Dys-CIM",11,11,0,4,7,0.0212611900715018,0.0329275626461239,0.0069074557741824,0.0123504351969726,-0.0143537342973194,0.0325538954734972,0.352542137499713,NA,0.705084274999426
"CIBERSORTx","T cells regulatory (Tregs)","Dys-CIM",11,11,0,1,10,0.0201356891828751,0.0148367914938519,0.0157962930166333,0.0161680592413847,-0.0043393961662418,0.0136814914553723,0.262192602406773,NA,0.655481506016933
"CIBERSORTx","B cells memory","Fun-CIM",25,25,0,7,18,0.00927810378045144,0.0180050731700763,0.00269977548514133,0.00751126051386824,-0.00657832829531011,0.0146840538259942,0.01473530940234,NA,0.0982353960155999
"CIBERSORTx","B cells naive","Fun-CIM",25,25,0,0,25,0.0357635052050311,0.0464627043533213,0.0268162454169802,0.0205971068743716,-0.00894725978805089,0.0392337550018483,0.892979885505748,NA,1
"CIBERSORTx","Dendritic cells activated","Fun-CIM",25,25,0,15,10,0.00117704195878447,0.00332308636123582,0.00678918529364347,0.0188906905975039,0.00561214333485901,0.0165323928482685,0.0323129112432441,NA,0.129251644972976
"CIBERSORTx","Dendritic cells resting","Fun-CIM",25,25,0,4,21,0.00696872336517422,0.00674258249719028,0.00688277674963407,0.00807304483973876,-0.0000859466155401473,0.00721084622943516,0.972272990639196,NA,1
"CIBERSORTx","Eosinophils","Fun-CIM",25,25,0,24,1,0,0,0.0000644274982184324,0.000322137491092162,0.0000644274982184324,0.000322137491092162,1,NA,1
"CIBERSORTx","Macrophages M0","Fun-CIM",25,25,0,5,20,0.0696073007973797,0.0674059173515208,0.0770542281277068,0.0910349295853121,0.00744692733032714,0.0838509654830126,0.925640069588623,NA,1
"CIBERSORTx","Macrophages M1","Fun-CIM",25,25,0,0,25,0.0593985206610814,0.0348877676767062,0.0416554281539002,0.0273395594568114,-0.0177430925071812,0.030568695838412,0.00558137716997927,NA,0.0558137716997927
"CIBERSORTx","Macrophages M2","Fun-CIM",25,25,0,0,25,0.315300091737066,0.0942260681573959,0.33836768629618,0.0885749287584997,0.0230675945591141,0.106999111183206,0.196519347899595,NA,0.4367096619991
"CIBERSORTx","Mast cells activated","Fun-CIM",25,25,0,9,16,0.0028783599498844,0.00605973463702465,0.010193616661284,0.0174709648091098,0.00731525671139963,0.0186731919473753,0.127157193740094,NA,0.347263087005207
"CIBERSORTx","Mast cells resting","Fun-CIM",25,25,0,0,25,0.115316253558759,0.102848572729529,0.130974789437636,0.104405166718872,0.0156585358788763,0.0838387733994423,0.0672992995238676,NA,0.224330998412892
"CIBERSORTx","Monocytes","Fun-CIM",25,25,0,0,25,0.0171853496216637,0.0219126054662991,0.0219452645792415,0.0215657260343852,0.0047599149575778,0.028442014945881,0.435214053277576,NA,0.725356755462626
"CIBERSORTx","NK cells activated","Fun-CIM",25,25,0,0,25,0.0163454533619229,0.013264852024408,0.0263572702694651,0.0199683515565911,0.0100118169075422,0.027617901611791,0.138905234802083,NA,0.347263087005207
"CIBERSORTx","NK cells resting","Fun-CIM",25,25,0,8,17,0.00946047577706959,0.0107861728407076,0.00480304431878486,0.00820673065901494,-0.00465743145828472,0.0097392055153984,0.0294393382970782,NA,0.129251644972976
"CIBERSORTx","Neutrophils","Fun-CIM",25,25,0,1,24,0.00447276686267389,0.00419775261096158,0.00601676735211457,0.00850051819753787,0.00154400048944068,0.00753873342326458,0.63733471669376,NA,0.849779622258347
"CIBERSORTx","Plasma cells","Fun-CIM",25,25,0,2,23,0.00767463120229574,0.0137027939627274,0.0096894942203808,0.0137958441055679,0.00201486301808506,0.0113290683222978,0.637332429353867,NA,0.849779622258347
"CIBERSORTx","T cells CD4+ (general)","Fun-CIM",25,25,0,0,25,0.148095410457504,0.0598332176664546,0.144498044458767,0.0616450770085546,-0.00359736599873679,0.0628845192226284,0.553882691983272,NA,0.849779622258347
"CIBERSORTx","T cells CD8+ (total)","Fun-CIM",25,25,0,0,25,0.0866464829853349,0.0337086565182671,0.0800519953265431,0.0441522604157217,-0.00659448765879187,0.0367216790081313,0.294008063111738,NA,0.557385423736757
"CIBERSORTx","T cells follicular helper","Fun-CIM",25,25,0,0,25,0.0632906849225217,0.0313849169295335,0.0558924176783779,0.023894497913854,-0.0073982672441438,0.0335373516316114,0.306561983055216,NA,0.557385423736757
"CIBERSORTx","T cells gamma delta","Fun-CIM",25,25,0,18,7,0.00422033017195718,0.0112047352744932,0.00374911504386037,0.011575761546379,-0.000471215128096816,0.0148542706148294,0.799846105662473,NA,0.999807632078092
"CIBERSORTx","T cells regulatory (Tregs)","Fun-CIM",25,25,0,0,25,0.0269205136234445,0.0185339785919052,0.00549842763214043,0.0087999836782595,-0.0214220859913041,0.0176285712329435,0.0000212540790317628,NA,0.000425081580635256
"consensus_tme","B cell","Dys-CIM",11,11,0,0,11,0.0437145632248607,0.119424011694826,-0.0910393006189557,0.0530037095226772,-0.134753863843816,0.0954988778314227,0.00385729282994253,NA,0.00834434571108664
"consensus_tme","Cancer associated fibroblast","Dys-CIM",11,11,0,0,11,0.235818751170768,0.0774916797303338,0.18651151966032,0.161161180352876,-0.0493072315104478,0.151924166497155,0.398304593395588,NA,0.398304593395588
"consensus_tme","Endothelial cell","Dys-CIM",11,11,0,0,11,0.179386855029594,0.120469272468514,0.0772902994574319,0.130005549099908,-0.102096555572163,0.0745155937815524,0.00385729282994253,NA,0.00834434571108664
"consensus_tme","Eosinophil","Dys-CIM",11,11,0,0,11,0.199856922258674,0.129563237605627,0.0626598955432293,0.0609940524690024,-0.137197026715445,0.127741445258282,0.011278190116074,NA,0.0119416130640784
"consensus_tme","Macrophage","Dys-CIM",11,11,0,0,11,0.289918338777707,0.117015074503723,0.151505436396141,0.0703578874624791,-0.138412902381566,0.0955387491761846,0.00509932237899739,NA,0.00834434571108664
"consensus_tme","Macrophage M1","Dys-CIM",11,11,0,0,11,0.252351441757264,0.127907162152425,0.106267622360724,0.0763294253227578,-0.146083819396539,0.109361802633154,0.00669228378824031,NA,0.0100384256823605
"consensus_tme","Macrophage M2","Dys-CIM",11,11,0,0,11,0.324724829679866,0.128040372748278,0.18699800998949,0.0652516377549755,-0.137726819690376,0.108469662945213,0.00871925545288926,NA,0.0104631065434671
"consensus_tme","Mast cell","Dys-CIM",11,11,0,0,11,0.110026433617789,0.123157412150382,-0.0316723245430477,0.0789293145778827,-0.141698758160837,0.122086547049217,0.011278190116074,NA,0.0119416130640784
"consensus_tme","Monocyte","Dys-CIM",11,11,0,0,11,0.196979924822643,0.114403392650641,0.0663989557516375,0.0610479074502993,-0.130580969071005,0.0987516552095868,0.00871925545288926,NA,0.0104631065434671
"consensus_tme","Myeloid dendritic cell","Dys-CIM",11,11,0,0,11,0.231645802923711,0.116390486667437,0.0933407487228423,0.0673358165035492,-0.138305054200869,0.106946403736214,0.00509932237899739,NA,0.00834434571108664
"consensus_tme","NK cell","Dys-CIM",11,11,0,0,11,0.0322786050773546,0.110757533889851,-0.110837049871232,0.0940871205912265,-0.143115654948586,0.10797292742714,0.00385729282994253,NA,0.00834434571108664
