"Method","Cell_Type","Timepoint","test","p_value","FDR","n_clusters","note","Fun-CIM_n","Dys-CIM_n","Fun-CIM_mean","Dys-CIM_mean","Fun-CIM_sd","Dys-CIM_sd"
"CIBERSORTx","B cells memory","Biopsy","wilcox_rank_sum",0.0147401744794541,0.0455382125879357,2,NA,25,11,0.00927810378045144,0.0226813920537093,0.0180050731700763,0.0233969602510068
"CIBERSORTx","B cells naive","Biopsy","wilcox_rank_sum",0.0426941652516305,0.107366025590989,2,NA,25,11,0.0357635052050311,0.0204770093036824,0.0464627043533213,0.0344391769101266
"CIBERSORTx","Dendritic cells activated","Biopsy","wilcox_rank_sum",0.398176907442855,0.527645472439612,2,NA,25,11,0.00117704195878447,0.00324231153983111,0.00332308636123582,0.00724862540178718
"CIBERSORTx","Dendritic cells resting","Biopsy","wilcox_rank_sum",0.370187261592862,0.505246280458093,2,NA,25,11,0.00696872336517422,0.0206559146500413,0.00674258249719028,0.0284500921115006
"CIBERSORTx","Eosinophils","Biopsy","wilcox_rank_sum",0.147825670349013,0.266343612604569,2,NA,25,11,0,0.0000488238858387372,0,0.000161930510134238
"CIBERSORTx","Macrophages M0","Biopsy","wilcox_rank_sum",0.581831806384809,0.71107133899184,2,NA,25,11,0.0696073007973797,0.0739402078378143,0.0674059173515208,0.0469827469906172
"CIBERSORTx","Macrophages M1","Biopsy","wilcox_rank_sum",0.00436681559003819,0.0209607148321833,2,NA,25,11,0.0593985206610814,0.101119985216593,0.0348877676767062,0.0393632045240564
"CIBERSORTx","Macrophages M2","Biopsy","wilcox_rank_sum",0.139756441685602,0.255825350882119,2,NA,25,11,0.315300091737066,0.272239793624829,0.0942260681573959,0.0897817003240465
"CIBERSORTx","Mast cells activated","Biopsy","wilcox_rank_sum",0.549158582919562,0.685654646882228,2,NA,25,11,0.0028783599498844,0.00326732802525327,0.00605973463702465,0.00587462932236714
"CIBERSORTx","Mast cells resting","Biopsy","wilcox_rank_sum",0.00351093803879703,0.0176363399158177,2,NA,25,11,0.115316253558759,0.0367337213184849,0.102848572729529,0.0375405933416907
"CIBERSORTx","Monocytes","Biopsy","wilcox_rank_sum",0.782755416533965,0.867899216103095,2,NA,25,11,0.0171853496216637,0.0194499196801955,0.0219126054662991,0.0215869220812097
"CIBERSORTx","NK cells activated","Biopsy","wilcox_rank_sum",0.0160829440674985,0.0489283932194319,2,NA,25,11,0.0163454533619229,0.0352836208235052,0.013264852024408,0.025393604618729
"CIBERSORTx","NK cells resting","Biopsy","wilcox_rank_sum",0.11368532830238,0.226245261070921,2,NA,25,11,0.00946047577706959,0.00313765641306731,0.0107861728407076,0.00385226518394863
"CIBERSORTx","Neutrophils","Biopsy","wilcox_rank_sum",0.0398330290526412,0.102427788992506,2,NA,25,11,0.00447276686267389,0.00196312996613605,0.00419775261096158,0.00429942853884294
"CIBERSORTx","Plasma cells","Biopsy","wilcox_rank_sum",0.353970969016878,0.493275672952553,2,NA,25,11,0.00767463120229574,0.00560769977956455,0.0137027939627274,0.00922874059947654
"CIBERSORTx","T cells CD4+ (general)","Biopsy","wilcox_rank_sum",0.606463978578661,0.727756774294394,2,NA,25,11,0.148095410457504,0.14456721707441,0.0598332176664546,0.0462097034911995
"CIBERSORTx","T cells CD8+ (total)","Biopsy","wilcox_rank_sum",0.0147577540794236,0.0455382125879357,2,NA,25,11,0.0866464829853349,0.120083996038496,0.0337086565182671,0.0304767576438416
"CIBERSORTx","T cells follicular helper","Biopsy","wilcox_rank_sum",0.180462840723322,0.306928925954626,2,NA,25,11,0.0632906849225217,0.074103393514171,0.0313849169295335,0.0291139262836468
"CIBERSORTx","T cells gamma delta","Biopsy","wilcox_rank_sum",0.0518751524780742,0.124500365947378,2,NA,25,11,0.00422033017195718,0.0212611900715018,0.0112047352744932,0.0329275626461239
