"Method","Cell_Type","cluster","n_pairs","mean_biopsy","sd_biopsy","mean_surgery","sd_surgery","mean_delta","sd_delta","p_value","FDR","zscore_delta"
"CIBERSORTx","B cells memory","Fun-CIM",25,0.00927810378045144,0.0180050731700763,0.00269977548514133,0.00751126051386824,-0.00657832829531011,0.0146840538259942,0.01473530940234,0.0982353960155999,-0.585827420399936
"CIBERSORTx","B cells memory","Dys-CIM",11,0.0226813920537093,0.0233969602510068,0.00418292487386878,0.00708047284652067,-0.0184984671798405,0.0251325836060654,0.0190588916017305,0.190588916017305,-1.64736523062323
"CIBERSORTx","B cells naive","Fun-CIM",25,0.0357635052050311,0.0464627043533213,0.0268162454169802,0.0205971068743716,-0.00894725978805089,0.0392337550018483,0.892979885505748,1,-0.796790595723049
"CIBERSORTx","B cells naive","Dys-CIM",11,0.0204770093036824,0.0344391769101266,0.0158176760184542,0.0115400328384876,-0.0046593332852282,0.0289977396089921,1,1,-0.414932955111831
"CIBERSORTx","Dendritic cells activated","Fun-CIM",25,0.00117704195878447,0.00332308636123582,0.00678918529364347,0.0188906905975039,0.00561214333485901,0.0165323928482685,0.0323129112432441,0.129251644972976,0.499784642113268
"CIBERSORTx","Dendritic cells activated","Dys-CIM",11,0.00324231153983111,0.00724862540178718,0.0071212100092515,0.0148493055513194,0.00387889846942039,0.0178366979542045,0.674986713970489,0.899982285293986,0.345431997663273
"CIBERSORTx","Dendritic cells resting","Fun-CIM",25,0.00696872336517422,0.00674258249719028,0.00688277674963407,0.00807304483973876,-0.0000859466155401473,0.00721084622943516,0.972272990639196,1,-0.0076539026046917
"CIBERSORTx","Dendritic cells resting","Dys-CIM",11,0.0206559146500413,0.0284500921115006,0.0160693407393746,0.013432280737696,-0.00458657391066671,0.0294800143441757,0.755657737671463,0.926594904542836,-0.408453431014553
"CIBERSORTx","Eosinophils","Fun-CIM",25,0,0,0.0000644274982184324,0.000322137491092162,0.0000644274982184324,0.000322137491092162,1,1,0.00573753594982977
"CIBERSORTx","Eosinophils","Dys-CIM",11,0.0000488238858387372,0.000161930510134238,0.00156794704071286,0.00329786875094455,0.00151912315487412,0.00332724765784968,0.105645429201877,0.399074705068856,0.135284217986534
