"","C1","C2","C3"
"CIBERSORTx: B cells memory",-0.598055055243726,-1.38374481537875,-0.357202895635719
"CIBERSORTx: B cells naive",-0.983016734191624,-0.348533108926042,-0.269987330347994
"CIBERSORTx: Dendritic cells activated",0.560441640642233,0.290154075700412,0.240816011471445
"CIBERSORTx: Dendritic cells resting",-0.103884230487169,-0.343090473796285,0.117604740732897
"CIBERSORTx: Eosinophils",0.00860604284522402,0.113635295781139,-0.00000000000000000523993713143828
"CIBERSORTx: Macrophages M0",0.28306979595282,0.546945208178845,0.905761408050832
"CIBERSORTx: Macrophages M1",-1.31564520512356,-0.929327165955378,-1.34199783308353
"CIBERSORTx: Macrophages M2",2.50145708555001,1.95834052819901,0.73798696506897
"CIBERSORTx: Mast cells activated",0.936504810347927,1.15432750844175,0.0517318770006164
"CIBERSORTx: Mast cells resting",2.7090896872159,1.23762878841326,-0.785866820019782
"CIBERSORTx: Monocytes",0.643970023774695,0.196419604142312,-0.0103778907685658
"CIBERSORTx: Neutrophils",0.276986161594888,0.513248971831641,-0.0900364775200187
"CIBERSORTx: NK cells activated",1.05239691619876,0.539003564621973,0.362667769065905
"CIBERSORTx: NK cells resting",-0.302490807073647,0.461768317742902,-0.406809077716557
"CIBERSORTx: Plasma cells",0.47594087348762,-0.179687904562016,-0.263201495136957
"CIBERSORTx: T cells CD4+ (general)",-1.97422805947122,-1.57468639443839,1.90107538978028
"CIBERSORTx: T cells CD8+ (total)",-1.86940322964738,-1.07500462952441,1.25812938919886
"CIBERSORTx: T cells follicular helper",-0.213286069554161,0.220908884347923,-0.986304489642799
"CIBERSORTx: T cells gamma delta",-0.274168686677032,-1.07370547095303,0.268831950131942
"CIBERSORTx: T cells regulatory (Tregs)",-1.81428496014056,-0.324600783866855,-1.33282119062985
"quantiseq: B cell",-0.172896599674735,-0.493466766231637,0.111377182035393
"quantiseq: Macrophage M1",0.294150558777771,-0.249630532005313,0.692408293019473
"quantiseq: Macrophage M2",0.314026509283476,-0.687338574144904,1.90494802178262
"quantiseq: Monocyte",0.0121360234511396,-0.29730792784235,0.0351260931992382
"quantiseq: Myeloid dendritic cell",0.157288799168454,-0.0580590593001212,0.128008013058403
"quantiseq: Neutrophil",0.576194106467654,0.159468475574721,0.0920907108711924
"quantiseq: NK cell",0.142352990714374,-0.00566581165889886,0.16161852655912
"quantiseq: T cell CD4+ (non-regulatory)",-0.526832018748608,0.369459685468096,-0.268392742055233
"quantiseq: T cell CD8+",-0.19652953281676,-0.581789805948048,1.00118855774877
"quantiseq: T cell regulatory (Tregs)",-0.101799191116669,-0.506656612481406,0.414748875877584
"quantiseq: uncharacterized cell",-0.498091645506097,2.35098692856986,-4.27312153209656
"epic: B cell",-0.0334646313880039,-0.106290198987313,-0.00604367736117859
"epic: Cancer associated fibroblast",1.16585423856536,0.28303045397212,3.03475148808081
"epic: Endothelial cell",0.266498549064564,-0.0765739246334931,-0.0013056046168467
"epic: Macrophage",-0.0187749507925667,-0.178508599469286,0.26937298178471
"epic: NK cell",-0.000210127605654989,-0.00294017137599284,0.0103040645772695
"epic: T cell CD4+",-0.0596772857666471,-0.148300254290098,-0.0467412688740784
"epic: T cell CD8+",-0.0463579118308359,-0.0563211932087721,-0.0326266135961573
"epic: uncharacterized cell",-1.27386788024622,0.285903887992834,-3.22771136999453
"mcp_counter: B cell",-0.28278238553306,-0.291058337141503,-0.270438043332749
"mcp_counter: Cancer associated fibroblast",3.03524193163155,0.53845724485884,4.50605829589701
"mcp_counter: cytotoxicity score",-0.276315521346263,-0.279117280648267,-0.255404840985094
"mcp_counter: Endothelial cell",-0.246930502749334,-0.2773135137016,-0.258744110472338
"mcp_counter: Macrophage/Monocyte",-0.268039020429445,-0.315868364413248,-0.203226920057564
"mcp_counter: Monocyte",-0.268039020429445,-0.315868364413248,-0.203226920057564
"mcp_counter: Myeloid dendritic cell",-0.267853752248651,-0.288577161154217,-0.255112669723259
"mcp_counter: Neutrophil",-0.262393849920921,-0.275010468866745,-0.264014105532744
"mcp_counter: NK cell",-0.272808378443394,-0.273283278329918,-0.272203867834806
"mcp_counter: T cell",-0.277139006247493,-0.286248302082563,-0.258498962612715
"mcp_counter: T cell CD8+",-0.275591771739335,-0.28879844775286,-0.249850304187065
"estimate: ESTIMATEScore",0.0837071166715219,-1.84863111676466,1.92546479093977
"estimate: ImmuneScore",-0.299777417951815,-1.16074254840325,1.01243571793882
"estimate: StromalScore",0.329978789619115,-0.741394313365626,0.859523327996728
"estimate: TumorPurity",-0.0535187731135079,-0.0533138516938748,-0.0537317218732214
"xcell: B cell",-0.608388883276471,-2.07971954499675,0.336698378822615
"xcell: B cell memory",-0.176798991468574,-0.639582128298212,0.0496316639151822
"xcell: B cell naive",-0.0641322541790453,-0.0745152624709762,0.00474682273669657
"xcell: B cell plasma",-0.0751724372239067,-0.606818988471282,-0.15715760541777
"xcell: Cancer associated fibroblast",1.55927084423886,0.417644528847703,1.95022187550913
"xcell: Class-switched memory B cell",-0.294742509980522,-0.650403252151475,0.151406691013751
"xcell: Common lymphoid progenitor",-0.10562695557084,0.0506072650614629,-0.178670229147215
"xcell: Common myeloid progenitor",0.0572116934008943,0.0112661143398696,0.0692969352450084
"xcell: Endothelial cell",0.844728462746833,-0.225230335872029,0.384975858292085
"xcell: Eosinophil",0.00781523672353926,-0.0567069480240807,0.0601318728756603
"xcell: Granulocyte-monocyte progenitor",-0.0064762048530421,-0.0283513088731218,0.0131150755525759
"xcell: Hematopoietic stem cell",1.63020384991167,-0.0313030679616757,2.17258008711097
"xcell: immune score",-0.629596274984498,-3.1891411761044,2.11066169117322
"xcell: Macrophage",-0.0930197083831327,-0.776772563033706,1.06502563139658
"xcell: Macrophage M1",-0.110559632957723,-0.632064333527712,0.523741349891968
"xcell: Macrophage M2",-0.00784583920157919,-0.273290436123869,0.745903212026939
"xcell: Mast cell",-0.0593066971648742,-0.0966245725227385,0.233675979540561
"xcell: microenvironment score",0.698107411262774,-3.20834833514596,3.2811784398675
"xcell: Monocyte",0.0381440249225086,-0.110866774179194,0.129338025611497
"xcell: Myeloid dendritic cell",-0.0207963352489487,-0.646488282094325,0.337686064062995
"xcell: Myeloid dendritic cell activated",-0.13593536561254,-1.59758439769134,0.684501055770503
"xcell: Neutrophil",-0.00130621520207078,0.0138741973280755,-0.00828282240111511
"xcell: NK cell",-0.00828282240111506,-0.0397533018715494,-0.00828282240111508
"xcell: Plasmacytoid dendritic cell",-0.0180281416237539,-0.444831384172505,0.266654486390301
"xcell: stroma score",1.31942086384616,-0.0274899814426743,1.16223392629316
"xcell: T cell CD4+ (aggregated)",-1.73469346362746,-0.814818442371833,-0.410497629907143
"xcell: T cell CD8+ (aggregated)",-0.787759339141895,-3.07192209141486,2.72799244563247
"xcell: T cell gamma delta",-0.00828282240111507,-0.0377637483636158,0.0210069621200352
"xcell: T cell NK",-0.0971290430490166,0.136484992056193,-0.0924062778401412
"xcell: T cell regulatory (Tregs)",-0.00917967928526212,-0.0101738819636875,0.0117375275575164
"timer: B cell",-0.862152559469102,-1.56264906948977,0.3878021946227
"timer: Macrophage",0.323692538483133,-0.740481379362063,2.3769921509747
"timer: Myeloid dendritic cell",-0.0663766674288249,-1.29118106774188,2.04640085688659
"timer: Neutrophil",-0.0739838334451264,-0.167975352990228,-0.228398876956639
"timer: T cell CD4+",-0.229393940147988,-0.441493680848228,0.128139246928657
"timer: T cell CD8+",0.223434820082677,-0.648217726218762,0.825842346120156
"consensus_tme: B cell",-0.338614063173247,-1.1107848150377,0.790159646638266
"consensus_tme: Cancer associated fibroblast",0.752225856440529,-0.380159427870646,0.767905917115464
"consensus_tme: cytotoxicity score",-0.436174577674855,-1.08776182989371,1.22223027870312
"consensus_tme: Endothelial cell",0.300288610991673,-0.831543166206876,0.871484090104242
"consensus_tme: Eosinophil",0.423013204472572,-1.13167547825344,1.67495314994851
"consensus_tme: immune score",-0.20810752991941,-1.11889865763676,1.16279509037937
"consensus_tme: Macrophage",-0.034905723188406,-1.14207202174553,1.4556089582138
"consensus_tme: Macrophage M1",-0.168364272824992,-1.20766345069881,1.20888963558327
"consensus_tme: Macrophage M2",-0.0468229881618861,-1.13620555962537,1.52941677792787
"consensus_tme: Mast cell",0.0548021390137666,-1.17016826831893,1.27200512359297
"consensus_tme: Monocyte",-0.0514809588708339,-1.0751037966554,1.35425751414691
"consensus_tme: Myeloid dendritic cell",-0.0615082132539684,-1.14114984825987,1.19727590880102
"consensus_tme: Neutrophil",0.151554616944897,-0.692162444593016,1.07664678712692
"consensus_tme: NK cell",-0.498656097339051,-1.18228367574759,1.12180831638735
"consensus_tme: T cell CD4+",-0.364843443198622,-1.34490409656263,1.25497415052449
"consensus_tme: T cell CD8+",-0.42277463487225,-1.32412396877217,1.31661887292813
"consensus_tme: T cell gamma delta",-0.52706347672943,-1.38010382452041,1.20013324660688
"consensus_tme: T cell regulatory (Tregs)",-0.498229351277392,-1.44690104396414,1.40216281225532
