"Method","Cell_Type","cluster","n_candidates","n_pairs_used","n_dropped","n_missing_biopsy","n_missing_surgery","n_missing_both","dropped_patient_ids"
"CIBERSORTx","B cells memory","C1",14,14,0,0,0,0,""
"CIBERSORTx","B cells naive","C1",14,14,0,0,0,0,""
"CIBERSORTx","Dendritic cells activated","C1",14,14,0,0,0,0,""
"CIBERSORTx","Dendritic cells resting","C1",14,14,0,0,0,0,""
"CIBERSORTx","Eosinophils","C1",14,14,0,0,0,0,""
"CIBERSORTx","Macrophages M0","C1",14,14,0,0,0,0,""
"CIBERSORTx","Macrophages M1","C1",14,14,0,0,0,0,""
"CIBERSORTx","Macrophages M2","C1",14,14,0,0,0,0,""
"CIBERSORTx","Mast cells activated","C1",14,14,0,0,0,0,""
"CIBERSORTx","Mast cells resting","C1",14,14,0,0,0,0,""
"CIBERSORTx","Monocytes","C1",14,14,0,0,0,0,""
"CIBERSORTx","NK cells activated","C1",14,14,0,0,0,0,""
"CIBERSORTx","NK cells resting","C1",14,14,0,0,0,0,""
"CIBERSORTx","Neutrophils","C1",14,14,0,0,0,0,""
"CIBERSORTx","Plasma cells","C1",14,14,0,0,0,0,""
"CIBERSORTx","T cells CD4+ (general)","C1",14,14,0,0,0,0,""
"CIBERSORTx","T cells CD8+ (total)","C1",14,14,0,0,0,0,""
"CIBERSORTx","T cells follicular helper","C1",14,14,0,0,0,0,""
"CIBERSORTx","T cells gamma delta","C1",14,14,0,0,0,0,""
"CIBERSORTx","T cells regulatory (Tregs)","C1",14,14,0,0,0,0,""
"CIBERSORTx","B cells memory","C2",11,11,0,0,0,0,""
"CIBERSORTx","B cells naive","C2",11,11,0,0,0,0,""
"CIBERSORTx","Dendritic cells activated","C2",11,11,0,0,0,0,""
"CIBERSORTx","Dendritic cells resting","C2",11,11,0,0,0,0,""
"CIBERSORTx","Eosinophils","C2",11,11,0,0,0,0,""
"CIBERSORTx","Macrophages M0","C2",11,11,0,0,0,0,""
"CIBERSORTx","Macrophages M1","C2",11,11,0,0,0,0,""
