"Method","Cell_Type","cluster","n_candidates","n_pairs","n_dropped","n_zero_delta","n_nonzero_delta","mean_biopsy","sd_biopsy","mean_surgery","sd_surgery","mean_delta","sd_delta","p_value","note","FDR"
"CIBERSORTx","B cells memory","C1",14,14,0,3,11,0.00945458092180325,0.0175037244702338,0.00145953610702962,0.0024769131560946,-0.00799504481477362,0.0182231875407947,0.119722411520657,NA,0.297557234175455
"CIBERSORTx","B cells naive","C1",14,14,0,0,14,0.0453794029893852,0.0592991301708806,0.0322380328519293,0.0222036218368289,-0.0131413701374559,0.0517374873092676,0.949944493522,NA,0.999941572128421
"CIBERSORTx","Dendritic cells activated","C1",14,14,0,9,5,0.00131458549817593,0.00372995627851324,0.0088067987880943,0.0243721901552415,0.00749221328991837,0.0210463344471037,0.105645429201877,NA,0.297557234175455
"CIBERSORTx","Dendritic cells resting","C1",14,14,0,3,11,0.0066836784596822,0.00736463432796184,0.00529491153762231,0.00656339031529232,-0.00138876692205989,0.00837453616306717,0.398304593395588,NA,0.497880741744484
"CIBERSORTx","Eosinophils","C1",14,14,0,13,1,0,0,0.000115049103961486,0.000430474329679219,0.000115049103961486,0.000430474329679219,1,NA,1
"CIBERSORTx","Macrophages M0","C1",14,14,0,5,9,0.0537480360821381,0.0570488282936572,0.057532228999677,0.0941242871047132,0.00378419291753887,0.0833715746014295,0.812703686128436,NA,0.903004095698263
"CIBERSORTx","Macrophages M1","C1",14,14,0,0,14,0.0598673468905101,0.0380862086620361,0.0422792631796915,0.0304090091649388,-0.0175880837108186,0.0371722055351583,0.148778617087727,NA,0.297557234175455
"CIBERSORTx","Macrophages M2","C1",14,14,0,0,14,0.321312765297235,0.115500303714776,0.354753267682178,0.0996295771761091,0.0334405023849435,0.128962735131995,0.258486052233535,NA,0.397670849590053
"CIBERSORTx","Mast cells activated","C1",14,14,0,6,8,0.0013621997488069,0.00388922628775105,0.0138817794469191,0.0209460652070368,0.0125195796981122,0.0205229522740673,0.0299739735865559,NA,0.199826490577039
"CIBERSORTx","Mast cells resting","C1",14,14,0,0,14,0.105479657306419,0.0906800274613016,0.141695877312628,0.11198941492677,0.0362162200062088,0.0751840569145317,0.102639775576908,NA,0.297557234175455
"CIBERSORTx","Monocytes","C1",14,14,0,0,14,0.0228179405936467,0.0273164191779419,0.0314267955047574,0.0240980584598159,0.00860885491111068,0.0372287501792087,0.315174424989568,NA,0.450249178556525
"CIBERSORTx","NK cells activated","C1",14,14,0,0,14,0.0172504789897525,0.0155754063236122,0.0313193518036604,0.021748512130671,0.0140688728139079,0.031918454501841,0.148778617087727,NA,0.297557234175455
"CIBERSORTx","NK cells resting","C1",14,14,0,3,11,0.0110829317994427,0.01095275551687,0.00703911085452102,0.00987342852310592,-0.00404382094492164,0.010062316152864,0.168166829372509,NA,0.305757871586381
"CIBERSORTx","Neutrophils","C1",14,14,0,0,14,0.00481513733445415,0.00463677708821696,0.00851800173733219,0.0105564530305399,0.00370286440287805,0.00905373238427941,0.232966059706807,NA,0.388276766178011
"CIBERSORTx","Plasma cells","C1",14,14,0,1,13,0.00472485460392193,0.00768340894254565,0.011087427044958,0.010381045255182,0.00636257244103605,0.0126978041273937,0.0692129715131915,NA,0.276851886052766
"CIBERSORTx","T cells CD4+ (general)","C1",14,14,0,0,14,0.149970395554944,0.0681524794402321,0.123578106631605,0.0632068542197624,-0.0263922889233391,0.0473425093096199,0.0445533169117585,NA,0.222766584558792
"CIBERSORTx","T cells CD8+ (total)","C1",14,14,0,0,14,0.0879176044748044,0.0359591322546678,0.0629266567905274,0.0353198101747467,-0.024990947684277,0.0282261656845125,0.0120369481070948,NA,0.120369481070948
