"Method","Cell_Type","Timepoint","comparison","cluster1","cluster2","n1","mean1","sd1","n2","mean2","sd2","z","p_unadj","fdr"
"CIBERSORTx","B cells memory","Biopsy","C1 - C2","C1","C2",14,0.00945458092180325,0.0175037244702338,11,0.0226813920537093,0.0233969602510068,-2.02669481480712,0.0426936330911668,0.0640404496367503
"CIBERSORTx","B cells memory","Biopsy","C3 - C2","C3","C2",11,0.00905349650964005,0.0194844760543362,11,0.0226813920537093,0.0233969602510068,-2.29922898890206,0.0214919397131092,0.0644758191393275
"CIBERSORTx","B cells memory","Biopsy","C1 - C3","C1","C3",14,0.00945458092180325,0.0175037244702338,11,0.00905349650964005,0.0194844760543362,0.40658042992302,0.684316173136203,0.684316173136203
"CIBERSORTx","B cells naive","Biopsy","C1 - C2","C1","C2",14,0.0453794029893852,0.0592991301708806,11,0.0204770093036824,0.0344391769101266,2.01514238207412,0.0438897325928918,0.131669197778675
"CIBERSORTx","B cells naive","Biopsy","C3 - C2","C3","C2",11,0.0235250898431259,0.0177642247605011,11,0.0204770093036824,0.0344391769101266,1.51809954423532,0.128989306059143,0.193483959088715
"CIBERSORTx","B cells naive","Biopsy","C1 - C3","C1","C3",14,0.0453794029893852,0.0592991301708806,11,0.0235250898431259,0.0177642247605011,0.408536838279264,0.682879590943468,0.682879590943468
"CIBERSORTx","Dendritic cells activated","Biopsy","C1 - C2","C1","C2",14,0.00131458549817593,0.00372995627851324,11,0.00324231153983111,0.00724862540178718,-0.834589757731231,0.403948730923083,1
"CIBERSORTx","Dendritic cells activated","Biopsy","C3 - C2","C3","C2",11,0.00100198654501351,0.00289074847913995,11,0.00324231153983111,0.00724862540178718,-0.673563524556036,0.500588849451389,0.750883274177084
"CIBERSORTx","Dendritic cells activated","Biopsy","C1 - C3","C1","C3",14,0.00131458549817593,0.00372995627851324,11,0.00100198654501351,0.00289074847913995,-0.121757126459464,0.903091369371645,0.903091369371645
"CIBERSORTx","Dendritic cells resting","Biopsy","C1 - C2","C1","C2",14,0.0066836784596822,0.00736463432796184,11,0.0206559146500413,0.0284500921115006,-1.02554636698587,0.305105459094678,0.915316377284034
