"Method","Cell_Type","Timepoint","test","p_value","FDR","n_clusters","note","C1_n","C2_n","C3_n","C1_mean","C2_mean","C3_mean","C1_sd","C2_sd","C3_sd"
"CIBERSORTx","B cells memory","Biopsy","kruskal",0.0450980479789858,0.10588237351588,3,NA,14,11,11,0.00945458092180325,0.0226813920537093,0.00905349650964005,0.0175037244702338,0.0233969602510068,0.0194844760543362
"CIBERSORTx","B cells naive","Biopsy","kruskal",0.113933180154217,0.195314023121515,3,NA,14,11,11,0.0453794029893852,0.0204770093036824,0.0235250898431259,0.0592991301708806,0.0344391769101266,0.0177642247605011
"CIBERSORTx","Dendritic cells activated","Biopsy","kruskal",0.680023092097968,0.727153405411688,3,NA,14,11,11,0.00131458549817593,0.00324231153983111,0.00100198654501351,0.00372995627851324,0.00724862540178718,0.00289074847913995
"CIBERSORTx","Dendritic cells resting","Biopsy","kruskal",0.590951596605343,0.651252779932418,3,NA,14,11,11,0.0066836784596822,0.0206559146500413,0.00733150779034588,0.00736463432796184,0.0284500921115006,0.00619209899024235
"CIBERSORTx","Eosinophils","Biopsy","kruskal",0.32098411714879,0.415322923958348,3,NA,14,11,11,0,0.0000488238858387372,0,0,0.000161930510134238,0
"CIBERSORTx","Macrophages M0","Biopsy","kruskal",0.332669665424979,0.420214314221026,3,NA,14,11,11,0.0537480360821381,0.0739402078378143,0.089791819525869,0.0570488282936572,0.0469827469906172,0.0766375883548996
"CIBERSORTx","Macrophages M1","Biopsy","kruskal",0.0163663994064999,0.0570184237387739,3,NA,14,11,11,0.0598673468905101,0.101119985216593,0.0588018327327176,0.0380862086620361,0.0393632045240564,0.0321675110260583
"CIBERSORTx","Macrophages M2","Biopsy","kruskal",0.324951732171115,0.415322923958348,3,NA,14,11,11,0.321312765297235,0.272239793624829,0.307647598115033,0.115500303714776,0.0897817003240465,0.0620570587292194
"CIBERSORTx","Mast cells activated","Biopsy","kruskal",0.312997827548373,0.412241041161272,3,NA,14,11,11,0.0013621997488069,0.00326732802525327,0.00480801838761939,0.00388922628775105,0.00587462932236714,0.00781990009692088
"CIBERSORTx","Mast cells resting","Biopsy","kruskal",0.013423839832959,0.0510600995691061,3,NA,14,11,11,0.105479657306419,0.0367337213184849,0.127835557879919,0.0906800274613016,0.0375405933416907,0.119954964218189
