"Method","Cell_Type","cluster","n_pairs","mean_biopsy","sd_biopsy","mean_surgery","sd_surgery","mean_delta","sd_delta","p_value","FDR","zscore_delta"
"CIBERSORTx","B cells memory","C1",14,0.00945458092180325,0.0175037244702338,0.00145953610702962,0.0024769131560946,-0.00799504481477362,0.0182231875407947,0.119722411520657,0.297557234175455,-0.598055055243726
"CIBERSORTx","B cells memory","C2",11,0.0226813920537093,0.0233969602510068,0.00418292487386878,0.00708047284652067,-0.0184984671798405,0.0251325836060654,0.0190588916017305,0.190588916017305,-1.38374481537875
"CIBERSORTx","B cells memory","C3",11,0.00905349650964005,0.0194844760543362,0.00427826196637441,0.0110695890470234,-0.00477523454326564,0.00891040588764286,0.0759269629825577,0.394872927828819,-0.357202895635719
"CIBERSORTx","B cells naive","C1",14,0.0453794029893852,0.0592991301708806,0.0322380328519293,0.0222036218368289,-0.0131413701374559,0.0517374873092676,0.949944493522,0.999941572128421,-0.983016734191624
"CIBERSORTx","B cells naive","C2",11,0.0204770093036824,0.0344391769101266,0.0158176760184542,0.0115400328384876,-0.0046593332852282,0.0289977396089921,1,1,-0.348533108926042
"CIBERSORTx","B cells naive","C3",11,0.0235250898431259,0.0177642247605011,0.0199157886815904,0.0168447277892265,-0.00360930116153541,0.0125905613817695,0.563317799720071,0.823310630360104,-0.269987330347994
"CIBERSORTx","Dendritic cells activated","C1",14,0.00131458549817593,0.00372995627851324,0.0088067987880943,0.0243721901552415,0.00749221328991837,0.0210463344471037,0.105645429201877,0.297557234175455,0.560441640642233
"CIBERSORTx","Dendritic cells activated","C2",11,0.00324231153983111,0.00724862540178718,0.0071212100092515,0.0148493055513194,0.00387889846942039,0.0178366979542045,0.674986713970489,0.899982285293986,0.290154075700412
"CIBERSORTx","Dendritic cells activated","C3",11,0.00100198654501351,0.00289074847913995,0.00422131357343334,0.00844407949764119,0.00321932702841982,0.00829992319382081,0.177529852412153,0.468649356595117,0.240816011471445
"CIBERSORTx","Dendritic cells resting","C1",14,0.0066836784596822,0.00736463432796184,0.00529491153762231,0.00656339031529232,-0.00138876692205989,0.00837453616306717,0.398304593395588,0.497880741744484,-0.103884230487169
"CIBERSORTx","Dendritic cells resting","C2",11,0.0206559146500413,0.0284500921115006,0.0160693407393746,0.013432280737696,-0.00458657391066671,0.0294800143441757,0.755657737671463,0.926594904542836,-0.343090473796285
"CIBERSORTx","Dendritic cells resting","C3",11,0.00733150779034588,0.00619209899024235,0.00890369611037632,0.00961217135352332,0.00157218832003043,0.00531204156929694,0.414823067184775,0.656803189709226,0.117604740732897
"CIBERSORTx","Eosinophils","C1",14,0,0,0.000115049103961486,0.000430474329679219,0.000115049103961486,0.000430474329679219,1,1,0.00860604284522402
"CIBERSORTx","Eosinophils","C2",11,0.0000488238858387372,0.000161930510134238,0.00156794704071286,0.00329786875094455,0.00151912315487412,0.00332724765784968,0.105645429201877,0.399074705068856,0.113635295781139
