"","Fun-CIM","Dys-CIM"
"CIBERSORTx: B cells memory",0.1184291641136,0.463414587228027
"CIBERSORTx: B cells naive",0.900039315101991,0.685194114489124
"CIBERSORTx: Dendritic cells activated",0.713983983285368,1
"CIBERSORTx: Dendritic cells resting",0.536374774283542,0.685194114489124
"CIBERSORTx: Eosinophils",NA,NA
"CIBERSORTx: Macrophages M0",0.713983983285368,0.685194114489124
"CIBERSORTx: Macrophages M1",0.0259376068846711,0.685194114489124
"CIBERSORTx: Macrophages M2",0.321963008579522,0.685194114489124
"CIBERSORTx: Mast cells activated",0.1184291641136,0.635538894261175
"CIBERSORTx: Mast cells resting",0.287875177815764,0.685194114489124
"CIBERSORTx: Monocytes",0.644320766520882,0.849150040799016
"CIBERSORTx: Neutrophils",0.391943611062446,0.493173166882674
"CIBERSORTx: NK cells activated",0.538021904859759,0.685194114489124
"CIBERSORTx: NK cells resting",0.469819653801567,0.685194114489124
"CIBERSORTx: Plasma cells",0.72586174494081,0.685194114489124
"CIBERSORTx: T cells CD4+ (general)",0.318980458290819,1
"CIBERSORTx: T cells CD8+ (total)",0.536374774283542,0.685194114489124
"CIBERSORTx: T cells follicular helper",0.469819653801567,0.741991404713773
"CIBERSORTx: T cells gamma delta",1,0.741991404713773
"CIBERSORTx: T cells regulatory (Tregs)",0.0980773800022732,0.685194114489124
"quantiseq: B cell",0.670107996377695,0.0398290118938729
"quantiseq: Macrophage M1",0.0184080772146304,0.219491087787871
"quantiseq: Macrophage M2",0.00414695347076859,0.0398290118938729
"quantiseq: Monocyte",1,0.288248115543423
"quantiseq: Myeloid dendritic cell",0.557542528869351,0.866147139732896
"quantiseq: Neutrophil",0.0141265793291094,0.694209826521876
"quantiseq: NK cell",0.00414695347076859,0.964541384555568
"quantiseq: T cell CD4+ (non-regulatory)",0.218441694785821,0.866147139732896
"quantiseq: T cell CD8+",0.426863853207871,0.0368075608353217
"quantiseq: T cell regulatory (Tregs)",0.33914675833548,0.0368075608353217
"quantiseq: uncharacterized cell",0.00414695347076859,0.0806768480426313
"epic: B cell",0.201461342078412,0.0154291713197701
"epic: Cancer associated fibroblast",0.000193830901027902,0.689083746544796
"epic: Endothelial cell",0.978533980727415,0.046752780092841
"epic: Macrophage",0.461766388792051,0.0386220721395131
"epic: NK cell",0.739852558079628,0.689083746544796
"epic: T cell CD4+",0.222248375683332,0.0154291713197701
"epic: T cell CD8+",0.0125992845795135,0.0470120657749903
"epic: uncharacterized cell",0.000193830901027902,0.355203232853999
"mcp_counter: B cell",0.461501733277479,0.124979101701096
"mcp_counter: Cancer associated fibroblast",0.00075053875739647,0.755657737671463
"mcp_counter: cytotoxicity score",0.35934318824768,0.223721429961095
"mcp_counter: Endothelial cell",0.00593830622623613,0.271323311712963
"mcp_counter: Macrophage/Monocyte",0.0130724307102268,0.152094091866375
"mcp_counter: Monocyte",0.0130724307102268,0.152094091866375
"mcp_counter: Myeloid dendritic cell",0.00075053875739647,0.3746798896859
"mcp_counter: Neutrophil",0.00075053875739647,0.385581799880567
"mcp_counter: NK cell",0.25420243353668,0.124979101701096
"mcp_counter: T cell",0.467540508522352,0.0280462730844856
"mcp_counter: T cell CD8+",0.310705776150711,0.0280462730844856
"estimate: ESTIMATEScore",0.00240152777824142,0.00679909650532985
"estimate: ImmuneScore",0.100730671039206,0.00679909650532985
"estimate: StromalScore",0.000217446805629821,0.0144832770523174
"estimate: TumorPurity",0.00240152777824142,0.00679909650532985
"xcell: B cell",0.188090665694831,0.0553982594907365
"xcell: B cell memory",0.592556415577078,0.121816155305134
"xcell: B cell naive",0.45721320468184,1
"xcell: B cell plasma",0.002784263884126,0.0637537910356923
"xcell: Cancer associated fibroblast",0.0018282869796064,0.950882501822282
"xcell: Class-switched memory B cell",0.250527004758218,0.0543122889461903
"xcell: Common lymphoid progenitor",0.002784263884126,0.155550775772429
"xcell: Common myeloid progenitor",0.161352266587195,0.76270334673452
"xcell: Endothelial cell",0.41202333236641,0.189035386611563
"xcell: Eosinophil",0.188090665694831,0.76270334673452
