"Method","Cell_Type","cluster","Timepoint","n","n_finite","mean","sd","min","max"
"consensus_tme","cytotoxicity score","Fun-CIM","Biopsy",25,25,-0.127709777736029,0.117378511233422,-0.290213504002246,0.18539385571435
"consensus_tme","cytotoxicity score","Fun-CIM","Surgery",25,25,-0.098229790090551,0.179770804229673,-0.301888878828043,0.408826027825719
"consensus_tme","cytotoxicity score","Dys-CIM","Biopsy",11,11,0.104455680332559,0.113478430606282,-0.10986719184378,0.259749285613566
"consensus_tme","cytotoxicity score","Dys-CIM","Surgery",11,11,-0.0276056456096623,0.118157400278954,-0.195987809274576,0.194286881558758
"consensus_tme","immune score","Fun-CIM","Biopsy",25,25,0.00792241870085873,0.0923580084584513,-0.155421025314849,0.245038473940046
"consensus_tme","immune score","Fun-CIM","Surgery",25,25,0.0492805565863709,0.13490742992815,-0.11698109980691,0.446418154646189
"consensus_tme","immune score","Dys-CIM","Biopsy",11,11,0.166870264634267,0.102803071822571,-0.0597844877718246,0.265718707709317
"consensus_tme","immune score","Dys-CIM","Surgery",11,11,0.0311674869728498,0.0634429079536001,-0.0500764545230483,0.147204305065638
"estimate","ESTIMATEScore","Fun-CIM","Biopsy",25,25,1207.66104080613,1087.57821796447,-1420.82768291906,2972.69964297282
"estimate","ESTIMATEScore","Fun-CIM","Surgery",25,25,2065.38249840118,1370.58569766759,-347.075775493144,5064.83806346066
"estimate","ESTIMATEScore","Dys-CIM","Biopsy",11,11,2318.20464145057,1158.10383949853,-34.1066044699538,4395.03086910018
"estimate","ESTIMATEScore","Dys-CIM","Surgery",11,11,693.320817570712,1130.33853788799,-464.721856079008,2730.98517229959
"estimate","ImmuneScore","Fun-CIM","Biopsy",25,25,756.925409035075,663.714112774433,-516.150183826663,2329.80899079587
"estimate","ImmuneScore","Fun-CIM","Surgery",25,25,1056.62729388795,951.458509622423,-261.053091674117,3701.17650301519
"estimate","ImmuneScore","Dys-CIM","Biopsy",11,11,1767.46865871973,753.261347865681,34.8962032366948,2786.03223427448
"estimate","ImmuneScore","Dys-CIM","Surgery",11,11,765.237171521056,449.022499179602,302.248652009565,1504.85885994177
"estimate","StromalScore","Fun-CIM","Biopsy",25,25,450.735631771057,638.659963940806,-1540.74892191315,1416.43986279769
"estimate","StromalScore","Fun-CIM","Surgery",25,25,1008.75520451323,582.627430600242,-368.493658726133,2053.31063993598
"estimate","StromalScore","Dys-CIM","Biopsy",11,11,550.735982730842,536.483984397391,-80.0066259729874,1608.9986348257
"estimate","StromalScore","Dys-CIM","Surgery",11,11,-71.9163539503442,811.644858617859,-960.445392246157,1426.42931928046
"mcp_counter","cytotoxicity score","Fun-CIM","Biopsy",25,25,2.83908571428571,2.21865159569078,0.446428571428571,8.40285714285714
"mcp_counter","cytotoxicity score","Fun-CIM","Surgery",25,25,4.38342857142857,5.91324551972355,0.528571428571429,28.1214285714286
"mcp_counter","cytotoxicity score","Dys-CIM","Biopsy",11,11,7.05837662337662,6.68232853136638,0.978571428571429,25.7678571428571
"mcp_counter","cytotoxicity score","Dys-CIM","Surgery",11,11,5.39766233766234,8.18755846273509,1.27142857142857,29.0085714285714
"xcell","immune score","Fun-CIM","Biopsy",25,25,0.0544384854237787,0.0528717220748537,0.000000000000000011879097226553,0.231288763202122
"xcell","immune score","Fun-CIM","Surgery",25,25,0.0816094316241598,0.140821132558133,0.00000000000000000168843903208316,0.665667009101288
"xcell","immune score","Dys-CIM","Biopsy",11,11,0.180159650037078,0.139263800520496,0.00311054742984757,0.385399398380271
"xcell","immune score","Dys-CIM","Surgery",11,11,0.0322696373207324,0.0262297488375484,0.0047193821398627,0.0776677006809011
"xcell","microenvironment score","Fun-CIM","Biopsy",25,25,0.111501470886972,0.0680540003865364,0.0222710287423662,0.292059401499142
"xcell","microenvironment score","Fun-CIM","Surgery",25,25,0.197186719813467,0.148725457017166,0.0146293789227464,0.687519004436399
"xcell","microenvironment score","Dys-CIM","Biopsy",11,11,0.215157286994102,0.120406640222216,0.0407108110196052,0.387891932651138
"xcell","microenvironment score","Dys-CIM","Surgery",11,11,0.066374261550046,0.0589104516966383,0.0070772028349503,0.205981593722558
"xcell","stroma score","Fun-CIM","Biopsy",25,25,0.0570629854631935,0.0500160840313935,0.000898693792970127,0.222642472147072
"xcell","stroma score","Fun-CIM","Surgery",25,25,0.115577288189308,0.0920935858857862,0.00581033635423123,0.387574183470071
"xcell","stroma score","Dys-CIM","Biopsy",11,11,0.0349976369570241,0.0430813250667508,0.00194113795419094,0.125589202621285
"xcell","stroma score","Dys-CIM","Surgery",11,11,0.0341046242293137,0.0388503740705057,0.000000000000000000630476416923664,0.128313893041657
