"Patient_ID","Biopsy","Surgery","Delta","Method","Cell_Type","cluster"
"2271",0,0,0,"CIBERSORTx","B cells memory","Fun-CIM"
"2472",0.0029869352650815,0.0021406557477446,-0.0008462795173369,"CIBERSORTx","B cells memory","Fun-CIM"
"2653",0.00514190197939559,0,-0.00514190197939559,"CIBERSORTx","B cells memory","Fun-CIM"
"2661",0,0,0,"CIBERSORTx","B cells memory","Fun-CIM"
"2677",0,0,0,"CIBERSORTx","B cells memory","Fun-CIM"
"2739",0,0,0,"CIBERSORTx","B cells memory","Fun-CIM"
"2789",0,0,0,"CIBERSORTx","B cells memory","Fun-CIM"
"2817",0,0,0,"CIBERSORTx","B cells memory","Fun-CIM"
"2852",0,0,0,"CIBERSORTx","B cells memory","Fun-CIM"
"2976",0,0,0,"CIBERSORTx","B cells memory","Fun-CIM"
"3001",0,0,0,"CIBERSORTx","B cells memory","Fun-CIM"
"3036",0.0347157213610127,0.031177620351091,-0.0035381010099217,"CIBERSORTx","B cells memory","Fun-CIM"
"3065",0,0,0,"CIBERSORTx","B cells memory","Fun-CIM"
"3067",0,0,0,"CIBERSORTx","B cells memory","Fun-CIM"
"3130",0,0,0,"CIBERSORTx","B cells memory","Fun-CIM"
"3161",0.00155664056908956,0,-0.00155664056908956,"CIBERSORTx","B cells memory","Fun-CIM"
"97",0,0.00289126139649636,0.00289126139649636,"CIBERSORTx","B cells memory","Fun-CIM"
"OB_0001",0.00210981532624577,0,-0.00210981532624577,"CIBERSORTx","B cells memory","Fun-CIM"
"OB_0038",0,0,0,"CIBERSORTx","B cells memory","Fun-CIM"
"OB_0080",0.00303719188158788,0,-0.00303719188158788,"CIBERSORTx","B cells memory","Fun-CIM"
"OB_0139",0.000795340691457367,0,-0.000795340691457367,"CIBERSORTx","B cells memory","Fun-CIM"
"OB_0163",0.00483906040082663,0,-0.00483906040082663,"CIBERSORTx","B cells memory","Fun-CIM"
"OB_0168",0,0,0,"CIBERSORTx","B cells memory","Fun-CIM"
"OB_0235",0.00410783382520408,0,-0.00410783382520408,"CIBERSORTx","B cells memory","Fun-CIM"
"OB_0315",0,0,0,"CIBERSORTx","B cells memory","Fun-CIM"
"2046",0.00809085879703443,0,-0.00809085879703443,"CIBERSORTx","B cells memory","Dys-CIM"
"2492",0.0304023622506076,0,-0.0304023622506076,"CIBERSORTx","B cells memory","Dys-CIM"
"2691",0.00144128579345899,0,-0.00144128579345899,"CIBERSORTx","B cells memory","Dys-CIM"
"OB_0095",0,0,0,"CIBERSORTx","B cells memory","Dys-CIM"
"OB_0157",0,0,0,"CIBERSORTx","B cells memory","Dys-CIM"
"OB_0190",0.0053466620406459,0.00299436620044346,-0.00235229584020244,"CIBERSORTx","B cells memory","Dys-CIM"
"OB_0234",0,0.00326337964339279,0.00326337964339279,"CIBERSORTx","B cells memory","Dys-CIM"
"OB_0237",0.121367507209749,0,-0.121367507209749,"CIBERSORTx","B cells memory","Dys-CIM"
"OB_0261",0.0237708228869349,0.0159334701197163,-0.0078373527672186,"CIBERSORTx","B cells memory","Dys-CIM"
"OB_0273",0.0188299723271575,0,-0.0188299723271575,"CIBERSORTx","B cells memory","Dys-CIM"
"OB_0344",0.0331809359560014,0,-0.0331809359560014,"CIBERSORTx","B cells memory","Dys-CIM"
"2271",0.133412541069943,0.037626772094419,-0.095785768975524,"CIBERSORTx","B cells naive","Fun-CIM"
"2472",0.00159427971461497,0,-0.00159427971461497,"CIBERSORTx","B cells naive","Fun-CIM"
"2653",0,0.00450007160603219,0.00450007160603219,"CIBERSORTx","B cells naive","Fun-CIM"
"2661",0.192671128953135,0.0315033176662786,-0.161167811286856,"CIBERSORTx","B cells naive","Fun-CIM"
"2677",0.0944714689910398,0.0631268363397498,-0.03134463265129,"CIBERSORTx","B cells naive","Fun-CIM"
"2739",0.0636758300368286,0.0728397433817855,0.00916391334495691,"CIBERSORTx","B cells naive","Fun-CIM"
"2789",0.0303318061947027,0.0338401646337973,0.0035083584390946,"CIBERSORTx","B cells naive","Fun-CIM"
"2817",0.0058177276962584,0.0524564779668151,0.0466387502705567,"CIBERSORTx","B cells naive","Fun-CIM"
"2852",0.0152594938208946,0.0439683013642266,0.028708807543332,"CIBERSORTx","B cells naive","Fun-CIM"
"2976",0.0124266608699288,0.0657226982051461,0.0532960373352173,"CIBERSORTx","B cells naive","Fun-CIM"
"3001",0.284119597093783,0.0477638740336567,-0.236355723060126,"CIBERSORTx","B cells naive","Fun-CIM"
"3036",0.046356352585102,0.00388224615397092,-0.0424741064311311,"CIBERSORTx","B cells naive","Fun-CIM"
"3065",0.0216589866272321,0.0492401733880209,0.0275811867607888,"CIBERSORTx","B cells naive","Fun-CIM"
"3067",0.0694082861530498,0.0678822609313893,-0.0015260252216605,"CIBERSORTx","B cells naive","Fun-CIM"
"3130",0.0218058949069185,0.0899904242102816,0.0681845293033631,"CIBERSORTx","B cells naive","Fun-CIM"
"3161",0,0.00512250442696718,0.00512250442696718,"CIBERSORTx","B cells naive","Fun-CIM"
"97",0,0,0,"CIBERSORTx","B cells naive","Fun-CIM"
"OB_0001",0.0640864340332011,0.0238978060376013,-0.0401886279955998,"CIBERSORTx","B cells naive","Fun-CIM"
"OB_0038",0,0.000485893952516446,0.000485893952516446,"CIBERSORTx","B cells naive","Fun-CIM"
"OB_0080",0,0.00679116751865634,0.00679116751865634,"CIBERSORTx","B cells naive","Fun-CIM"
"OB_0139",0.00542207823258669,0.00948722482597122,0.00406514659338453,"CIBERSORTx","B cells naive","Fun-CIM"
"OB_0163",0.00150303401217667,0.00358955924651255,0.00208652523433588,"CIBERSORTx","B cells naive","Fun-CIM"
"OB_0168",0.0271620650992273,0.023948751597058,-0.0032133135021693,"CIBERSORTx","B cells naive","Fun-CIM"
"OB_0235",0,0.00770884499055167,0.00770884499055167,"CIBERSORTx","B cells naive","Fun-CIM"
"OB_0315",0.0127027222814869,0.000812484258663204,-0.0118902380228237,"CIBERSORTx","B cells naive","Fun-CIM"
"2046",0.0164415135273867,0.0115400865325636,-0.0049014269948231,"CIBERSORTx","B cells naive","Dys-CIM"
"2492",0,0.0193002635753462,0.0193002635753462,"CIBERSORTx","B cells naive","Dys-CIM"
"2691",0.00217868637214271,0.0455158110065518,0.0433371246344091,"CIBERSORTx","B cells naive","Dys-CIM"
"OB_0095",0.0191730985717061,0.00413805581346916,-0.0150350427582369,"CIBERSORTx","B cells naive","Dys-CIM"
"OB_0157",0.0136103961596861,0.0060425102674334,-0.0075678858922527,"CIBERSORTx","B cells naive","Dys-CIM"
"OB_0190",0.0137238804266142,0.00885842941603897,-0.00486545101057523,"CIBERSORTx","B cells naive","Dys-CIM"
"OB_0234",0,0,0,"CIBERSORTx","B cells naive","Dys-CIM"
"OB_0237",0.0627988076233074,0.0090663226313125,-0.0537324849919949,"CIBERSORTx","B cells naive","Dys-CIM"
"OB_0261",0,0,0,"CIBERSORTx","B cells naive","Dys-CIM"
"OB_0273",0,0,0,"CIBERSORTx","B cells naive","Dys-CIM"
"OB_0344",0.0404782989978655,0.0143693383897587,-0.0261089606081068,"CIBERSORTx","B cells naive","Dys-CIM"
"2271",0.00146869330167913,0,-0.00146869330167913,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"2472",0,0.0676182727030741,0.0676182727030741,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"2653",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"2661",0.00376596073667382,0,-0.00376596073667382,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"2677",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"2739",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"2789",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"2817",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"2852",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"2976",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"3001",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"3036",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"3065",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"3067",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"3130",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"3161",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"97",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"OB_0001",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"OB_0038",0,0.00400181539487281,0.00400181539487281,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"OB_0080",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"OB_0139",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"OB_0163",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"OB_0168",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"OB_0235",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
"OB_0315",0,0,0,"CIBERSORTx","Dendritic cells activated","Fun-CIM"
