"version","plot_type","Method","Cell_Type","Timepoint","cluster","n_values","n_groups","output_file","file_exists","status","error_message"
"AGGREGATED","paired","CIBERSORTx","B cells memory",NA,"Fun-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_B_cells_memory_clusterFun_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","CIBERSORTx","B cells memory",NA,"Dys-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_B_cells_memory_clusterDys_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","CIBERSORTx","B cells naive",NA,"Fun-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_B_cells_naive_clusterFun_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","CIBERSORTx","B cells naive",NA,"Dys-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_B_cells_naive_clusterDys_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","CIBERSORTx","Dendritic cells activated",NA,"Fun-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_Dendritic_cells_activated_clusterFun_CIM.png",FALSE,"saved",NA
"AGGREGATED","paired","CIBERSORTx","Dendritic cells activated",NA,"Dys-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_Dendritic_cells_activated_clusterDys_CIM.png",FALSE,"saved",NA
"AGGREGATED","paired","CIBERSORTx","Dendritic cells resting",NA,"Fun-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_Dendritic_cells_resting_clusterFun_CIM.png",FALSE,"saved",NA
"AGGREGATED","paired","CIBERSORTx","Dendritic cells resting",NA,"Dys-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_Dendritic_cells_resting_clusterDys_CIM.png",FALSE,"saved",NA
"AGGREGATED","paired","CIBERSORTx","Eosinophils",NA,"Fun-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_Eosinophils_clusterFun_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","CIBERSORTx","Eosinophils",NA,"Dys-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_Eosinophils_clusterDys_CIM.png",TRUE,"saved",NA
