"Method","Cell_Type","Timepoint","test","p_value","FDR","n_clusters","note","Fun-CIM_n","Dys-CIM_n","Fun-CIM_mean","Dys-CIM_mean","Fun-CIM_sd","Dys-CIM_sd"
"CIBERSORTx","B cells memory","Biopsy","wilcox",0.00743375598139692,0.0294596996299804,2,NA,25,11,0.00237161765199604,0.0220391279328718,0.00694307312749279,0.0352535688427965
"CIBERSORTx","B cells naive","Biopsy","wilcox",0.266656184669427,0.419591349406304,2,NA,25,11,0.0441554555348844,0.0153095165162462,0.068972958324101,0.0200505715651793
"CIBERSORTx","Dendritic cells activated","Biopsy","wilcox",0.886085302475751,0.953092298609088,2,NA,25,11,0.000209386161534118,0.000402697829900024,0.000796959225444757,0.00133559760566874
"CIBERSORTx","Dendritic cells resting","Biopsy","wilcox",0.0184347494014627,0.0563576624559002,2,NA,25,11,0.00493780990456984,0.0424287507801001,0.00745830806698161,0.051178457737826
"CIBERSORTx","Eosinophils","Biopsy","wilcox",NA,NA,2,"skipped_no_variation",25,11,0,0,0,0
"CIBERSORTx","Macrophages M0","Biopsy","wilcox",0.944814299766559,0.963246026046502,2,NA,25,11,0.0859993256888543,0.0566456286963759,0.114886117194524,0.0566624781530076
"CIBERSORTx","Macrophages M1","Biopsy","wilcox",0.00600796660124681,0.0257140970533363,2,NA,25,11,0.0651567693578511,0.120534213089768,0.0520727828032313,0.0561447904324586
"CIBERSORTx","Macrophages M2","Biopsy","wilcox",0.514082064995263,0.647138599464625,2,NA,25,11,0.292567357945457,0.26184395889093,0.132037673306125,0.133722533211339
"CIBERSORTx","Mast cells activated","Biopsy","wilcox",0.147825670349013,0.279953039422025,2,NA,25,11,0,0.00118511899926433,0,0.00393059505248125
"CIBERSORTx","Mast cells resting","Biopsy","wilcox",0.00951497119495399,0.0351069626848302,2,NA,25,11,0.121740216587535,0.0371436952654014,0.123097044275534,0.0438581561591761
"CIBERSORTx","Monocytes","Biopsy","wilcox",0.917497155281499,0.958242669616279,2,NA,25,11,0.0184946220699168,0.016409569302346,0.0280927245481031,0.0168384303824494
"CIBERSORTx","NK cells activated","Biopsy","wilcox",0.0857606086554422,0.193641773242994,2,NA,25,11,0.0221449247933667,0.0401962049836871,0.0169946518335432,0.0314181085415812
"CIBERSORTx","NK cells resting","Biopsy","wilcox",0.0401200252601099,0.103441992839319,2,NA,25,11,0.00633694480069637,0,0.0133048247147176,0
"CIBERSORTx","Neutrophils","Biopsy","wilcox",0.0967028544477323,0.212435710988339,2,NA,25,11,0.00269141090172752,0.000565754987065489,0.0051836772460806,0.001417727521214
"CIBERSORTx","Plasma cells","Biopsy","wilcox",0.257442748083792,0.408094430295789,2,NA,25,11,0.0115581489282594,0.00712215013272042,0.0177225653516176,0.0129446766973842
"CIBERSORTx","T cells CD4+ (general)","Biopsy","wilcox",1,1,2,NA,25,11,0.146879445242491,0.154897102465414,0.0778956140889161,0.0630710036353273
"CIBERSORTx","T cells CD8+ (total)","Biopsy","wilcox",0.130778145161627,0.252130838419714,2,NA,25,11,0.0912527193349572,0.121986479781989,0.0527809959233509,0.0439342153947635
"CIBERSORTx","T cells follicular helper","Biopsy","wilcox",0.114170062299678,0.234926858962799,2,NA,25,11,0.0616352682910944,0.0775112484801197,0.0416280637550966,0.0330203733176185
"CIBERSORTx","T cells gamma delta","Biopsy","wilcox",0.0245692940888633,0.0710517423650912,2,NA,25,11,0.00052941321323441,0.00611794818120663,0.00196631791114286,0.00951316634854487
"CIBERSORTx","T cells regulatory (Tregs)","Biopsy","wilcox",0.75696022105169,0.861991281156249,2,NA,25,11,0.0213391635915744,0.0176608336845928,0.0201008928611858,0.0130523012923535
"consensus_tme","B cell","Biopsy","wilcox",0.00540769828003274,0.0236172945291226,2,NA,25,11,-0.0779504391410808,0.0437145632248607,0.0914886995919838,0.119424011694826
"consensus_tme","Cancer associated fibroblast","Biopsy","wilcox",0.191896429991264,0.33177345896234,2,NA,25,11,0.272406595020448,0.235818751170768,0.138441594353457,0.0774916797303338
"consensus_tme","Endothelial cell","Biopsy","wilcox",0.449936901560855,0.605575452415238,2,NA,25,11,0.1996268033376,0.179386855029594,0.124724171123669,0.120469272468514
"consensus_tme","Eosinophil","Biopsy","wilcox",0.000238245057027522,0.00794933952783934,2,NA,25,11,-0.0205915771663952,0.199856922258674,0.116320984550468,0.129563237605627
"consensus_tme","Macrophage","Biopsy","wilcox",0.000404380560402314,0.00794933952783934,2,NA,25,11,0.105489236055052,0.289918338777707,0.102031584066382,0.117015074503723
"consensus_tme","Macrophage M1","Biopsy","wilcox",0.000594343142268362,0.00794933952783934,2,NA,25,11,0.0509360007152027,0.252351441757264,0.122807288604898,0.127907162152425
"consensus_tme","Macrophage M2","Biopsy","wilcox",0.00140418201506217,0.00969338552333237,2,NA,25,11,0.161760729806197,0.324724829679866,0.104308647953952,0.128040372748278
