"version","plot_type","Method","Cell_Type","Timepoint","cluster","n_values","n_groups","output_file","file_exists","status","error_message"
"AGGREGATED","unpaired","CIBERSORTx","B cells memory","Biopsy",NA,7776,2,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/unpaired/Unpaired_CIBERSORTx_Biopsy_B_cells_memory.png",TRUE,"saved",NA
"AGGREGATED","unpaired","CIBERSORTx","B cells memory","Surgery",NA,7776,2,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/unpaired/Unpaired_CIBERSORTx_Surgery_B_cells_memory.png",TRUE,"saved",NA
"AGGREGATED","unpaired","CIBERSORTx","B cells naive","Biopsy",NA,7776,2,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/unpaired/Unpaired_CIBERSORTx_Biopsy_B_cells_naive.png",TRUE,"saved",NA
"AGGREGATED","unpaired","CIBERSORTx","B cells naive","Surgery",NA,7776,2,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/unpaired/Unpaired_CIBERSORTx_Surgery_B_cells_naive.png",TRUE,"saved",NA
"AGGREGATED","unpaired","CIBERSORTx","Dendritic cells activated","Biopsy",NA,7776,2,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/unpaired/Unpaired_CIBERSORTx_Biopsy_Dendritic_cells_activated.png",TRUE,"saved",NA
"AGGREGATED","unpaired","CIBERSORTx","Dendritic cells activated","Surgery",NA,7776,2,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/unpaired/Unpaired_CIBERSORTx_Surgery_Dendritic_cells_activated.png",TRUE,"saved",NA
"AGGREGATED","unpaired","CIBERSORTx","Dendritic cells resting","Biopsy",NA,7776,2,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/unpaired/Unpaired_CIBERSORTx_Biopsy_Dendritic_cells_resting.png",TRUE,"saved",NA
"AGGREGATED","unpaired","CIBERSORTx","Dendritic cells resting","Surgery",NA,7776,2,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/unpaired/Unpaired_CIBERSORTx_Surgery_Dendritic_cells_resting.png",TRUE,"saved",NA
"AGGREGATED","unpaired","CIBERSORTx","Eosinophils","Biopsy",NA,7776,2,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/unpaired/Unpaired_CIBERSORTx_Biopsy_Eosinophils.png",TRUE,"saved",NA
"AGGREGATED","unpaired","CIBERSORTx","Eosinophils","Surgery",NA,7776,2,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/unpaired/Unpaired_CIBERSORTx_Surgery_Eosinophils.png",TRUE,"saved",NA
