"analysis","Method","Cell_Type","Timepoint","reason","k","n_total","n_unique_value","min_cluster_n"
"unpaired_dunn","CIBERSORTx","B cells memory","Biopsy","k<3_after_filter",2,36,18,11
"unpaired_dunn","CIBERSORTx","B cells naive","Biopsy","k<3_after_filter",2,36,27,11
"unpaired_dunn","CIBERSORTx","Dendritic cells activated","Biopsy","k<3_after_filter",2,36,4,11
"unpaired_dunn","CIBERSORTx","Dendritic cells resting","Biopsy","k<3_after_filter",2,36,24,11
"unpaired_global","CIBERSORTx","Eosinophils","Biopsy","no_variation",2,36,1,11
"unpaired_dunn","CIBERSORTx","Eosinophils","Biopsy","k<3_after_filter",2,36,1,11
"unpaired_dunn","CIBERSORTx","Macrophages M0","Biopsy","k<3_after_filter",2,36,28,11
"unpaired_dunn","CIBERSORTx","Macrophages M1","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","CIBERSORTx","Macrophages M2","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","CIBERSORTx","Mast cells activated","Biopsy","k<3_after_filter",2,36,2,11
"unpaired_dunn","CIBERSORTx","Mast cells resting","Biopsy","k<3_after_filter",2,36,35,11
"unpaired_dunn","CIBERSORTx","Monocytes","Biopsy","k<3_after_filter",2,36,29,11
"unpaired_dunn","CIBERSORTx","NK cells activated","Biopsy","k<3_after_filter",2,36,33,11
"unpaired_dunn","CIBERSORTx","NK cells resting","Biopsy","k<3_after_filter",2,36,9,11
"unpaired_dunn","CIBERSORTx","Neutrophils","Biopsy","k<3_after_filter",2,36,15,11
"unpaired_dunn","CIBERSORTx","Plasma cells","Biopsy","k<3_after_filter",2,36,21,11
"unpaired_dunn","CIBERSORTx","T cells CD4 memory activated","Biopsy","k<3_after_filter",2,36,8,11
"unpaired_dunn","CIBERSORTx","T cells CD4 memory resting","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_global","CIBERSORTx","T cells CD4 naive","Biopsy","no_variation",2,36,1,11
"unpaired_dunn","CIBERSORTx","T cells CD4 naive","Biopsy","k<3_after_filter",2,36,1,11
"unpaired_dunn","CIBERSORTx","T cells CD8","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","CIBERSORTx","T cells follicular helper","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","CIBERSORTx","T cells gamma delta","Biopsy","k<3_after_filter",2,36,7,11
"unpaired_dunn","CIBERSORTx","T cells regulatory (Tregs)","Biopsy","k<3_after_filter",2,36,32,11
"unpaired_dunn","consensus_tme","B cell","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","consensus_tme","Cancer associated fibroblast","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","consensus_tme","Endothelial cell","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","consensus_tme","Eosinophil","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","consensus_tme","Macrophage","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","consensus_tme","Macrophage M1","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","consensus_tme","Macrophage M2","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","consensus_tme","Mast cell","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","consensus_tme","Monocyte","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","consensus_tme","Myeloid dendritic cell","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","consensus_tme","NK cell","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","consensus_tme","Neutrophil","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","consensus_tme","T cell CD4+","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","consensus_tme","T cell CD8+","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","consensus_tme","T cell gamma delta","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","consensus_tme","T cell regulatory (Tregs)","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","consensus_tme","cytotoxicity score","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","consensus_tme","immune score","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","epic","B cell","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","epic","Cancer associated fibroblast","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","epic","Endothelial cell","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","epic","Macrophage","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","epic","NK cell","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","epic","T cell CD4+","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","epic","T cell CD8+","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","epic","uncharacterized cell","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","estimate","ESTIMATEScore","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","estimate","ImmuneScore","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","estimate","StromalScore","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","estimate","TumorPurity","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","mcp_counter","B cell","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","mcp_counter","Cancer associated fibroblast","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","mcp_counter","Endothelial cell","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","mcp_counter","Macrophage/Monocyte","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","mcp_counter","Monocyte","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","mcp_counter","Myeloid dendritic cell","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","mcp_counter","NK cell","Biopsy","k<3_after_filter",2,36,32,11
"unpaired_dunn","mcp_counter","Neutrophil","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","mcp_counter","T cell","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","mcp_counter","T cell CD8+","Biopsy","k<3_after_filter",2,36,35,11
"unpaired_dunn","mcp_counter","cytotoxicity score","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","quantiseq","B cell","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","quantiseq","Macrophage M1","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","quantiseq","Macrophage M2","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","quantiseq","Monocyte","Biopsy","k<3_after_filter",2,36,16,11
"unpaired_dunn","quantiseq","Myeloid dendritic cell","Biopsy","k<3_after_filter",2,36,27,11
"unpaired_dunn","quantiseq","NK cell","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","quantiseq","Neutrophil","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","quantiseq","T cell CD4+ (non-regulatory)","Biopsy","k<3_after_filter",2,36,26,11
"unpaired_dunn","quantiseq","T cell CD8+","Biopsy","k<3_after_filter",2,36,35,11
"unpaired_dunn","quantiseq","T cell regulatory (Tregs)","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","quantiseq","uncharacterized cell","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","timer","B cell","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","timer","Macrophage","Biopsy","k<3_after_filter",2,36,28,11
"unpaired_dunn","timer","Myeloid dendritic cell","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","timer","Neutrophil","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","timer","T cell CD4+","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","timer","T cell CD8+","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","xcell","B cell","Biopsy","k<3_after_filter",2,36,28,11
"unpaired_dunn","xcell","B cell memory","Biopsy","k<3_after_filter",2,36,24,11
"unpaired_dunn","xcell","B cell naive","Biopsy","k<3_after_filter",2,36,20,11
"unpaired_dunn","xcell","B cell plasma","Biopsy","k<3_after_filter",2,36,31,11
"unpaired_dunn","xcell","Cancer associated fibroblast","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","xcell","Class-switched memory B cell","Biopsy","k<3_after_filter",2,36,32,11
"unpaired_dunn","xcell","Common lymphoid progenitor","Biopsy","k<3_after_filter",2,36,36,11
