gene_id,H_value,p_value,stat_test_adj_p,cluster1_mean,cluster1_sd,cluster1_sem,cluster1_penetrance,cluster2_mean,cluster2_sd,cluster2_sem,cluster2_penetrance,cluster3_mean,cluster3_sd,cluster3_sem,cluster3_penetrance,cluster1_cluster2_differential,cluster2_cluster1_differential,cluster1_cluster2_sd,cluster2_cluster1_sd,cluster1_cluster3_differential,cluster3_cluster1_differential,cluster1_cluster3_sd,cluster3_cluster1_sd,cluster2_cluster3_differential,cluster3_cluster2_differential,cluster2_cluster3_sd,cluster3_cluster2_sd,limma_test
TSPAN6,1.79331929331929,0.204229061258847,0.432153432685754,0.0267525919974162,0.426541387951807,0.113997981071049,0.642857142857143,0.416972671969409,0.908914970860364,0.274048174970967,0.636363636363636,-0.0472288073263623,0.612015994118137,0.184529765289656,0.363636363636364,-0.390220079971993,0.390220079971993,1.00402389408318,1.00402389408318,0.0739813993237785,-0.0739813993237785,0.745990035249979,0.745990035249979,0.464201479295772,-0.464201479295772,1.09576001081921,1.09576001081921,limma_multi(mod_F)
TNMD,5.56124488548182,0.0117401606174291,0.0633124746424497,0.124476056827004,0.312088903775395,0.0834092680100991,0.5,-0.478063430092897,0.729701830943926,0.220013380188759,0.0909090909090909,-0.0379138135626478,0.329519538035169,0.0993538789776272,0.545454545454545,0.602539486919901,-0.602539486919901,0.793639871694111,0.793639871694111,0.162389870389652,-0.162389870389652,0.45385307072514,0.45385307072514,-0.440149616530249,0.440149616530249,0.800654662154557,0.800654662154557,limma_multi(mod_F)
DPM1,13.4045864045864,0.000381394049510882,0.00554173936226114,0.00259325401386201,0.284188059076365,0.0759524536054309,0.357142857142857,0.522012614052125,0.383329257542756,0.115578119857712,1,-0.107760045861166,0.413508157849634,0.124677400667117,0.454545454545455,-0.519419360038263,0.519419360038263,0.477183583759828,0.477183583759828,0.110353299875028,-0.110353299875028,0.501748791258923,0.501748791258923,0.62977265991329,-0.62977265991329,0.563853098152772,0.563853098152772,limma_multi(mod_F)
SCYL3,4.14355914355915,0.186758526132848,0.409722039794186,0.434353829544543,0.550233172669152,0.147056001068971,0.857142857142857,-0.00329912856789736,0.6025383423264,0.18167214575449,0.454545454545455,0.210723119063367,0.621282916283011,0.187323847451685,0.727272727272727,0.437652958112441,-0.437652958112441,0.815971199417606,0.815971199417606,0.223630710481177,-0.223630710481177,0.829909034997621,0.829909034997621,-0.214022247631264,0.214022247631264,0.865473810140185,0.865473810140185,limma_multi(mod_F)
FIRRM,0.616766116766115,0.606921444593026,0.7856965746583,-0.151934601586148,0.823948061910537,0.220209382297545,0.428571428571429,0.159296397918632,1.06063113477917,0.319792319548307,0.545454545454545,0.129788088393798,0.754096328663325,0.227368597996434,0.636363636363636,-0.311230999504781,0.311230999504781,1.34306694278025,1.34306694278025,-0.281722689979947,0.281722689979947,1.11693853081968,1.11693853081968,0.0295083095248339,-0.0295083095248339,1.30138375468824,1.30138375468824,limma_multi(mod_F)
FGR,25.6790686790687,2.67852573850945e-08,5.7823357677455e-06,0.124017949015783,0.564946700798146,0.150988356869639,0.785714285714286,-0.953150009866794,0.794060801736497,0.239418340008068,0.0909090909090909,1.49397012237249,0.914417956978985,0.275707387714786,1,1.07716795888258,-1.07716795888258,0.974524156497477,0.974524156497477,-1.3699521733567,1.3699521733567,1.07486044433142,1.07486044433142,-2.44712013223928,2.44712013223928,1.21107091324168,1.21107091324168,limma_multi(mod_F)
CFH,11.6929331929332,0.000237316060814112,0.00394395803816446,0.740808371493283,0.962394584571054,0.257210771882252,0.714285714285714,-0.77553215058722,1.27964808451417,0.385828414548227,0.181818181818182,1.10873806075351,0.85233895152524,0.256989863310377,1,1.5163405220805,-1.5163405220805,1.60115663088046,1.60115663088046,-0.367929689260223,0.367929689260223,1.28556797747098,1.28556797747098,-1.88427021134073,1.88427021134073,1.53752427899137,1.53752427899137,limma_multi(mod_F)
FUCA2,0.344857844857842,0.908747347051314,0.968341839136576,0.272653945061385,0.284247138749901,0.0759682433123518,0.785714285714286,0.232917951050566,0.514239419933134,0.155049018938928,0.636363636363636,0.311668389795508,0.468979557145369,0.141402656854384,0.727272727272727,0.0397359940108187,-0.0397359940108187,0.587570095308357,0.587570095308357,-0.0390144447341237,0.0390144447341237,0.548396080317658,0.548396080317658,-0.0787504387449424,0.0787504387449424,0.695977015449097,0.695977015449097,limma_multi(mod_F)
GCLC,0.363285363285343,0.884519339495652,0.954758188944511,0.338128179260732,0.417874296350481,0.11168160340591,0.785714285714286,0.357068717801532,0.545533023929476,0.16448439555655,0.636363636363636,0.431682529053513,0.501479301646047,0.151201698517217,0.727272727272727,-0.0189405385407997,0.0189405385407997,0.68718644322196,0.68718644322196,-0.0935543497927811,0.0935543497927811,0.652763676631762,0.652763676631762,-0.0746138112519814,0.0746138112519814,0.741004568256529,0.741004568256529,limma_multi(mod_F)
NFYA,2.26313326313327,0.45818842941006,0.67776106965214,-0.0294057768210543,0.438321404625738,0.117146322957073,0.571428571428571,0.0141260974324648,0.532617730072339,0.160590287940067,0.363636363636364,-0.223332885295465,0.474982333709476,0.143212562087428,0.272727272727273,-0.043531874253519,0.043531874253519,0.689787866043243,0.689787866043243,0.193927108474411,-0.193927108474411,0.646323348711138,0.646323348711138,0.23745898272793,-0.23745898272793,0.713645474814709,0.713645474814709,limma_multi(mod_F)
STPG1,3.79261729261728,0.152657079899217,0.361635846065467,0.0940804764397703,0.431082914734213,0.115211755159093,0.571428571428571,0.397604354841768,0.284371513633078,0.0857412374351233,0.818181818181818,0.0981073679346751,0.512791742705427,0.154612527831488,0.545454545454545,-0.303523878401998,0.303523878401998,0.516429702032825,0.516429702032825,-0.00402689149490482,0.00402689149490482,0.6699163013113,0.6699163013113,0.299496986907093,-0.299496986907093,0.586363819784983,0.586363819784983,limma_multi(mod_F)
NIPAL3,1.38703638703639,0.490193697559309,0.701546751812241,0.132040116193646,0.549058500785101,0.1467420568024,0.642857142857143,-0.0301378955196541,0.572326369771509,0.172562893287118,0.454545454545455,0.240566323279476,0.485939119245029,0.146516157226503,0.818181818181818,0.1621780117133,-0.1621780117133,0.793109520066564,0.793109520066564,-0.10852620708583,0.10852620708583,0.733213519308678,0.733213519308678,-0.27070421879913,0.27070421879913,0.750795778589936,0.750795778589936,limma_multi(mod_F)
LAS1L,8.91529191529193,0.020139388754442,0.0932040193264613,0.0226867466929064,0.456470837597661,0.121996962953155,0.571428571428571,0.4821038056057,0.558410781222768,0.168367185473196,0.909090909090909,-0.0850333613959172,0.449852531420851,0.135635641610412,0.363636363636364,-0.459417058912794,0.459417058912794,0.721240754646417,0.721240754646417,0.107720108088824,-0.107720108088824,0.640884486941959,0.640884486941959,0.567137167001618,-0.567137167001618,0.717070359596303,0.717070359596303,limma_multi(mod_F)
ENPP4,1.13484263484264,0.40023888404168,0.632553389097819,0.378456241430062,0.401304693569955,0.107253190788791,0.928571428571429,0.116527727354396,0.848431229244891,0.255811640711392,0.545454545454545,0.452398801737192,0.567294958467232,0.171045865699642,0.727272727272727,0.261928514075666,-0.261928514075666,0.938552613250463,0.938552613250463,-0.0739425603071309,0.0739425603071309,0.694887780136918,0.694887780136918,-0.335871074382797,0.335871074382797,1.02061702937994,1.02061702937994,limma_multi(mod_F)
SEMA3F,2.18643968643968,0.165611366927763,0.380105379935737,-0.082880541340874,0.508725398032083,0.135962581670447,0.285714285714286,0.267663096177075,1.00305418268871,0.302432215306823,0.545454545454545,-0.377192983243418,0.857461393560168,0.258534337695849,0.363636363636364,-0.350543637517949,0.350543637517949,1.12468627804034,1.12468627804034,0.294312441902544,-0.294312441902544,0.997016334895796,0.997016334895796,0.644856079420493,-0.644856079420493,1.31960514353933,1.31960514353933,limma_multi(mod_F)
CFTR,6.58821739537496,0.0582849171887982,0.193211486688532,0.30596089285474,0.241199547570573,0.0644632906324263,0.928571428571429,0.0308960298556919,0.298579020010336,0.0900249617860274,0.545454545454545,0.341370858739356,0.421782747772989,0.127172283400738,0.909090909090909,0.275064862999048,-0.275064862999048,0.383831542396638,0.383831542396638,-0.0354099658846158,0.0354099658846158,0.48587849105222,0.48587849105222,-0.310474828883664,0.310474828883664,0.516768920804324,0.516768920804324,limma_multi(mod_F)
ANKIB1,4.37755937755939,0.279427769936314,0.520064564157004,0.368141173682935,0.554353436442709,0.148157187882099,0.785714285714286,0.0413754630136387,0.597211363042729,0.180066001068132,0.454545454545455,0.129449474679215,0.415531450602601,0.125287446385539,0.636363636363636,0.326765710669297,-0.326765710669297,0.814843018404892,0.814843018404892,0.23869169900372,-0.23869169900372,0.692801644726499,0.692801644726499,-0.0880740116655766,0.0880740116655766,0.727549172624955,0.727549172624955,limma_multi(mod_F)
