gene_id,H_value,p_value,stat_test_adj_p,cluster1_mean,cluster1_sd,cluster1_sem,cluster1_penetrance,cluster2_mean,cluster2_sd,cluster2_sem,cluster2_penetrance,cluster3_mean,cluster3_sd,cluster3_sem,cluster3_penetrance,cluster1_cluster2_differential,cluster2_cluster1_differential,cluster1_cluster2_sd,cluster2_cluster1_sd,cluster1_cluster3_differential,cluster3_cluster1_differential,cluster1_cluster3_sd,cluster3_cluster1_sd,cluster2_cluster3_differential,cluster3_cluster2_differential,cluster2_cluster3_sd,cluster3_cluster2_sd,limma_test,Dys-CIM_(C2)_vs_C1_Fun-CIM,Dys-CIM_(C2)_vs_C3_Fun-CIM
DPM1,13.4045864045864,0.000381394049510882,0.00554173936226114,0.00259325401386201,0.284188059076365,0.0759524536054309,0.357142857142857,0.522012614052125,0.383329257542756,0.115578119857712,1,-0.107760045861166,0.413508157849634,0.124677400667117,0.454545454545455,-0.519419360038263,0.519419360038263,0.477183583759828,0.477183583759828,0.110353299875028,-0.110353299875028,0.501748791258923,0.501748791258923,0.62977265991329,-0.62977265991329,0.563853098152772,0.563853098152772,limma_multi(mod_F),TRUE,TRUE
CYP51A1,8.17918567918567,0.00811127579138048,0.0484341379177097,-0.06586238426281,0.655390110551243,0.175160374883046,0.5,0.361358144544761,0.732330501777978,0.220805954266386,0.727272727272727,-0.632015852849641,0.765725855879898,0.230875032384307,0.181818181818182,-0.427220528807571,0.427220528807571,0.982773707850772,0.982773707850772,0.566153468586831,-0.566153468586831,1.00790489797965,1.00790489797965,0.993373997394401,-0.993373997394401,1.05954898433125,1.05954898433125,limma_multi(mod_F),TRUE,TRUE
BAD,13.6501111501111,0.000299433540417709,0.00464183148823308,-0.160565737620197,0.458777697065198,0.122613497079367,0.357142857142857,0.541827128746509,0.413412317365204,0.124648503673792,0.909090909090909,-0.0468502762869521,0.311667656490617,0.0939713341698865,0.272727272727273,-0.702392866366706,0.702392866366706,0.617565154031309,0.617565154031309,-0.113715461333245,0.113715461333245,0.55462933877212,0.55462933877212,0.588677405033461,-0.588677405033461,0.517732046769003,0.517732046769003,limma_multi(mod_F),TRUE,TRUE
DBNDD1,13.4165204165204,0.00072890648560679,0.00882401013310168,-0.487210395166921,0.724519035605209,0.19363585724504,0.285714285714286,0.601352549945835,0.713446950446339,0.215112349313981,0.818181818181818,-0.855967209822469,1.10932446169274,0.334473910017983,0.363636363636364,-1.08856294511276,1.08856294511276,1.01682564093137,1.01682564093137,0.368756814655549,-0.368756814655549,1.32496361997762,1.32496361997762,1.4573197597683,-1.4573197597683,1.3189417395818,1.3189417395818,limma_multi(mod_F),TRUE,TRUE
POLDIP2,9.27401427401428,0.00835822001885682,0.0493515218305707,0.115500750088088,0.487469792116158,0.130281782035756,0.642857142857143,0.549064580892748,0.415360793963819,0.125235991472919,0.818181818181818,-0.124574950267997,0.554039970000689,0.167049336304732,0.363636363636364,-0.43356383080466,0.43356383080466,0.640430626522518,0.640430626522518,0.240075700356085,-0.240075700356085,0.73796143976778,0.73796143976778,0.673639531160745,-0.673639531160745,0.692448465606371,0.692448465606371,limma_multi(mod_F),TRUE,TRUE
FKBP4,12.012519012519,0.0010846093045552,0.0115480596110568,-0.305994397180751,0.734213543822207,0.196226823550845,0.357142857142857,0.48846827115393,0.710263530260434,0.214152512013373,0.818181818181818,-0.829940922397931,0.873893646522115,0.263488848380848,0.0909090909090909,-0.794462668334681,0.794462668334681,1.02153992107503,1.02153992107503,0.52394652521718,-0.52394652521718,1.14138496282529,1.14138496282529,1.31840919355186,-1.31840919355186,1.1261280512667,1.1261280512667,limma_multi(mod_F),TRUE,TRUE
NDUFAB1,17.9299754299755,1.71777345199632e-05,0.000587095559780841,-0.211532784866078,0.367429276010842,0.0981996046216405,0.285714285714286,0.456384875362869,0.242499733572074,0.0731164207290654,1,-0.32784223958662,0.456682346123542,0.137694908224637,0.272727272727273,-0.667917660228948,0.667917660228948,0.440239018775458,0.440239018775458,0.116309454720541,-0.116309454720541,0.586142506674575,0.586142506674575,0.784227114949489,-0.784227114949489,0.517073385549314,0.517073385549314,limma_multi(mod_F),TRUE,TRUE
SLC25A5,11.944424944425,0.000625127257829368,0.00789092617341177,-0.265833926016808,0.552897502457748,0.147768073157135,0.285714285714286,0.526113106394397,0.585151081635369,0.176429689405013,0.818181818181818,-0.268577251484262,0.39209362467427,0.118220675975908,0.0909090909090909,-0.791947032411206,0.791947032411206,0.805044990396846,0.805044990396846,0.00274332546745337,-0.00274332546745337,0.677814914806559,0.677814914806559,0.794690357878659,-0.794690357878659,0.704371492075915,0.704371492075915,limma_multi(mod_F),TRUE,TRUE
POLR2J,10.8153738153738,0.00355306920675236,0.0269615251571209,-0.138298766445908,0.562981269948886,0.150463073379973,0.428571428571429,0.431419372576098,0.409187892675575,0.123374791705554,0.909090909090909,-0.172270034934209,0.303730888702634,0.0915783086425303,0.272727272727273,-0.569718139022005,0.569718139022005,0.695976035381634,0.695976035381634,0.0339712684883011,-0.0339712684883011,0.639687707452122,0.639687707452122,0.603689407510307,-0.603689407510307,0.509595117975408,0.509595117975408,limma_multi(mod_F),TRUE,TRUE
CIAPIN1,9.11846261846263,0.00332553712532738,0.0256676626864014,-0.00341467155076752,0.302256197803375,0.0807813668006573,0.428571428571429,0.452959467191793,0.523833107171871,0.157941624477739,0.727272727272727,-0.199545099451551,0.479623745361165,0.144612000355268,0.363636363636364,-0.45637413874256,0.45637413874256,0.604780896920438,0.604780896920438,0.196130427900783,-0.196130427900783,0.566919523587629,0.566919523587629,0.652504566643343,-0.652504566643343,0.710239439403085,0.710239439403085,limma_multi(mod_F),TRUE,TRUE
