"sample_id","comparison","rho","p_value","abs_rho","padj","cell_line"
"BT549_EPI_R1","Delta vs Pre",-0.141463818507095,5.59889565679031e-13,0.141463818507095,1.67966869703709e-12,"BT549"
"BT549_EPI_R2","Delta vs Pre",-0.161978733469474,1.35548179829087e-16,0.161978733469474,6.09966809230893e-16,"BT549"
"BT549_EPI_R3","Delta vs Pre",-0.107838529979102,4.14669878953649e-08,0.107838529979102,7.99720480839181e-08,"BT549"
"DU4475_EPI_R1","Delta vs Pre",-0.155778348143929,1.89424349115868e-15,0.155778348143929,7.30636775161205e-15,"DU4475"
"DU4475_EPI_R2","Delta vs Pre",-0.00691441067374846,0.725863185717622,0.00691441067374846,0.725863185717622,"DU4475"
"DU4475_EPI_R3","Delta vs Pre",-0.032834615352612,0.0958148207400827,0.032834615352612,0.129350007999112,"DU4475"
"HCC1395_EPI_R1","Delta vs Pre",-0.0907398270106771,4.00876392823944e-06,0.0907398270106771,6.76478912890406e-06,"HCC1395"
"HCC1395_EPI_R2","Delta vs Pre",-0.0894012222467151,5.55565064139827e-06,0.0894012222467151,8.82368043045608e-06,"HCC1395"
"HCC1395_EPI_R3","Delta vs Pre",0.0653652481858496,0.000905937377380476,0.0653652481858496,0.00128738469417225,"HCC1395"
"HCC1806_EPI_R1","Delta vs Pre",-0.0155556823853088,0.430184624398728,0.0155556823853088,0.504999341685463,"HCC1806"
"HCC1806_EPI_R2","Delta vs Pre",0.00901120101712929,0.64769482200136,0.00901120101712929,0.672606161309104,"HCC1806"
"HCC1806_EPI_R3","Delta vs Pre",0.0102120990912163,0.604549923791701,0.0102120990912163,0.652913917695037,"HCC1806"
"HCC38_EPI_R1","Delta vs Pre",-0.171156521964236,2.25127375828555e-18,0.171156521964236,1.2156878294742e-17,"HCC38"
"HCC38_EPI_R2","Delta vs Pre",-0.125110215134427,1.89801473973055e-10,0.125110215134427,4.27053316439373e-10,"HCC38"
"HCC38_EPI_R3","Delta vs Pre",-0.180134983968609,3.25901786050692e-20,0.180134983968609,2.19983705584217e-19,"HCC38"
"Hs578t_EPI_R1","Delta vs Pre",-0.120326895196436,9.12354651070768e-10,0.120326895196436,1.89489042914698e-09,"Hs578t"
"Hs578t_EPI_R2","Delta vs Pre",-0.105124287463184,9.00853525014107e-08,0.105124287463184,1.62153634502539e-07,"Hs578t"
"Hs578t_EPI_R3","Delta vs Pre",-0.0726362257460813,0.000225799432706182,0.0726362257460813,0.000338699149059272,"Hs578t"
"MDAMB157_EPI_R1","Delta vs Pre",-0.146313301284116,8.67073448564971e-14,0.146313301284116,2.92637288890678e-13,"MDAMB157"
"MDAMB157_EPI_R2","Delta vs Pre",-0.126414921659943,1.22395422704038e-10,0.126414921659943,3.00425128455367e-10,"MDAMB157"
"MDAMB157_EPI_R3","Delta vs Pre",-0.136675412682777,3.31910291186792e-12,0.136675412682777,8.96157786204339e-12,"MDAMB157"
"MDAMB231_EPI_R1","Delta vs Pre",-0.240691121924981,3.03562774359518e-35,0.240691121924981,2.73206496923566e-34,"MDAMB231"
"MDAMB231_EPI_R2","Delta vs Pre",-0.255392085872862,1.30742187974822e-39,0.255392085872862,1.76501953766009e-38,"MDAMB231"
"MDAMB231_EPI_R3","Delta vs Pre",-0.262601897020496,7.39004115807883e-42,0.262601897020496,1.99531111268128e-40,"MDAMB231"
"MDAMB468_EPI_R1","Delta vs Pre",-0.0147225898881612,0.455291518712122,0.0147225898881612,0.512202958551137,"MDAMB468"
"MDAMB468_EPI_R2","Delta vs Pre",-0.0227849235058704,0.247856033972862,0.0227849235058704,0.304186950784876,"MDAMB468"
"MDAMB468_EPI_R3","Delta vs Pre",-0.0300067842086841,0.128012706090726,0.0300067842086841,0.16458776497379,"MDAMB468"
