"gene_id","r_rb","p_value","padj","trajectory"
"TSPAN6",0.173358608547439,0.385160466287465,0.990147405061302,"NS"
"TNMD",-0.4153470852664,0.0304908198075665,0.38950402042524,"NS"
"DPM1",-0.24470732383705,0.216677320682134,0.803374089025464,"NS"
"SCYL3",0.236970627212527,0.232017523411386,0.823932878687529,"NS"
"FIRRM",0.0465664968514526,0.816830587978205,1,"NS"
"FGR",-0.172229769629546,0.388310209178764,0.99371357252296,"NS"
"CFH",-0.0542769851609647,0.787138458350555,1,"NS"
"FUCA2",0.0561555910849759,0.779946325426338,1,"NS"
"GCLC",-0.370276926268457,0.0562276666095791,0.474974548461825,"NS"
"NFYA",0.252244053829666,0.202407168599169,0.78128038690741,"NS"
"STPG1",-0.311210037450984,0.11255191458481,0.608656325158143,"NS"
"NIPAL3",-0.338237770286795,0.0830971610713741,0.565872238606307,"NS"
"LAS1L",0.139304897117102,0.486468171850493,1,"NS"
"ENPP4",0.396819091791573,0.0395812124367367,0.407450806351243,"NS"
"SEMA3F",-0.439276521674529,0.0213219132347917,0.328386586428991,"NS"
"CFTR",-0.501354773347973,0.00746292005917711,0.200269351115488,"NS"
"ANKIB1",0.551989269399411,0.00271966318863479,0.117315223136225,"NS"
"CYP51A1",0.25818619344464,0.191619708249304,0.764505036160221,"NS"
"KRIT1",0.251506660451928,0.203774235345965,0.78272947317766,"NS"
"RAD52",-0.250474690601535,0.205697995729979,0.786559160883573,"NS"
"MYH16",-0.199908721490712,0.315380567816409,0.928589189006446,"NS"
"BAD",-0.33516457851898,0.0861143251588169,0.573713520667448,"NS"
"LAP3",-0.249844955263996,0.206877992891754,0.788173004715862,"NS"
"CD99",0.0147061098732046,0.941716324175845,1,"NS"
"HS3ST1",0.13200113625284,0.509821057609884,1,"NS"
"AOC1",-0.35284301925486,0.0698444156946646,0.522222626813586,"NS"
"WNT16",0.112366517348151,0.575212025090434,1,"NS"
"HECW1",0.0488262687958768,0.808100941910107,1,"NS"
"MAD1L1",-0.081863712487788,0.683524862054816,1,"NS"
"LASP1",-0.254576295703278,0.1981247398664,0.774944596983878,"NS"
"SNX11",-0.0219450819106183,0.913115759524009,1,"NS"
"TMEM176A",-0.259417796314341,0.189434510618187,0.761629485500694,"NS"
"M6PR",-0.162204370468313,0.41692360628967,1,"NS"
"KLHL13",-0.252124780922308,0.202627864270307,0.781749967377871,"NS"
"CYP26B1",-0.432678800294799,0.0235888158305045,0.345048037337515,"NS"
"ICA1",0.140104378247557,0.483945361793882,1,"NS"
"DBNDD1",-0.186791971953457,0.348815805591546,0.964233703402394,"NS"
"ALS2",-0.142079914857494,0.477740135808784,1,"NS"
"CASP10",-0.0905365914959173,0.651977638405469,1,"NS"
"CFLAR",0.456135364693179,0.0163271637672905,0.292230315301537,"NS"
"TFPI",0.186386077140305,0.349882982563053,0.965385900335194,"NS"
"NDUFAF7",0.312034641721257,0.111552304540106,0.60592578087345,"NS"
"RBM5",-0.118227660020442,0.555308085887029,1,"NS"
"MTMR7",-0.216406711229603,0.2762429224755,0.886357981985209,"NS"
"SLC7A2",0.508001422806627,0.00659268783422131,0.187454623966411,"NS"
"ARF5",-0.173416609495623,0.384999026301683,0.990147405061302,"NS"
"SARM1",0.0503996608687685,0.802035982720914,1,"NS"
"POLDIP2",-0.186383991816725,0.349888470304878,0.965385900335194,"NS"
"PLXND1",0.164833982845962,0.409307863319687,1,"NS"
"AK2",0.0127622402923126,0.949409880874545,1,"NS"
"CD38",-0.340549095630645,0.0808814656700305,0.558509164904344,"NS"
"FKBP4",0.0193915290033883,0.923194381260352,1,"NS"
"KDM1A",0.393048646160832,0.0416716059417125,0.412545240209614,"NS"
"RBM6",-0.0509210777862191,0.800028525602714,1,"NS"
"CAMKK1",0.359025969640173,0.0647518331886234,0.504938914961907,"NS"
"RECQL",0.0529482988862379,0.792235607349191,1,"NS"
"VPS50",0.275476174492071,0.162509172253579,0.714565984308367,"NS"
"HSPB6",-0.140839285803409,0.481632210231996,1,"NS"
"ARHGAP33",-0.378375561145518,0.0506547189497938,0.451527755634683,"NS"
"NDUFAB1",0.188874837392824,0.343370148261001,0.961709492137548,"NS"
"PDK4",-0.236889888848739,0.232181328937861,0.82425729314218,"NS"
"SLC22A16",-0.369834607202664,0.0565453009306193,0.476129047691023,"NS"
"ZMYND10",-0.251519685338535,0.203750033676444,0.78272947317766,"NS"
"ABCB5",-0.230877353676743,0.244596796159594,0.842968795112825,"NS"
"ARX",-0.312243474660815,0.111300197912921,0.605438311662967,"NS"
"SLC25A13",0.472891824659707,0.0123610071534126,0.256757635956095,"NS"
"ST7",0.00963959813609393,0.96177784301416,1,"NS"
"CDC27",0.667883177897782,0.000131972431109352,0.0233561612832362,"Dys-CIM"
"SLC4A1",-0.255468173426683,0.196503658506738,0.771931855534457,"NS"
"CALCR",-0.309963633320916,0.114075404220725,0.611646555592949,"NS"
"HCCS",-0.188391340028768,0.344629684386052,0.961709492137548,"NS"
"DVL2",-0.210718456983684,0.289368716486419,0.898982624068408,"NS"
"PRSS22",0.309784843547647,0.114295184124613,0.612291376633101,"NS"
"UPF1",-0.281842562893459,0.152624860116433,0.694550905662167,"NS"
"SKAP2",0.420514846974446,0.028281346002677,0.375531125921114,"NS"
"SLC25A5",-0.214680167247566,0.280185984154017,0.890897522608962,"NS"
"MCUB",0.146231038657752,0.464835675492821,1,"NS"
"HOXA11",-0.46341970081847,0.0144904691076068,0.27761206495185,"NS"
"POLR2J",-0.782385621102006,1.28659468871476e-06,0.00181345521374345,"Fun-CIM"
"DHX33",0.0455515559570981,0.820758391658108,1,"NS"
"MEOX1",-0.128670295369585,0.520650722331656,1,"NS"
"THSD7A",-0.334850289183822,0.0864275052019601,0.574584112238216,"NS"
"LIG3",0.225328451328572,0.256436182230489,0.856914975109124,"NS"
"RPAP3",-0.332953918135847,0.088335538954731,0.57997843626475,"NS"
"ACSM3",0.139626564675397,0.485452328969478,1,"NS"
"REXO5",-0.600884385968091,0.000873129391824876,0.0648562021711638,"NS"
"CIAPIN1",-0.0979366695839593,0.625512511330376,1,"NS"
"SPPL2B",-0.364624155052938,0.060393443884656,0.490429558920131,"NS"
"ATOSB",0.101651054174529,0.612394958801452,1,"NS"
"COPZ2",-0.401486131163792,0.03711036607027,0.407450806351243,"NS"
"PRKAR2B",0.261034021571426,0.186593135440805,0.75610346455308,"NS"
"MSL3",0.0999544950009371,0.618372303007993,1,"NS"
"CREBBP",-0.163517414919403,0.413111075777744,1,"NS"
"TSPOAP1",-0.0536894674950999,0.789391269753183,1,"NS"
"MPO",-0.382375594777394,0.0480674058715097,0.441995309899293,"NS"
"PON1",-0.345200000793276,0.0765597658846725,0.545595471362312,"NS"
"GCFC2",0.156189397708326,0.434635551995994,1,"NS"
"WDR54",0.362226328499866,0.0622313998178052,0.496618021475988,"NS"
"CROT",0.426283272189569,0.0259698805434573,0.361845474149369,"NS"
"ABCB4",-0.344512556635137,0.0771871685550225,0.547711886152003,"NS"
"KMT2E",0.355632508660402,0.0675099610221281,0.51435291924697,"NS"
"RHBDD2",-0.383259003201286,0.0475103032018574,0.440250205426924,"NS"
"SOX8",-0.165259151901217,0.408083855913269,1,"NS"
"IBTK",0.54363967646381,0.00324704939581601,0.128986463467815,"NS"
