gene_id,H_value,p_value.x,stat_test_adj_p,cluster1_mean,cluster1_sd,cluster1_sem,cluster2_mean,cluster2_sd,cluster2_sem,cluster1_penetrance,cluster2_penetrance,limma_test,cluster1_cluster2_differential,cluster2_cluster1_differential,cluster1_cluster2_sd,cluster2_cluster1_sd,r_rb,p_value.y,padj,trajectory
CDC27,14,0.000131972431109352,0.0233561612832363,-0.615925435410156,0.451794978634337,0.116652961876728,0.140062925038339,0.229287551718364,0.066189614853214,0.133333333333333,0.75,limma_dupcor_2grp(mod_t),-0.755988360448495,0.755988360448495,0.50664729752778,0.50664729752778,0.667883177897782,0.000131972431109352,0.0233561612832362,Dys-CIM
ITGA3,18,0.000116385616001024,0.0215646700520958,-1.34774439795797,0.881021637060094,0.227478808532143,-0.0470250929329985,0.350069723288812,0.101056424487967,0.0666666666666667,0.583333333333333,limma_dupcor_2grp(mod_t),-1.30071930502497,1.30071930502497,0.948023172781949,0.948023172781949,0.671820815788505,0.000116385616001024,0.0215646700520958,Dys-CIM
PHTF2,7,9.201588097351e-05,0.018914056033857,-0.466356380105741,0.40099624213541,0.103536784512147,0.227141628405605,0.201550682258274,0.0581826703285836,0.133333333333333,0.75,limma_dupcor_2grp(mod_t),-0.693498008511346,0.693498008511346,0.448799135165718,0.448799135165718,0.679029519712972,9.201588097351e-05,0.018914056033857,Dys-CIM
PAFAH1B1,0,4.65154139105064e-07,0.000944588074517895,-0.427468665133735,0.233765600721556,0.0603580185673841,0.155037228911153,0.111993792996972,0.0323298232671845,0,0.916666666666667,limma_dupcor_2grp(mod_t),-0.582505894044888,0.582505894044888,0.25920834429192,0.25920834429192,0.801004283642398,4.65154139105064e-07,0.000944588074517894,Dys-CIM
BLTP2,10,0.000144326964083108,0.0246379086868794,-0.46060867866056,0.346476012938555,0.089459721864758,0.101025912468355,0.180271900777127,0.0520400152204999,0.0666666666666667,0.666666666666667,limma_dupcor_2grp(mod_t),-0.561634591128915,0.561634591128915,0.3905682856449,0.3905682856449,0.665044107734925,0.000144326964083108,0.0246379086868794,Dys-CIM
SPAG9,4,4.89103893163357e-05,0.0128224728394717,-0.499918925132776,0.32705419032463,0.0844450288289761,0.0733182948060317,0.160539831476618,0.0463438574593413,0,0.75,limma_dupcor_2grp(mod_t),-0.573237219938808,0.573237219938808,0.364331553532548,0.364331553532548,0.697486802331664,4.89103893163357e-05,0.0128224728394717,Dys-CIM
CSDE1,26,0.000474408710828499,0.0471019224693272,-0.468397843082258,0.466928164305866,0.120560333615455,0.0935790239015286,0.0704762621252207,0.0203447444547374,0.2,0.833333333333333,limma_dupcor_2grp(mod_t),-0.561976866983787,0.561976866983787,0.472216914293832,0.472216914293832,0.624251832918542,0.000474408710828499,0.0471019224693272,Dys-CIM
UBE3C,7,1.62663176087789e-05,0.00723912123879504,-0.567108887430259,0.312855325889809,0.0807788977962351,0.198461619868495,0.286556538984427,0.0827217474603532,0,0.75,limma_dupcor_2grp(mod_t),-0.765570507298754,0.765570507298754,0.4242559427661,0.4242559427661,0.726700934783191,1.62663176087789e-05,0.00723912123879504,Dys-CIM
STARD3NL,4,3.16251860198431e-05,0.00975093430827444,-0.237659354699473,0.175879793753411,0.0454119674760904,0.162734224814768,0.148396892925183,0.0428384930386291,0.0666666666666667,0.833333333333333,limma_dupcor_2grp(mod_t),-0.400393579514241,0.400393579514241,0.230120272206928,0.230120272206928,0.709480592197387,3.16251860198431e-05,0.00975093430827444,Dys-CIM
PLAUR,7,3.60270278331242e-05,0.0103032078294354,-0.840208806980641,0.524731578912494,0.135485111090481,0.340587861901333,0.466420225604064,0.134643921403996,0,0.666666666666667,limma_dupcor_2grp(mod_t),-1.18079666888197,1.18079666888197,0.702062003501503,0.702062003501503,0.705956482821406,3.60270278331242e-05,0.0103032078294354,Dys-CIM
