"sample_id","item_consensus_cluster1","item_consensus_cluster2"
"delta_DU4475_EPI_R2",0,1
"delta_DU4475_EPI_R1",0,1
"delta_DU4475_EPI_R3",0,1
"delta_HCC1395_EPI_R1",0,1
"delta_HCC1395_EPI_R2",0,1
"delta_HCC1395_EPI_R3",0,1
"delta_HCC1806_EPI_R1",0,1
"delta_HCC1806_EPI_R2",0,1
"delta_HCC1806_EPI_R3",0,1
"delta_MDAMB468_EPI_R1",0,1
"delta_MDAMB468_EPI_R2",0,1
"delta_MDAMB468_EPI_R3",0,1
"delta_BT549_EPI_R2",1,0
"delta_BT549_EPI_R1",1,0
"delta_BT549_EPI_R3",1,0
"delta_HCC38_EPI_R1",1,0
"delta_HCC38_EPI_R2",1,0
"delta_HCC38_EPI_R3",1,0
"delta_Hs578t_EPI_R1",1,0
"delta_Hs578t_EPI_R2",1,0
"delta_Hs578t_EPI_R3",1,0
"delta_MDAMB231_EPI_R1",1,0
"delta_MDAMB231_EPI_R2",1,0
"delta_MDAMB231_EPI_R3",1,0
"delta_MDAMB157_EPI_R1",1,0
"delta_MDAMB157_EPI_R2",1,0
"delta_MDAMB157_EPI_R3",1,0
