"gene_set","iteration","before","after"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE",0,477,"46"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE",1,46,"46"
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION",0,115,"8"
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION",1,8,"7"
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION",2,7,"7"
"GOBP_B_CELL_ACTIVATION",0,282,"69"
"GOBP_B_CELL_ACTIVATION",1,69,"69"
"GOBP_CELLULAR_RESPONSE_TO_STRESS",0,1891,"190; immediate convergence to zero retained top 10% by pval then eff_size"
"GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE",0,69,"21"
"GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE",1,21,"19"
"GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE",2,19,"19"
"GOBP_INFLAMMASOME_MEDIATED_SIGNALING_PATHWAY",0,59,"9"
"GOBP_INFLAMMASOME_MEDIATED_SIGNALING_PATHWAY",1,9,"2"
"GOBP_INFLAMMASOME_MEDIATED_SIGNALING_PATHWAY",2,2,"2"
"GOBP_INFLAMMATORY_CELL_APOPTOTIC_PROCESS",0,22,"5"
"GOBP_INFLAMMATORY_CELL_APOPTOTIC_PROCESS",1,5,"2"
"GOBP_INFLAMMATORY_CELL_APOPTOTIC_PROCESS",2,2,"2"
"GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY",0,321,"28"
"GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY",1,28,"28"
"GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS",0,67,"8"
"GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS",1,8,"6"
"GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS",2,6,"6"
"GOBP_LEUKOCYTE_CHEMOTAXIS_INVOLVED_IN_INFLAMMATORY_RESPONSE",0,8,"3"
"GOBP_LEUKOCYTE_CHEMOTAXIS_INVOLVED_IN_INFLAMMATORY_RESPONSE",1,3,"1"
"GOBP_LEUKOCYTE_MIGRATION_INVOLVED_IN_INFLAMMATORY_RESPONSE",0,21,"1"
"GOBP_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS",0,281,"72"
"GOBP_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS",1,72,"72"
"GOBP_T_CELL_ACTIVATION",0,585,"42"
"GOBP_T_CELL_ACTIVATION",1,42,"42"
"HALLMARK_INFLAMMATORY_RESPONSE",0,200,"14"
"HALLMARK_INFLAMMATORY_RESPONSE",1,14,"14"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0,113,"49"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",1,49,"40"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",2,40,"40"
"REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS",0,197,"32"
"REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS",1,32,"31"
"REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS",2,31,"31"
"REACTOME_CELLULAR_RESPONSE_TO_MITOCHONDRIAL_STRESS",0,9,"4"
"REACTOME_CELLULAR_RESPONSE_TO_MITOCHONDRIAL_STRESS",1,4,"3"
"REACTOME_CELLULAR_RESPONSE_TO_MITOCHONDRIAL_STRESS",2,3,"3"
"WP_MOLECULAR_PATHWAY_FOR_OXIDATIVE_STRESS",0,48,"5"
"WP_MOLECULAR_PATHWAY_FOR_OXIDATIVE_STRESS",1,5,"5"
"WP_OXIDATIVE_STRESS_RESPONSE",0,33,"5"
"WP_OXIDATIVE_STRESS_RESPONSE",1,5,"5"
"Analysis by all genes",0,3101,"311; immediate convergence to zero retained top 10% by pval then eff_size"
"Analysis gene set then all genes",0,455,"140"
"Analysis gene set then all genes",1,140,"140"
