"","x"
"1","CD1E"
"2","CLECL1P"
"3","FCGR1BP"
"4","GML"
"5","IFNA16"
"6","IFNA17"
"7","IFNA5"
"8","IFNA6"
"9","IFNA7"
"10","IFNA8"
"11","IGHA1"
"12","IGHA2"
"13","IGHD"
"14","IGHD1-1"
"15","IGHE"
"16","IGHG1"
"17","IGHG2"
"18","IGHG3"
"19","IGHG4"
"20","IGHJ1"
"21","IGHM"
"22","IGHV1-18"
"23","IGHV1-24"
"24","IGHV1-3"
"25","IGHV1-45"
"26","IGHV1-58"
"27","IGHV1-69"
"28","IGHV1-69-2"
"29","IGHV1-69D"
"30","IGHV2-26"
"31","IGHV2-5"
"32","IGHV2-70"
"33","IGHV2-70D"
"34","IGHV3-11"
"35","IGHV3-13"
"36","IGHV3-15"
"37","IGHV3-16"
"38","IGHV3-20"
"39","IGHV3-21"
"40","IGHV3-23"
"41","IGHV3-30"
"42","IGHV3-33"
"43","IGHV3-35"
"44","IGHV3-38"
"45","IGHV3-43"
"46","IGHV3-48"
"47","IGHV3-49"
"48","IGHV3-53"
"49","IGHV3-64"
"50","IGHV3-64D"
"51","IGHV3-66"
"52","IGHV3-7"
"53","IGHV3-72"
"54","IGHV3-73"
"55","IGHV3-74"
"56","IGHV4-28"
"57","IGHV4-31"
"58","IGHV4-34"
"59","IGHV4-39"
"60","IGHV4-4"
"61","IGHV4-59"
"62","IGHV4-61"
"63","IGHV5-10-1"
"64","IGHV5-51"
"65","IGHV6-1"
"66","IGHV7-4-1"
"67","IGHV7-81"
"68","IGHV8-51-1"
"69","IGKC"
"70","IGKJ1"
"71","IGKV1-12"
"72","IGKV1-13"
"73","IGKV1-16"
"74","IGKV1-17"
"75","IGKV1-27"
"76","IGKV1-37"
"77","IGKV1-39"
"78","IGKV1-5"
"79","IGKV1-6"
"80","IGKV1-8"
"81","IGKV1-9"
"82","IGKV1D-12"
"83","IGKV1D-13"
"84","IGKV1D-17"
"85","IGKV1D-33"
"86","IGKV1D-37"
"87","IGKV1D-39"
"88","IGKV1D-42"
"89","IGKV1D-43"
"90","IGKV1D-8"
"91","IGKV2-24"
"92","IGKV2-28"
"93","IGKV2-29"
"94","IGKV2-30"
"95","IGKV2-40"
"96","IGKV2D-24"
"97","IGKV2D-26"
"98","IGKV2D-28"
"99","IGKV2D-29"
"100","IGKV2D-30"
"101","IGKV3-15"
"102","IGKV3-20"
"103","IGKV3-7"
"104","IGKV3D-11"
"105","IGKV3D-15"
"106","IGKV3D-20"
"107","IGKV3D-7"
"108","IGKV4-1"
"109","IGKV5-2"
"110","IGKV6-21"
"111","IGKV6D-21"
"112","IGKV6D-41"
