gene_id,H_value,p_value.x,stat_test_adj_p,cluster1_mean,cluster1_sd,cluster1_sem,cluster2_mean,cluster2_sd,cluster2_sem,cluster1_penetrance,cluster2_penetrance,limma_test,cluster1_cluster2_differential,cluster2_cluster1_differential,cluster1_cluster2_sd,cluster2_cluster1_sd,r_rb,p_value.y,padj,trajectory
POLR2J,180,1.28659468871476e-06,0.00181345521374345,0.447885082656689,0.27648811104476,0.0713889233000469,-0.107648530043467,0.0835874271959529,0.0241296117962258,1,0.166666666666667,limma_dupcor_2grp(mod_t),0.555533612700156,-0.555533612700156,0.288846903279814,0.288846903279814,-0.782385621102006,1.28659468871476e-06,0.00181345521374345,Fun-CIM
PAF1,177,3.48871229093378e-05,0.01016129293535,0.376239676037395,0.241022845189529,0.0622318310316383,-0.114800118531286,0.127364220640898,0.0367668835360746,1,0.166666666666667,limma_dupcor_2grp(mod_t),0.491039794568681,-0.491039794568681,0.272605312865907,0.272605312865907,-0.70683066049423,3.48871229093378e-05,0.01016129293535,Fun-CIM
E2F2,179,5.62710458330507e-05,0.0139234676792927,1.19151617998813,0.473012391230371,0.122131274252332,0.0412361904807141,0.395114559432239,0.114059748624472,1,0.5,limma_dupcor_2grp(mod_t),1.15027998950742,-1.15027998950742,0.616324782345158,0.616324782345158,-0.693505386492627,5.62710458330507e-05,0.0139234676792927,Fun-CIM
MGST1,179,2.56631711658653e-05,0.00896303286046053,0.582273192531045,0.350487216462669,0.0904954101612341,-0.128770104787172,0.233229613172013,0.067327589973927,1,0.25,limma_dupcor_2grp(mod_t),0.711043297318217,-0.711043297318217,0.420995654804318,0.420995654804318,-0.715025727419175,2.56631711658653e-05,0.00896303286046051,Fun-CIM
BRCA1,169,0.0004706345233716,0.0470123502022191,0.576003666731483,0.396207037851999,0.102300217283398,-0.172851067160227,0.25048844835396,0.0723097865430253,0.933333333333333,0.25,limma_dupcor_2grp(mod_t),0.74885473389171,-0.74885473389171,0.468747778237113,0.468747778237113,-0.624545944881919,0.0004706345233716,0.0470123502022191,Fun-CIM
CP,175,3.37314895685196e-05,0.0100165549355566,0.546701228987855,0.465560584830337,0.120207226113232,-0.659487793177415,0.521379317142662,0.15050924455111,1,0.0833333333333333,limma_dupcor_2grp(mod_t),1.20618902216527,-1.20618902216527,0.698987160462704,0.698987160462704,-0.707743239108218,3.37314895685196e-05,0.0100165549355566,Fun-CIM
CYBA,174,9.99820338397366e-05,0.0197682984736335,0.574822153508807,0.399989867619096,0.103276939729365,-0.0540499071533584,0.134473273991324,0.0388190904688507,1,0.416666666666667,limma_dupcor_2grp(mod_t),0.628872060662166,-0.628872060662166,0.421989283769017,0.421989283769017,-0.676504307325623,9.99820338397366e-05,0.0197682984736334,Fun-CIM
SYNE2,176,1.07796894102245e-06,0.0015797510174167,0.515344200364498,0.311348296228754,0.0803897844109346,-0.525600816430827,0.371706729971833,0.107302490304417,0.866666666666667,0.166666666666667,limma_dupcor_2grp(mod_t),1.04094501679532,-1.04094501679532,0.484874885584829,0.484874885584829,-0.785758940418006,1.07796894102245e-06,0.00157975101741671,Fun-CIM
POLD1,167,8.57661102313634e-05,0.0184460234680708,0.48919341188747,0.201904790719858,0.0521315927985003,0.0264845902850498,0.217863281519725,0.0628917121159742,1,0.333333333333333,limma_dupcor_2grp(mod_t),0.46270882160242,-0.46270882160242,0.297035273915696,0.297035273915696,-0.681149956723543,8.57661102313634e-05,0.0184460234680708,Fun-CIM
CA11,161,0.000476973770297442,0.0472844765595141,1.26684982607745,0.537211981048048,0.138707537065479,0.331647876762058,0.457933202872012,0.132193928974512,1,0.833333333333333,limma_dupcor_2grp(mod_t),0.935201949315392,-0.935201949315392,0.705903343861033,0.705903343861033,-0.624053110743169,0.000476973770297442,0.0472844765595142,Fun-CIM
COL17A1,169,0.000354705991261191,0.0402265133652706,0.932581513660392,0.448606989060046,0.115829826508121,0.0983641260393075,0.290719377420656,0.083923455406228,1,0.416666666666667,limma_dupcor_2grp(mod_t),0.834217387621085,-0.834217387621085,0.534570843800309,0.534570843800309,-0.634772446640474,0.000354705991261191,0.0402265133652706,Fun-CIM
IFI35,165,4.35182095406785e-05,0.0118040526304634,1.30396416362562,0.741839470639887,0.19154212768984,-0.0154477141398176,0.317289117243916,0.0915934786258569,0.866666666666667,0.5,limma_dupcor_2grp(mod_t),1.31941187776544,-1.31941187776544,0.806844584861726,0.806844584861726,-0.70075691548713,4.35182095406785e-05,0.0118040526304633,Fun-CIM
